Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,4591842848700,4592310323400,467474700,-1
0,1,STEP,4592432090100,4592437169400,5079300,-1
1,1,STEP,4592437233000,4592445536300,8303300,-1
2,1,STEP,4592445591900,4592452851800,7259900,-1
3,1,STEP,4592452896800,4592460625500,7728700,-1
4,1,STEP,4592460667200,4592468501700,7834500,-1
5,1,STEP,4592468550100,4592476419900,7869800,-1
6,1,STEP,4592476468400,4592484575100,8106700,-1
7,1,STEP,4592484622900,4592490606600,5983700,-1
8,1,STEP,4592490658300,4592498838500,8180200,-1
9,1,STEP,4592498900700,4592507384800,8484100,-1
10,1,STEP,4592507446500,4592515979900,8533400,-1
11,1,STEP,4592516043800,4592522364200,6320400,-1
12,1,STEP,4592522424900,4592528555200,6130300,-1
13,1,STEP,4592528624200,4592535866700,7242500,-1
14,1,STEP,4592535975200,4592541018500,5043300,-1
15,1,STEP,4592541070300,4592546541200,5470900,-1
16,1,STEP,4592546596900,4592552802900,6206000,-1
17,1,STEP,4592552863800,4592560934100,8070300,-1
18,1,STEP,4592560986700,4592569300600,8313900,-1
19,1,STEP,4592569351400,4592575735500,6384100,-1
20,1,STEP,4592575771200,4592582123200,6352000,-1
21,1,STEP,4592582176800,4592588111600,5934800,-1
22,1,STEP,4592588145800,4592594802000,6656200,-1
23,1,STEP,4592594836500,4592601666500,6830000,-1
24,1,STEP,4592601703300,4592608586400,6883100,-1
25,1,STEP,4592608650500,4592616891700,8241200,-1
26,1,STEP,4592616951300,4592623894500,6943200,-1
27,1,STEP,4592623964400,4592631321100,7356700,-1
28,1,STEP,4592631374200,4592639144200,7770000,-1
29,1,STEP,4592639218200,4592645901800,6683600,-1
30,1,STEP,4592645956600,4592652915500,6958900,-1
31,1,STEP,4592652970600,4592659991100,7020500,-1
32,1,STEP,4592660043000,4592667140200,7097200,-1
33,1,STEP,4592667212400,4592674122400,6910000,-1
34,1,STEP,4592674170500,4592681317000,7146500,-1
35,1,STEP,4592681359900,4592689015800,7655900,-1
36,1,STEP,4592689060600,4592696296000,7235400,-1
37,1,STEP,4592696340700,4592703838500,7497800,-1
38,1,STEP,4592703888200,4592713580500,9692300,-1
39,1,STEP,4592713649100,4592723656800,10007700,-1
40,1,STEP,4592723715200,4592730757700,7042500,-1
41,1,STEP,4592730814300,4592738457900,7643600,-1
42,1,STEP,4592738504900,4592746111700,7606800,-1
43,1,STEP,4592746176200,4592753254900,7078700,-1
44,1,STEP,4592753311000,4592761252000,7941000,-1
45,1,STEP,4592761324000,4592769248600,7924600,-1
46,1,STEP,4592769306300,4592776570100,7263800,-1
47,1,STEP,4592776609500,4592784044100,7434600,-1
48,1,STEP,4592784088600,4592791034300,6945700,-1
49,1,STEP,4592791076400,4592798579200,7502800,-1
50,1,STEP,4592798620700,4592806096800,7476100,-1
51,1,STEP,4592806162100,4592813516500,7354400,-1
52,1,STEP,4592813562900,4592820929800,7366900,-1
53,1,STEP,4592820977000,4592828458700,7481700,-1
54,1,STEP,4592828499800,4592836226600,7726800,-1
55,1,STEP,4592836258800,4592843800400,7541600,-1
56,1,STEP,4592843841000,4592851357500,7516500,-1
57,1,STEP,4592851414200,4592859382900,7968700,-1
58,1,STEP,4592859434900,4592869622700,10187800,-1
59,1,STEP,4592869667700,4592878101000,8433300,-1
60,1,STEP,4592878139600,4592887412500,9272900,-1
61,1,STEP,4592887667700,4592898327100,10659400,-1
62,1,STEP,4592898455500,4592907818400,9362900,-1
63,1,STEP,4592907935300,4592916545200,8609900,-1
64,1,STEP,4592916611600,4592924913700,8302100,-1
65,1,STEP,4592924961400,4592932220700,7259300,-1
66,1,STEP,4592932253300,4592940419900,8166600,-1
67,1,STEP,4592940450400,4592948477200,8026800,-1
68,1,STEP,4592948524500,4592956287400,7762900,-1
69,1,STEP,4592956319500,4592964727600,8408100,-1
70,1,STEP,4592964780300,4592972719800,7939500,-1
71,1,STEP,4592972758400,4592981167400,8409000,-1
72,1,STEP,4592981214300,4592988861600,7647300,-1
73,1,STEP,4592988922500,4592997712700,8790200,-1
74,1,STEP,4592997752100,4593006170300,8418200,-1
75,1,STEP,4593006211100,4593014143900,7932800,-1
