Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3538222983100,3538339052200,116069100,-1
0,1,STEP,3538371166400,3538373270900,2104500,-1
1,1,STEP,3538373369300,3538375202900,1833600,-1
2,1,STEP,3538375251300,3538377144000,1892700,-1
3,1,STEP,3538377190300,3538378795200,1604900,-1
4,1,STEP,3538378840500,3538380399400,1558900,-1
5,1,STEP,3538380445000,3538382159500,1714500,-1
6,1,STEP,3538382208700,3538384039600,1830900,-1
7,1,STEP,3538384112000,3538386078200,1966200,-1
8,1,STEP,3538386114600,3538387648700,1534100,-1
9,1,STEP,3538387682200,3538389123200,1441000,-1
10,1,STEP,3538389159600,3538390534100,1374500,-1
11,1,STEP,3538390571700,3538391981700,1410000,-1
12,1,STEP,3538392019200,3538393398600,1379400,-1
13,1,STEP,3538393433800,3538394889000,1455200,-1
14,1,STEP,3538394924300,3538396580600,1656300,-1
15,1,STEP,3538396620500,3538398249700,1629200,-1
16,1,STEP,3538398292300,3538399895800,1603500,-1
17,1,STEP,3538399937100,3538401303800,1366700,-1
18,1,STEP,3538401341400,3538403019800,1678400,-1
19,1,STEP,3538403075500,3538404657800,1582300,-1
20,1,STEP,3538404699100,3538406367300,1668200,-1
21,1,STEP,3538406407900,3538408357100,1949200,-1
22,1,STEP,3538408394400,3538410163500,1769100,-1
23,1,STEP,3538410204700,3538411762200,1557500,-1
24,1,STEP,3538411802200,3538413780700,1978500,-1
25,1,STEP,3538413817300,3538415478900,1661600,-1
26,1,STEP,3538415521800,3538417156500,1634700,-1
27,1,STEP,3538417196300,3538418651800,1455500,-1
28,1,STEP,3538418690500,3538420413500,1723000,-1
29,1,STEP,3538420454600,3538422117800,1663200,-1
30,1,STEP,3538422165400,3538424031900,1866500,-1
31,1,STEP,3538424081300,3538425922700,1841400,-1
32,1,STEP,3538425984600,3538427384900,1400300,-1
33,1,STEP,3538427425900,3538428841800,1415900,-1
34,1,STEP,3538428884300,3538430395600,1511300,-1
35,1,STEP,3538430434500,3538432028500,1594000,-1
36,1,STEP,3538432079900,3538433523200,1443300,-1
37,1,STEP,3538433562200,3538434865600,1303400,-1
38,1,STEP,3538434905600,3538436302500,1396900,-1
39,1,STEP,3538436345600,3538437826800,1481200,-1
40,1,STEP,3538437872500,3538439306300,1433800,-1
41,1,STEP,3538439347900,3538440615100,1267200,-1
42,1,STEP,3538440653200,3538442013400,1360200,-1
43,1,STEP,3538442051300,3538443389300,1338000,-1
44,1,STEP,3538443429000,3538444848600,1419600,-1
45,1,STEP,3538444887900,3538446353000,1465100,-1
46,1,STEP,3538446396100,3538448298300,1902200,-1
47,1,STEP,3538448345900,3538450149800,1803900,-1
48,1,STEP,3538450189400,3538451528500,1339100,-1
49,1,STEP,3538451569000,3538452935100,1366100,-1
50,1,STEP,3538452975400,3538454230300,1254900,-1
51,1,STEP,3538454270100,3538455614000,1343900,-1
52,1,STEP,3538455674200,3538457124600,1450400,-1
53,1,STEP,3538457167300,3538458983200,1815900,-1
54,1,STEP,3538459025700,3538460617800,1592100,-1
55,1,STEP,3538460670100,3538462054300,1384200,-1
56,1,STEP,3538462098300,3538464026200,1927900,-1
57,1,STEP,3538464097500,3538465564300,1466800,-1
58,1,STEP,3538465608000,3538467402600,1794600,-1
59,1,STEP,3538467450400,3538468993900,1543500,-1
60,1,STEP,3538469034500,3538470395000,1360500,-1
61,1,STEP,3538470435200,3538471860700,1425500,-1
62,1,STEP,3538471901700,3538473305300,1403600,-1
63,1,STEP,3538473345200,3538474682200,1337000,-1
64,1,STEP,3538474726300,3538476220400,1494100,-1
65,1,STEP,3538476263100,3538477540900,1277800,-1
66,1,STEP,3538477580700,3538479931500,2350800,-1
67,1,STEP,3538479980200,3538482183200,2203000,-1
68,1,STEP,3538482277800,3538484446000,2168200,-1
69,1,STEP,3538484486300,3538486881900,2395600,-1
70,1,STEP,3538486933000,3538489089400,2156400,-1
71,1,STEP,3538489129900,3538491408800,2278900,-1
72,1,STEP,3538491446300,3538493880700,2434400,-1
73,1,STEP,3538493927900,3538496644700,2716800,-1
74,1,STEP,3538496685500,3538499015100,2329600,-1
75,1,STEP,3538499050200,3538501382300,2332100,-1
76,1,STEP,3538501430300,3538503689800,2259500,-1
77,1,STEP,3538503728700,3538505682100,1953400,-1
78,1,STEP,3538505720700,3538507742100,2021400,-1
79,1,STEP,3538507792800,3538509859200,2066400,-1
80,1,STEP,3538509903700,3538511848600,1944900,-1
81,1,STEP,3538511885900,3538513754900,1869000,-1
82,1,STEP,3538513798000,3538515765500,1967500,-1
83,1,STEP,3538515808500,3538517653700,1845200,-1
84,1,STEP,3538517688400,3538519575600,1887200,-1
85,1,STEP,3538519608600,3538521516400,1907800,-1
86,1,STEP,3538521553400,3538523469600,1916200,-1
87,1,STEP,3538523506300,3538525188200,1681900,-1
88,1,STEP,3538525235900,3538526509400,1273500,-1
89,1,STEP,3538526545500,3538527902900,1357400,-1
90,1,STEP,3538527936200,3538529231400,1295200,-1
91,1,STEP,3538529264700,3538530557400,1292700,-1
92,1,STEP,3538530593900,3538531977000,1383100,-1
93,1,STEP,3538532014200,3538533382100,1367900,-1
94,1,STEP,3538533417300,3538534722700,1305400,-1
95,1,STEP,3538534761300,3538536125800,1364500,-1
96,1,STEP,3538536162500,3538537377000,1214500,-1
97,1,STEP,3538537414000,3538538775900,1361900,-1
98,1,STEP,3538538810800,3538540078700,1267900,-1
99,1,STEP,3538540113500,3538541483200,1369700,-1
100,1,STEP,3538541532900,3538543227100,1694200,-1
101,1,STEP,3538543263100,3538544467100,1204000,-1
102,1,STEP,3538544501200,3538545680200,1179000,-1
103,1,STEP,3538545713100,3538546895100,1182000,-1
104,1,STEP,3538546925900,3538548155500,1229600,-1
105,1,STEP,3538548189900,3538549365400,1175500,-1
106,1,STEP,3538549399100,3538550943700,1544600,-1
107,1,STEP,3538550975300,3538552375100,1399800,-1
108,1,STEP,3538552406500,3538553689700,1283200,-1
109,1,STEP,3538553725700,3538554954100,1228400,-1
110,1,STEP,3538554990000,3538556301000,1311000,-1
111,1,STEP,3538556345100,3538557691600,1346500,-1
112,1,STEP,3538557736200,3538558989600,1253400,-1
113,1,STEP,3538559026400,3538560154200,1127800,-1
114,1,STEP,3538560189900,3538561348200,1158300,-1
115,1,STEP,3538561383100,3538562574100,1191000,-1
116,1,STEP,3538562610900,3538563874100,1263200,-1
117,1,STEP,3538563912900,3538565269300,1356400,-1
