Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,2343314969800,2343614986500,300016700,-1
0,1,STEP,2343736539700,2343748590000,12050300,-1
1,1,STEP,2343748663600,2343762296900,13633300,-1
2,1,STEP,2343762327400,2343774927800,12600400,-1
3,1,STEP,2343774949200,2343788299800,13350600,-1
4,1,STEP,2343788324600,2343802054900,13730300,-1
5,1,STEP,2343802077200,2343816300800,14223600,-1
6,1,STEP,2343816325400,2343830263400,13938000,-1
7,1,STEP,2343830289500,2343844414900,14125400,-1
8,1,STEP,2343844438300,2343858406100,13967800,-1
9,1,STEP,2343858428600,2343870667000,12238400,-1
10,1,STEP,2343870692100,2343882387200,11695100,-1
11,1,STEP,2343882411500,2343893981800,11570300,-1
12,1,STEP,2343894006200,2343904999800,10993600,-1
13,1,STEP,2343905022800,2343917242900,12220100,-1
14,1,STEP,2343917264200,2343929223400,11959200,-1
15,1,STEP,2343929251200,2343941050900,11799700,-1
16,1,STEP,2343941070900,2343952194900,11124000,-1
17,1,STEP,2343952219500,2343964071600,11852100,-1
18,1,STEP,2343964101300,2343975513300,11412000,-1
19,1,STEP,2343975535700,2343986134500,10598800,-1
20,1,STEP,2343986149000,2343996886400,10737400,-1
21,1,STEP,2343996895900,2344008957900,12062000,-1
22,1,STEP,2344008967100,2344020852300,11885200,-1
23,1,STEP,2344020863700,2344032403200,11539500,-1
24,1,STEP,2344032414800,2344043719800,11305000,-1
25,1,STEP,2344043727200,2344055118400,11391200,-1
26,1,STEP,2344055138900,2344066405200,11266300,-1
27,1,STEP,2344066427300,2344077240000,10812700,-1
28,1,STEP,2344077267200,2344088554700,11287500,-1
29,1,STEP,2344088583000,2344099949600,11366600,-1
30,1,STEP,2344099968700,2344111552100,11583400,-1
31,1,STEP,2344111561200,2344122717700,11156500,-1
32,1,STEP,2344122729200,2344134298400,11569200,-1
33,1,STEP,2344134311600,2344145298100,10986500,-1
34,1,STEP,2344145321400,2344156765400,11444000,-1
35,1,STEP,2344156773600,2344168213000,11439400,-1
36,1,STEP,2344168221400,2344179782500,11561100,-1
37,1,STEP,2344179796200,2344191336200,11540000,-1
38,1,STEP,2344191356600,2344203049200,11692600,-1
39,1,STEP,2344203060000,2344214688900,11628900,-1
40,1,STEP,2344214697000,2344226545000,11848000,-1
41,1,STEP,2344226559100,2344237976300,11417200,-1
42,1,STEP,2344237987300,2344249336600,11349300,-1
43,1,STEP,2344249345700,2344260908900,11563200,-1
44,1,STEP,2344260916800,2344272422800,11506000,-1
45,1,STEP,2344272431300,2344284742400,12311100,-1
46,1,STEP,2344284758400,2344296226500,11468100,-1
47,1,STEP,2344296243800,2344308231400,11987600,-1
48,1,STEP,2344308242500,2344319840700,11598200,-1
49,1,STEP,2344319849000,2344331297400,11448400,-1
50,1,STEP,2344331305100,2344342853600,11548500,-1
51,1,STEP,2344342874800,2344354876500,12001700,-1
52,1,STEP,2344354889800,2344366367900,11478100,-1
53,1,STEP,2344366375200,2344377816900,11441700,-1
54,1,STEP,2344377824500,2344389601400,11776900,-1
55,1,STEP,2344389608800,2344401349100,11740300,-1
56,1,STEP,2344401368400,2344413453100,12084700,-1
57,1,STEP,2344413460900,2344425175700,11714800,-1
58,1,STEP,2344425183300,2344436154200,10970900,-1
59,1,STEP,2344436165800,2344447650000,11484200,-1
60,1,STEP,2344447657400,2344458894100,11236700,-1
61,1,STEP,2344458901700,2344470313700,11412000,-1
62,1,STEP,2344470321800,2344481701100,11379300,-1
63,1,STEP,2344481709100,2344493670400,11961300,-1
64,1,STEP,2344493680600,2344505887300,12206700,-1
65,1,STEP,2344505907400,2344517370600,11463200,-1
66,1,STEP,2344517379300,2344528798900,11419600,-1
67,1,STEP,2344528807200,2344541249500,12442300,-1
68,1,STEP,2344541257600,2344553006000,11748400,-1
69,1,STEP,2344553014500,2344565272300,12257800,-1
70,1,STEP,2344565279800,2344576869500,11589700,-1
71,1,STEP,2344576879300,2344588424900,11545600,-1
72,1,STEP,2344588436500,2344599717200,11280700,-1
73,1,STEP,2344599736300,2344611149900,11413600,-1
74,1,STEP,2344611161900,2344623018500,11856600,-1
75,1,STEP,2344623027500,2344634994400,11966900,-1
76,1,STEP,2344635002500,2344647032300,12029800,-1
77,1,STEP,2344647042900,2344659005500,11962600,-1
78,1,STEP,2344659013900,2344670631000,11617100,-1
79,1,STEP,2344670638300,2344682283800,11645500,-1
80,1,STEP,2344682299300,2344695073300,12774000,-1
81,1,STEP,2344695082200,2344706633900,11551700,-1
82,1,STEP,2344706643500,2344719277100,12633600,-1
83,1,STEP,2344719288800,2344730894500,11605700,-1
84,1,STEP,2344730916400,2344743115200,12198800,-1
85,1,STEP,2344743123700,2344755773000,12649300,-1
86,1,STEP,2344755781800,2344767868300,12086500,-1
87,1,STEP,2344767880300,2344779744700,11864400,-1
88,1,STEP,2344779752000,2344791919300,12167300,-1
89,1,STEP,2344791927200,2344803879800,11952600,-1
90,1,STEP,2344803887500,2344816739500,12852000,-1
91,1,STEP,2344816750900,2344829571100,12820200,-1
92,1,STEP,2344829584300,2344841985500,12401200,-1
93,1,STEP,2344841995000,2344854824600,12829600,-1
94,1,STEP,2344854832300,2344867072800,12240500,-1
95,1,STEP,2344867083600,2344879710600,12627000,-1
96,1,STEP,2344879718100,2344891995500,12277400,-1
97,1,STEP,2344892002700,2344904708000,12705300,-1
98,1,STEP,2344904715600,2344917112300,12396700,-1
99,1,STEP,2344917119700,2344929808800,12689100,-1
100,1,STEP,2344929823900,2344942299800,12475900,-1
101,1,STEP,2344942334500,2344954573400,12238900,-1
102,1,STEP,2344954582500,2344966109900,11527400,-1
103,1,STEP,2344966117800,2344977872700,11754900,-1
104,1,STEP,2344977881900,2344989741400,11859500,-1
105,1,STEP,2344989749300,2345002280000,12530700,-1
106,1,STEP,2345002303800,2345015292000,12988200,-1
