Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,3.47652e-63,0.143817,5000,1,7,1,0,0,0
2,4.04354e-60,0.136758,5000,1,7,1,0,1,1
3,4.04354e-60,0.136758,5000,1,7,1,0,1,1
4,4.04354e-60,0.136758,5000,1,7,1,0,0,0
5,4.04354e-60,0.136758,5000,1,7,1,0,0,0
6,4.04354e-60,0.136758,5000,1,7,1,0,0,0
7,4.04354e-60,0.136758,5000,1,7,1,0,0,0
8,4.04354e-60,0.136758,5000,1,7,1,0,1,1
9,4.04354e-60,0.136758,5000,1,7,1,0,0,0
10,4.04354e-60,0.136758,5000,1,7,1,0,0,0
11,4.04354e-60,0.136758,5000,1,7,1,0,0,0
12,4.04354e-60,0.136758,5000,1,7,1,0,0,0
13,4.04354e-60,0.136758,5000,1,7,1,0,0,0
14,4.04354e-60,0.136758,5000,1,7,1,0,0,0
15,4.04354e-60,0.136758,5000,1,7,1,0,0,0
16,4.04354e-60,0.136758,5000,1,7,1,0,0,0
17,4.04354e-60,0.136758,5000,1,7,1,0,0,0
18,4.04354e-60,0.136758,5000,1,7,1,0,0,0
19,4.04354e-60,0.136758,5000,1,7,1,0,0,0
20,4.04354e-60,0.136758,5000,1,7,1,0,0,0
21,4.04354e-60,0.136758,5000,1,7,1,0,0,0
22,4.04354e-60,0.136758,5000,1,7,1,0,0,0
23,4.04354e-60,0.136758,5000,1,7,1,0,0,0
24,4.04354e-60,0.136758,5000,1,7,1,0,0,0
25,4.04354e-60,0.136758,5000,1,7,1,0,0,0
26,4.04354e-60,0.136758,5000,1,7,1,0,0,0
27,4.04354e-60,0.136758,5000,1,7,1,0,0,0
28,4.04354e-60,0.136758,5000,1,7,1,0,0,0
29,4.04354e-60,0.136758,5000,1,7,1,0,0,0
30,4.04354e-60,0.136758,5000,1,7,1,0,0,0
31,4.04354e-60,0.136758,5000,1,7,1,0,1,1
32,4.04354e-60,0.136758,5000,1,7,1,0,0,0
33,4.04354e-60,0.136758,5000,1,7,1,0,0,0
34,4.04354e-60,0.136758,5000,1,7,1,0,0,0
35,4.04354e-60,0.136758,5000,1,7,1,0,0,0
36,4.04354e-60,0.136758,5000,1,7,1,0,0,0
37,4.04354e-60,0.136758,5000,1,7,1,0,0,0
38,4.04354e-60,0.136758,5000,1,7,1,0,0,0
39,4.04354e-60,0.136758,5000,1,7,1,0,0,0
40,4.04354e-60,0.136758,5000,1,7,1,0,0,0
41,4.04354e-60,0.136758,5000,1,7,1,0,0,0
42,4.04354e-60,0.136758,5000,1,7,1,0,0,0
43,4.04354e-60,0.136758,5000,1,7,1,0,0,0
44,1.03634e-59,0.135817,5000,1,7,1,0,1,1
45,1.03634e-59,0.135817,5000,1,7,1,0,0,0
46,1.03634e-59,0.135817,5000,1,7,1,0,0,0
47,1.03634e-59,0.135817,5000,1,7,1,0,0,0
48,1.03634e-59,0.135817,5000,1,7,1,0,0,0
49,1.03634e-59,0.135817,5000,1,7,1,0,0,0
50,1.03634e-59,0.135817,5000,1,7,1,0,0,0
51,1.03634e-59,0.135817,5000,1,7,1,0,0,0
52,1.03634e-59,0.135817,5000,1,7,1,0,0,0
53,1.03634e-59,0.135817,5000,1,7,1,0,0,0
54,1.03634e-59,0.135817,5000,1,7,1,0,0,0
55,1.03634e-59,0.135817,5000,1,7,1,0,0,0
56,1.03634e-59,0.135817,5000,1,7,1,0,0,0
57,1.03634e-59,0.135817,5000,1,7,1,0,0,0
58,1.03634e-59,0.135817,5000,1,7,1,0,0,0
59,1.03634e-59,0.135817,5000,1,7,1,0,0,0
60,1.03634e-59,0.135817,5000,1,7,1,0,0,0
61,1.03634e-59,0.135817,5000,1,7,1,0,0,0
62,2.01851e-59,0.13515,5000,1,7,1,0,1,1
63,2.01851e-59,0.13515,5000,1,7,1,0,0,0
64,2.01851e-59,0.13515,5000,1,7,1,0,0,0
65,2.01851e-59,0.13515,5000,1,7,1,0,0,0
66,2.01851e-59,0.13515,5000,1,7,1,0,0,0
67,2.01851e-59,0.13515,5000,1,7,1,0,0,0
