Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,3.47609e-63,0.143818,5000,0.999939,7,0.999878,6.10352e-05,0.00476074,0.00476074
2,3.7231e-63,0.143816,5000,1,6.99994,1,0,0.00421143,0.00421143
3,5.94195e-63,0.143814,5000,0.999878,6.99988,0.999878,0,0.00500488,0.00500488
4,1.18598e-62,0.143804,5000,0.999817,7,0.999817,0,0.00463867,0.00463867
5,2.17235e-62,0.143786,5000,0.999878,7.00031,0.999878,0,0.00378418,0.00378418
6,3.52859e-62,0.143762,5000,0.999939,7.00049,0.999939,0,0.0055542,0.0055542
7,5.32867e-62,0.14373,5000,0.999939,7.00061,0.999939,0,0.0043335,0.0043335
8,7.47396e-62,0.143693,5000,0.999939,7.00128,0.999939,0,0.00488281,0.00488281
9,1.00384e-61,0.14365,5000,0.999756,7.00153,0.999756,0,0.00469971,0.00469971
10,1.29728e-61,0.143597,5000,1,7.00146,1,0,0.00384521,0.00384521
11,1.63511e-61,0.143537,5000,1,7.00159,1,0,0.00457764,0.00457764
12,2.00498e-61,0.143473,5000,0.999939,7.0014,0.999939,0,0.00537109,0.00537109
13,2.42418e-61,0.143399,5000,1,7.00183,1,0,0.00488281,0.00488281
14,2.87543e-61,0.143322,5000,0.999878,7.00195,0.999878,0,0.00506592,0.00506592
15,3.36861e-61,0.143234,5000,1,7.00146,1,0,0.00494385,0.00494385
16,3.90122e-61,0.143143,5000,0.999817,7.00201,0.999817,0,0.00524902,0.00524902
17,4.47331e-61,0.143042,5000,0.999939,7.00177,0.999939,0,0.00524902,0.00524902
18,5.08484e-61,0.142935,5000,0.999939,7.0022,0.999939,0,0.00524902,0.00524902
19,5.73583e-61,0.142821,5000,1,7.00183,1,0,0.00427246,0.00427246
20,6.42873e-61,0.142701,5000,0.999878,7.00183,0.999878,0,0.00488281,0.00488281
