Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,7086914203800,7099602175000,12687971200,-1
0,1,STEP,7099602484900,7099633413500,30928600,-1
1,1,STEP,7099634331100,7099666306200,31975100,-1
2,1,STEP,7099667562600,7099692680300,25117700,-1
3,1,STEP,7099693853800,7099718035800,24182000,-1
4,1,STEP,7099719224900,7099742585700,23360800,-1
5,1,STEP,7099743732300,7099766216100,22483800,-1
6,1,STEP,7099767392300,7099788012900,20620600,-1
7,1,STEP,7099789121700,7099810903600,21781900,-1
8,1,STEP,7099812100800,7099833409100,21308300,-1
9,1,STEP,7099834599900,7099854846700,20246800,-1
10,1,STEP,7099855914100,7099875006300,19092200,-1
11,1,STEP,7099876091500,7099894841800,18750300,-1
12,1,STEP,7099895866100,7099915221100,19355000,-1
13,1,STEP,7099916365000,7099937395800,21030800,-1
14,1,STEP,7099938543900,7099958453600,19909700,-1
15,1,STEP,7099959546400,7099979575200,20028800,-1
16,1,STEP,7099980763800,7100000288700,19524900,-1
17,1,STEP,7100001342200,7100020773300,19431100,-1
18,1,STEP,7100021879900,7100041140700,19260800,-1
19,1,STEP,7100042148400,7100059937500,17789100,-1
20,1,STEP,7100060989600,7100078289300,17299700,-1
21,1,STEP,7100079275600,7100097411800,18136200,-1
22,1,STEP,7100098435100,7100116380400,17945300,-1
23,1,STEP,7100117467000,7100134925100,17458100,-1
24,1,STEP,7100135910400,7100154739700,18829300,-1
25,1,STEP,7100155817700,7100174281100,18463400,-1
26,1,STEP,7100175339600,7100194192500,18852900,-1
27,1,STEP,7100195274300,7100213361500,18087200,-1
28,1,STEP,7100214407900,7100232844200,18436300,-1
29,1,STEP,7100233914800,7100252106100,18191300,-1
30,1,STEP,7100253077100,7100270920100,17843000,-1
31,1,STEP,7100271905200,7100289622900,17717700,-1
32,1,STEP,7100290731500,7100309109300,18377800,-1
33,1,STEP,7100310147200,7100326833400,16686200,-1
34,1,STEP,7100327833300,7100345322100,17488800,-1
35,1,STEP,7100346292800,7100362964300,16671500,-1
36,1,STEP,7100363932800,7100383212300,19279500,-1
37,1,STEP,7100384413800,7100406176300,21762500,-1
38,1,STEP,7100408476600,7100426101000,17624400,-1
39,1,STEP,7100427122100,7100445685100,18563000,-1
40,1,STEP,7100446697800,7100463819100,17121300,-1
41,1,STEP,7100464826300,7100482197000,17370700,-1
42,1,STEP,7100483227000,7100501396200,18169200,-1
43,1,STEP,7100502491700,7100521289300,18797600,-1
44,1,STEP,7100522333800,7100540973200,18639400,-1
45,1,STEP,7100542006300,7100559473700,17467400,-1
46,1,STEP,7100560577800,7100576561000,15983200,-1
47,1,STEP,7100577505800,7100594401500,16895700,-1
48,1,STEP,7100595369900,7100612390000,17020100,-1
49,1,STEP,7100613427200,7100631261500,17834300,-1
50,1,STEP,7100632306100,7100650562500,18256400,-1
51,1,STEP,7100651690700,7100670212100,18521400,-1
52,1,STEP,7100671286500,7100689934900,18648400,-1
53,1,STEP,7100691021300,7100709513800,18492500,-1
54,1,STEP,7100710579000,7100727899800,17320800,-1
55,1,STEP,7100729034400,7100747920100,18885700,-1
56,1,STEP,7100748902000,7100765428100,16526100,-1
57,1,STEP,7100766358900,7100782888200,16529300,-1
58,1,STEP,7100783848400,7100800237100,16388700,-1
59,1,STEP,7100801198600,7100818884100,17685500,-1
60,1,STEP,7100819911300,7100839479200,19567900,-1
61,1,STEP,7100840576600,7100858055000,17478400,-1
62,1,STEP,7100859389900,7100877192600,17802700,-1
63,1,STEP,7100878156500,7100895875800,17719300,-1
64,1,STEP,7100896955800,7100916467900,19512100,-1
65,1,STEP,7100917527300,7100934448600,16921300,-1
66,1,STEP,7100935531000,7100953696800,18165800,-1
67,1,STEP,7100954666600,7100972440600,17774000,-1
68,1,STEP,7100973488000,7100991171600,17683600,-1
69,1,STEP,7100992211900,7101010381200,18169300,-1
70,1,STEP,7101011453000,7101029482300,18029300,-1
71,1,STEP,7101030588900,7101049252900,18664000,-1
72,1,STEP,7101050339400,7101068720900,18381500,-1
73,1,STEP,7101069747200,7101090423300,20676100,-1
74,1,STEP,7101091524900,7101108100300,16575400,-1
75,1,STEP,7101109062600,7101125317400,16254800,-1
76,1,STEP,7101126281300,7101143319600,17038300,-1
77,1,STEP,7101144351500,7101161457800,17106300,-1
78,1,STEP,7101162420200,7101179207300,16787100,-1
79,1,STEP,7101180197000,7101197779600,17582600,-1
80,1,STEP,7101198792100,7101216566000,17773900,-1
81,1,STEP,7101217575500,7101234951900,17376400,-1
82,1,STEP,7101235995200,7101253689700,17694500,-1
83,1,STEP,7101254747900,7101272639700,17891800,-1
84,1,STEP,7101273628300,7101290313300,16685000,-1
85,1,STEP,7101291315400,7101309416100,18100700,-1
86,1,STEP,7101310459100,7101328742600,18283500,-1
87,1,STEP,7101329813700,7101348561200,18747500,-1
88,1,STEP,7101349679800,7101368709900,19030100,-1
89,1,STEP,7101369785300,7101388518400,18733100,-1
90,1,STEP,7101389573700,7101409197400,19623700,-1
91,1,STEP,7101410289400,7101428972400,18683000,-1
92,1,STEP,7101429930900,7101447323100,17392200,-1
93,1,STEP,7101448480500,7101467733000,19252500,-1
94,1,STEP,7101468887600,7101489957300,21069700,-1
95,1,STEP,7101491219300,7101512388200,21168900,-1
96,1,STEP,7101513542100,7101533714200,20172100,-1
97,1,STEP,7101534868700,7101554293200,19424500,-1
98,1,STEP,7101555411000,7101574461700,19050700,-1
99,1,STEP,7101575586700,7101595561900,19975200,-1
100,1,STEP,7101596696800,7101616165200,19468400,-1
101,1,STEP,7101617300400,7101636877100,19576700,-1
102,1,STEP,7101637973700,7101656551300,18577600,-1
103,1,STEP,7101657629700,7101677384500,19754800,-1
104,1,STEP,7101678535800,7101697299800,18764000,-1
105,1,STEP,7101698406200,7101717749600,19343400,-1
106,1,STEP,7101718825700,7101738415300,19589600,-1
107,1,STEP,7101739520500,7101758223600,18703100,-1
108,1,STEP,7101759282700,7101779098300,19815600,-1
109,1,STEP,7101780179900,7101799764500,19584600,-1
110,1,STEP,7101800867000,7101819693400,18826400,-1
111,1,STEP,7101820695500,7101837277200,16581700,-1
112,1,STEP,7101838368700,7101855496300,17127600,-1
113,1,STEP,7101856447900,7101873771400,17323500,-1
