Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4716748613300,4731111271000,14362657700,-1
0,1,STEP,4731111573300,4732167353300,1055780000,-1
1,1,STEP,4732176264200,4733177784300,1001520100,-1
2,1,STEP,4733186871500,4734206024100,1019152600,-1
3,1,STEP,4734216609700,4735262227300,1045617600,-1
4,1,STEP,4735272905500,4736376306100,1103400600,-1
5,1,STEP,4736387977400,4737442472900,1054495500,-1
6,1,STEP,4737453897600,4738559426900,1105529300,-1
7,1,STEP,4738571508800,4739626778900,1055270100,-1
8,1,STEP,4739638564700,4740745494800,1106930100,-1
9,1,STEP,4740757731200,4741834601700,1076870500,-1
10,1,STEP,4741846478400,4742989529200,1143050800,-1
11,1,STEP,4743000916700,4744073707400,1072790700,-1
12,1,STEP,4744084755900,4745222227100,1137471200,-1
13,1,STEP,4745237416900,4746336592600,1099175700,-1
14,1,STEP,4746348684000,4747492731800,1144047800,-1
15,1,STEP,4747504639500,4748593499800,1088860300,-1
16,1,STEP,4748606250800,4749714209700,1107958900,-1
17,1,STEP,4749726735600,4750843886700,1117151100,-1
18,1,STEP,4750856690500,4752194861300,1338170800,-1
19,1,STEP,4752216128800,4753632079900,1415951100,-1
20,1,STEP,4753648208400,4755045544900,1397336500,-1
21,1,STEP,4755058239000,4756199854300,1141615300,-1
22,1,STEP,4756211466200,4757357349900,1145883700,-1
23,1,STEP,4757370330100,4758502066800,1131736700,-1
24,1,STEP,4758513555100,4759684107800,1170552700,-1
25,1,STEP,4759696382400,4760799192700,1102810300,-1
26,1,STEP,4760811006200,4762065387400,1254381200,-1
27,1,STEP,4762077774400,4763211797300,1134022900,-1
28,1,STEP,4763229773300,4764443164100,1213390800,-1
29,1,STEP,4764454270800,4765593043900,1138773100,-1
30,1,STEP,4765604552500,4766784644200,1180091700,-1
31,1,STEP,4766797336500,4767941797300,1144460800,-1
32,1,STEP,4767955522800,4769159199400,1203676600,-1
33,1,STEP,4769171973300,4770307759200,1135785900,-1
34,1,STEP,4770319965000,4771538639600,1218674600,-1
35,1,STEP,4771551785400,4772710333400,1158548000,-1
36,1,STEP,4772722087500,4773966845400,1244757900,-1
37,1,STEP,4773981367500,4775153771500,1172404000,-1
38,1,STEP,4775166060100,4776431016300,1264956200,-1
39,1,STEP,4776444423000,4777636670000,1192247000,-1
40,1,STEP,4777651834300,4779020429800,1368595500,-1
41,1,STEP,4779034540700,4780252573700,1218033000,-1
42,1,STEP,4780264850200,4781576041100,1311190900,-1
43,1,STEP,4781589477400,4782811597500,1222120100,-1
44,1,STEP,4782824567100,4784159991500,1335424400,-1
45,1,STEP,4784173908100,4785446859300,1272951200,-1
46,1,STEP,4785459880900,4786759227800,1299346900,-1
47,1,STEP,4786773001700,4788037387400,1264385700,-1
48,1,STEP,4788055176200,4789404089400,1348913200,-1
49,1,STEP,4789419170000,4790718789800,1299619800,-1
50,1,STEP,4790732717300,4792097532000,1364814700,-1
51,1,STEP,4792112281100,4793432400900,1320119800,-1
52,1,STEP,4793447200900,4794876257700,1429056800,-1
53,1,STEP,4794889938200,4796201699100,1311760900,-1
54,1,STEP,4796215140400,4797626974500,1411834100,-1
55,1,STEP,4797643863400,4798972557900,1328694500,-1
56,1,STEP,4798987859700,4800352612200,1364752500,-1
57,1,STEP,4800366423200,4801736709100,1370285900,-1
58,1,STEP,4801750407000,4803139766400,1389359400,-1
59,1,STEP,4803153348000,4804589727900,1436379900,-1
60,1,STEP,4804604571500,4805991602500,1387031000,-1
61,1,STEP,4806005305500,4807442043100,1436737600,-1
62,1,STEP,4807456591400,4808906393300,1449801900,-1
63,1,STEP,4808920986000,4810368638200,1447652200,-1
64,1,STEP,4810383893000,4811832868900,1448975900,-1
65,1,STEP,4811847622800,4813282032600,1434409800,-1
66,1,STEP,4813297082800,4814798737500,1501654700,-1
67,1,STEP,4814813534300,4816327083300,1513549000,-1
68,1,STEP,4816341256300,4817918351000,1577094700,-1
69,1,STEP,4817931950800,4819425787000,1493836200,-1
70,1,STEP,4819440086700,4820918872900,1478786200,-1
71,1,STEP,4820935601700,4822398918200,1463316500,-1
72,1,STEP,4822415377300,4823830004000,1414626700,-1
73,1,STEP,4823844167900,4825319531900,1475364000,-1
74,1,STEP,4825335163500,4826789530300,1454366800,-1
75,1,STEP,4826803115600,4828254577900,1451462300,-1
76,1,STEP,4828268967600,4829755868100,1486900500,-1
77,1,STEP,4829772486500,4831235880000,1463393500,-1
78,1,STEP,4831250625200,4832741824600,1491199400,-1
79,1,STEP,4832758375100,4834216808300,1458433200,-1
80,1,STEP,4834232880800,4835739013800,1506133000,-1
81,1,STEP,4835755009300,4837203457100,1448447800,-1
82,1,STEP,4837220596500,4838741921100,1521324600,-1
83,1,STEP,4838758312200,4840194979500,1436667300,-1
84,1,STEP,4840211383800,4841703425900,1492042100,-1
85,1,STEP,4841719626400,4843136723500,1417097100,-1
86,1,STEP,4843151437800,4844662428300,1510990500,-1
87,1,STEP,4844677393800,4846134471900,1457078100,-1
88,1,STEP,4846149241200,4847618714000,1469472800,-1
89,1,STEP,4847632854700,4849114904800,1482050100,-1
90,1,STEP,4849129478600,4850615633500,1486154900,-1
91,1,STEP,4850630023500,4852120175600,1490152100,-1
92,1,STEP,4852134956700,4853641070100,1506113400,-1
93,1,STEP,4853655159600,4855162012600,1506853000,-1
94,1,STEP,4855176613300,4856712261200,1535647900,-1
95,1,STEP,4856726820600,4858254120200,1527299600,-1
96,1,STEP,4858270956500,4859848494600,1577538100,-1
97,1,STEP,4859863340100,4861365948600,1502608500,-1
98,1,STEP,4861380467000,4862913176200,1532709200,-1
99,1,STEP,4862928157600,4864464041900,1535884300,-1
100,1,STEP,4864478022500,4866038649300,1560626800,-1
101,1,STEP,4866060296500,4867634301900,1574005400,-1
102,1,STEP,4867649061400,4869251303500,1602242100,-1
103,1,STEP,4869267066600,4870862093900,1595027300,-1
104,1,STEP,4870876690000,4872442478200,1565788200,-1
105,1,STEP,4872458407700,4874019455500,1561047800,-1
106,1,STEP,4874034258900,4875654957000,1620698100,-1
107,1,STEP,4875671071200,4877317437000,1646365800,-1
108,1,STEP,4877333252700,4878945750200,1612497500,-1
109,1,STEP,4878960733200,4880575022100,1614288900,-1
110,1,STEP,4880591515800,4882192306900,1600791100,-1
111,1,STEP,4882207343800,4883840100200,1632756400,-1
112,1,STEP,4883855732200,4885507417000,1651684800,-1
113,1,STEP,4885523064300,4887170909900,1647845600,-1
114,1,STEP,4887185758800,4888842500300,1656741500,-1
115,1,STEP,4888857766500,4890543887300,1686120800,-1
116,1,STEP,4890562801400,4892296913900,1734112500,-1
117,1,STEP,4892312381200,4893987872000,1675490800,-1
118,1,STEP,4894050545800,4895713254900,1662709100,-1
119,1,STEP,4895728872700,4897413376100,1684503400,-1
120,1,STEP,4897428890900,4899129916000,1701025100,-1
121,1,STEP,4899147957400,4900876618000,1728660600,-1
122,1,STEP,4900891540800,4902573990700,1682449900,-1
123,1,STEP,4902589000500,4904322926600,1733926100,-1
124,1,STEP,4904338031600,4906065536800,1727505200,-1
125,1,STEP,4906080477800,4907804418700,1723940900,-1
126,1,STEP,4907819813100,4909535538600,1715725500,-1
127,1,STEP,4909553644000,4911279024900,1725380900,-1
128,1,STEP,4911349868600,4913050724900,1700856300,-1
129,1,STEP,4913066589400,4914794119900,1727530500,-1
130,1,STEP,4914809204800,4916549009600,1739804800,-1
131,1,STEP,4916564411900,4918320450300,1756038400,-1
132,1,STEP,4918335895000,4920126845600,1790950600,-1
133,1,STEP,4920142181700,4921947360900,1805179200,-1
134,1,STEP,4921962194200,4923741415100,1779220900,-1
135,1,STEP,4923757087100,4925561479000,1804391900,-1
136,1,STEP,4925576783100,4927353068900,1776285800,-1
137,1,STEP,4927368546700,4929181599000,1813052300,-1
138,1,STEP,4929196976900,4931023512600,1826535700,-1
139,1,STEP,4931038822600,4932854618800,1815796200,-1
140,1,STEP,4932870565600,4934705818800,1835253200,-1
141,1,STEP,4934722352400,4936560151700,1837799300,-1
142,1,STEP,4936575898200,4938639428100,2063529900,-1
143,1,STEP,4938658288000,4940506724700,1848436700,-1
144,1,STEP,4940522479600,4942371607800,1849128200,-1
145,1,STEP,4942387281600,4944239921900,1852640300,-1
146,1,STEP,4944255766400,4946222812900,1967046500,-1
147,1,STEP,4946238636200,4948107403500,1868767300,-1
148,1,STEP,4948123645900,4950016237300,1892591400,-1
149,1,STEP,4950032097600,4951982688000,1950590400,-1
150,1,STEP,4951998310700,4953896757500,1898446800,-1
151,1,STEP,4953913461100,4955801083800,1887622700,-1
152,1,STEP,4955817078700,4957770822600,1953743900,-1
153,1,STEP,4957786166200,4959697139500,1910973300,-1
154,1,STEP,4959713181000,4961750543500,2037362500,-1
155,1,STEP,4961766450100,4963682508700,1916058600,-1
156,1,STEP,4963698086400,4965636760900,1938674500,-1
157,1,STEP,4965652688400,4967626553600,1973865200,-1
158,1,STEP,4967643292400,4969696079700,2052787300,-1
159,1,STEP,4969713467300,4971909182500,2195715200,-1
160,1,STEP,4971925033000,4973939101900,2014068900,-1
161,1,STEP,4973954700000,4976117819800,2163119800,-1
162,1,STEP,4976132511700,4978230860300,2098348600,-1
163,1,STEP,4978245873200,4980307573100,2061699900,-1
164,1,STEP,4980324142600,4982363491300,2039348700,-1
165,1,STEP,4982378268400,4984388937900,2010669500,-1
166,1,STEP,4984404885000,4986372790200,1967905200,-1
167,1,STEP,4986388427100,4988389421900,2000994800,-1
168,1,STEP,4988405222900,4990449140000,2043917100,-1
169,1,STEP,4990465789200,4992470917300,2005128100,-1
170,1,STEP,4992486951600,4994533416600,2046465000,-1
171,1,STEP,4994550865200,4996504257600,1953392400,-1
172,1,STEP,4996520333500,4998568870700,2048537200,-1
173,1,STEP,4998586859400,5000631778600,2044919200,-1
174,1,STEP,5000648388200,5002640972800,1992584600,-1
175,1,STEP,5002657201800,5004597803200,1940601400,-1
176,1,STEP,5004613840700,5006701963900,2088123200,-1
177,1,STEP,5006719250200,5008802100200,2082850000,-1
178,1,STEP,5008819703500,5010767874200,1948170700,-1
179,1,STEP,5010785638300,5012673307400,1887669100,-1
180,1,STEP,5012689460700,5014736819100,2047358400,-1
181,1,STEP,5014752840900,5016704239800,1951398900,-1
182,1,STEP,5016720197300,5018686693400,1966496100,-1
183,1,STEP,5018702719900,5020714837600,2012117700,-1
184,1,STEP,5020732787300,5022614136400,1881349100,-1
185,1,STEP,5022634245100,5024569278600,1935033500,-1
186,1,STEP,5024585071900,5026585236000,2000164100,-1
187,1,STEP,5026601241500,5028632206800,2030965300,-1
188,1,STEP,5028649395200,5030607288500,1957893300,-1
189,1,STEP,5030623528700,5032576018000,1952489300,-1
190,1,STEP,5032592159600,5034619176800,2027017200,-1
191,1,STEP,5034636488500,5036569771400,1933282900,-1
192,1,STEP,5036585241200,5038532515500,1947274300,-1
193,1,STEP,5038548255400,5040597332000,2049076600,-1
194,1,STEP,5040614840100,5042576620200,1961780100,-1
195,1,STEP,5042592557800,5044579786300,1987228500,-1
196,1,STEP,5044596409200,5046528672700,1932263500,-1
197,1,STEP,5046545288500,5048465313900,1920025400,-1
198,1,STEP,5048483003800,5050458204200,1975200400,-1
199,1,STEP,5050476880100,5052501902300,2025022200,-1
200,1,STEP,5052519535800,5054427370100,1907834300,-1
201,1,STEP,5054443833100,5056467697500,2023864400,-1
202,1,STEP,5056486938200,5058440254100,1953315900,-1
203,1,STEP,5058457331000,5060469986600,2012655600,-1
204,1,STEP,5060486713700,5062529736700,2043023000,-1
205,1,STEP,5062545611200,5064464290300,1918679100,-1
206,1,STEP,5064480313200,5066459435600,1979122400,-1
207,1,STEP,5066475035900,5068454591200,1979555300,-1
208,1,STEP,5068471403500,5070436416000,1965012500,-1
209,1,STEP,5070454095000,5072445036700,1990941700,-1
210,1,STEP,5072461272000,5074439090100,1977818100,-1
211,1,STEP,5074455770600,5076412125500,1956354900,-1
212,1,STEP,5076429291700,5078365024100,1935732400,-1
213,1,STEP,5078382067500,5080323504000,1941436500,-1
214,1,STEP,5080339353500,5082340337600,2000984100,-1
215,1,STEP,5082357510500,5084343221700,1985711200,-1
216,1,STEP,5084361698500,5086251176100,1889477600,-1
217,1,STEP,5086267713000,5088274474200,2006761200,-1
218,1,STEP,5088292120800,5090206101300,1913980500,-1
219,1,STEP,5090222969800,5092221700900,1998731100,-1
220,1,STEP,5092237874500,5094169058900,1931184400,-1
221,1,STEP,5094187559600,5096089089900,1901530300,-1
222,1,STEP,5096105241800,5098141946600,2036704800,-1
223,1,STEP,5098163702900,5100074183300,1910480400,-1
224,1,STEP,5100090249900,5102027895900,1937646000,-1
225,1,STEP,5102047652300,5104007052900,1959400600,-1
226,1,STEP,5104022122800,5106163034700,2140911900,-1
227,1,STEP,5106180673300,5108362400500,2181727200,-1
228,1,STEP,5108382694000,5110603927600,2221233600,-1
229,1,STEP,5110622177500,5112729063100,2106885600,-1
230,1,STEP,5112748419000,5114789212600,2040793600,-1
231,1,STEP,5114809148900,5116869973900,2060825000,-1
232,1,STEP,5116887770000,5118858912900,1971142900,-1
233,1,STEP,5118876851100,5120945251200,2068400100,-1
234,1,STEP,5120964410500,5122973765300,2009354800,-1
235,1,STEP,5122990801600,5125033076600,2042275000,-1
236,1,STEP,5125052834100,5127054504300,2001670200,-1
237,1,STEP,5127073771500,5129132661600,2058890100,-1
238,1,STEP,5129149602300,5131199235700,2049633400,-1
239,1,STEP,5131218193500,5133250788800,2032595300,-1
240,1,STEP,5133269203500,5135407880800,2138677300,-1
241,1,STEP,5135426212400,5137466579300,2040366900,-1
242,1,STEP,5137488175400,5139502184900,2014009500,-1
243,1,STEP,5139521004000,5141575263500,2054259500,-1
244,1,STEP,5141592937400,5143645378600,2052441200,-1
245,1,STEP,5143663038600,5145657590000,1994551400,-1
246,1,STEP,5145674899400,5147723286100,2048386700,-1
247,1,STEP,5147740792100,5149780523900,2039731800,-1
248,1,STEP,5149798359000,5151901086000,2102727000,-1
249,1,STEP,5151919020000,5153953031000,2034011000,-1
250,1,STEP,5153971305100,5156087987000,2116681900,-1
251,1,STEP,5156105955500,5158256160900,2150205400,-1
252,1,STEP,5158275154600,5160301105100,2025950500,-1
253,1,STEP,5160318604900,5162326584500,2007979600,-1
254,1,STEP,5162343857500,5164476270000,2132412500,-1
255,1,STEP,5164498202400,5166557844500,2059642100,-1
256,1,STEP,5166648862900,5168702630900,2053768000,-1
257,1,STEP,5168720833400,5170863098800,2142265400,-1
258,1,STEP,5170883800200,5173031351900,2147551700,-1
259,1,STEP,5173051039800,5175150406200,2099366400,-1
260,1,STEP,5175172689100,5177340808700,2168119600,-1
261,1,STEP,5177358659100,5179497548000,2138888900,-1
262,1,STEP,5179515199300,5181612545800,2097346500,-1
263,1,STEP,5181639278600,5183672856100,2033577500,-1
264,1,STEP,5183695173700,5185768527600,2073353900,-1
265,1,STEP,5185788764500,5187842028400,2053263900,-1
266,1,STEP,5187861989600,5189933817000,2071827400,-1
267,1,STEP,5189952119300,5192015064400,2062945100,-1
268,1,STEP,5192037352200,5194192104600,2154752400,-1
269,1,STEP,5194210255300,5196262315000,2052059700,-1
270,1,STEP,5196280235500,5198372786800,2092551300,-1
271,1,STEP,5198389132800,5200429575800,2040443000,-1
272,1,STEP,5200446611000,5202586749600,2140138600,-1
273,1,STEP,5202604057800,5204740128200,2136070400,-1
274,1,STEP,5204758967000,5206811187800,2052220800,-1
275,1,STEP,5206829359700,5208928352400,2098992700,-1
276,1,STEP,5208945279700,5211020660700,2075381000,-1
277,1,STEP,5211037735700,5213166274400,2128538700,-1
278,1,STEP,5213183872500,5215236279700,2052407200,-1
279,1,STEP,5215253691000,5217384882600,2131191600,-1
280,1,STEP,5217401755600,5219619383000,2217627400,-1
281,1,STEP,5219636746100,5221762902100,2126156000,-1
282,1,STEP,5221827896600,5223924679100,2096782500,-1
283,1,STEP,5223943301700,5226086361800,2143060100,-1
284,1,STEP,5226103775800,5228232287500,2128511700,-1
285,1,STEP,5228249469100,5230454864800,2205395700,-1
286,1,STEP,5230473619400,5232646607000,2172987600,-1
287,1,STEP,5232664126000,5234866053900,2201927900,-1
288,1,STEP,5234883394700,5237038440300,2155045600,-1
289,1,STEP,5237056443200,5239232088400,2175645200,-1
290,1,STEP,5239249904900,5241415017100,2165112200,-1
291,1,STEP,5241432357800,5243625256500,2192898700,-1
292,1,STEP,5243642246800,5245829063400,2186816600,-1
293,1,STEP,5245847677400,5248044589800,2196912400,-1
294,1,STEP,5248062537100,5250281938100,2219401000,-1
295,1,STEP,5250299030800,5252484274000,2185243200,-1
296,1,STEP,5252501474300,5254800137900,2298663600,-1
297,1,STEP,5254817471000,5257039396300,2221925300,-1
298,1,STEP,5257066196800,5259321943100,2255746300,-1
299,1,STEP,5259340410900,5261557561900,2217151000,-1
300,1,STEP,5261575373700,5263874625300,2299251600,-1
301,1,STEP,5263893152700,5266054758900,2161606200,-1
302,1,STEP,5266071881700,5268307884700,2236003000,-1
303,1,STEP,5268325719200,5270744629600,2418910400,-1
304,1,STEP,5270763122300,5272993172600,2230050300,-1
305,1,STEP,5273012204000,5275324575800,2312371800,-1
306,1,STEP,5275343648700,5277571585100,2227936400,-1
307,1,STEP,5277590628000,5279910489700,2319861700,-1
308,1,STEP,5279927820800,5282169367200,2241546400,-1
309,1,STEP,5282187985100,5284388418500,2200433400,-1
310,1,STEP,5284405729000,5286830747000,2425018000,-1
311,1,STEP,5286853061500,5289141229800,2288168300,-1
312,1,STEP,5289159210100,5291456435600,2297225500,-1
313,1,STEP,5291475767100,5293767219300,2291452200,-1
314,1,STEP,5293786386600,5296066658200,2280271600,-1
315,1,STEP,5296083999500,5298376688500,2292689000,-1
316,1,STEP,5298395647000,5300622409200,2226762200,-1
317,1,STEP,5300639368300,5302969820300,2330452000,-1
318,1,STEP,5302987664700,5305300395600,2312730900,-1
319,1,STEP,5305318093300,5307643767500,2325674200,-1
320,1,STEP,5307663267200,5309926382900,2263115700,-1
321,1,STEP,5309999097500,5312258705000,2259607500,-1
322,1,STEP,5312275593800,5314551856500,2276262700,-1
323,1,STEP,5314579810100,5316893311100,2313501000,-1
324,1,STEP,5316914635200,5319198075700,2283440500,-1
325,1,STEP,5319216859900,5321464058500,2247198600,-1
326,1,STEP,5321484809400,5323654100300,2169290900,-1
327,1,STEP,5323670983100,5325989029000,2318045900,-1
328,1,STEP,5326007904600,5328300094500,2292189900,-1
329,1,STEP,5328319646500,5330532155900,2212509400,-1
330,1,STEP,5330552642000,5332836889400,2284247400,-1
331,1,STEP,5332854761300,5335178545900,2323784600,-1
332,1,STEP,5335196244500,5337505768500,2309524000,-1
333,1,STEP,5337523852800,5339779711000,2255858200,-1
334,1,STEP,5339797856100,5342097747400,2299891300,-1
335,1,STEP,5342115668100,5344393817600,2278149500,-1
336,1,STEP,5344412262600,5346692180500,2279917900,-1
337,1,STEP,5346709862100,5348930212000,2220349900,-1
338,1,STEP,5348949571300,5351259147500,2309576200,-1
339,1,STEP,5351277524200,5353515774300,2238250100,-1
340,1,STEP,5353533246400,5355775425200,2242178800,-1
341,1,STEP,5355793639400,5358138497400,2344858000,-1
342,1,STEP,5358158066900,5360375502600,2217435700,-1
343,1,STEP,5360393021500,5362843299600,2450278100,-1
344,1,STEP,5362863069800,5365079737800,2216668000,-1
345,1,STEP,5365097890100,5367388639800,2290749700,-1
346,1,STEP,5367407065500,5369738246300,2331180800,-1
347,1,STEP,5369757896000,5371953972500,2196076500,-1
348,1,STEP,5371972016600,5374227326400,2255309800,-1
349,1,STEP,5374255792800,5376634038100,2378245300,-1
350,1,STEP,5376653944800,5378921919100,2267974300,-1
351,1,STEP,5378940242800,5381274500400,2334257600,-1
352,1,STEP,5381293623800,5383514309000,2220685200,-1
353,1,STEP,5383538117400,5385760371400,2222254000,-1
354,1,STEP,5385780192400,5388036410200,2256217800,-1
355,1,STEP,5388055897600,5390507201600,2451304000,-1
356,1,STEP,5390525941500,5393056127700,2530186200,-1
357,1,STEP,5393074725200,5395513487500,2438762300,-1
358,1,STEP,5395532477300,5398037550900,2505073600,-1
359,1,STEP,5398064381900,5400453099900,2388718000,-1
360,1,STEP,5400469733100,5402831284200,2361551100,-1
361,1,STEP,5402849449600,5405149765900,2300316300,-1
362,1,STEP,5405166529300,5407445809900,2279280600,-1
363,1,STEP,5407463553100,5409722177500,2258624400,-1
364,1,STEP,5409740932300,5412145406400,2404474100,-1
365,1,STEP,5412163249000,5414459090700,2295841700,-1
366,1,STEP,5414479136000,5416750344700,2271208700,-1
367,1,STEP,5416767605300,5419201934200,2434328900,-1
368,1,STEP,5419219912500,5421445188400,2225275900,-1
369,1,STEP,5421462936300,5423684010300,2221074000,-1
370,1,STEP,5423701601300,5425973341000,2271739700,-1
371,1,STEP,5425991053700,5428237381200,2246327500,-1
372,1,STEP,5428254902500,5430456798700,2201896200,-1
373,1,STEP,5430474284300,5432724067300,2249783000,-1
374,1,STEP,5432741732900,5435046433800,2304700900,-1
375,1,STEP,5435067638800,5437331759000,2264120200,-1
376,1,STEP,5437347450600,5439620397100,2272946500,-1
377,1,STEP,5439638037000,5441845934400,2207897400,-1
378,1,STEP,5441863308200,5444105396300,2242088100,-1
379,1,STEP,5444123946500,5446400849000,2276902500,-1
380,1,STEP,5446418353100,5448752107500,2333754400,-1
381,1,STEP,5448770018500,5450989190200,2219171700,-1
382,1,STEP,5451007015400,5453260348400,2253333000,-1
383,1,STEP,5453277076300,5455488820200,2211743900,-1
384,1,STEP,5455506925700,5457769248100,2262322400,-1
385,1,STEP,5457786906100,5460048645700,2261739600,-1
386,1,STEP,5460068474700,5462303303800,2234829100,-1
387,1,STEP,5462321912200,5464585876400,2263964200,-1
388,1,STEP,5464603682700,5466814348300,2210665600,-1
389,1,STEP,5466832138300,5469081386700,2249248400,-1
390,1,STEP,5469098758800,5471324962600,2226203800,-1
391,1,STEP,5471346162100,5473571983200,2225821100,-1
392,1,STEP,5473588837700,5475930352100,2341514400,-1
393,1,STEP,5475947989200,5478255803000,2307813800,-1
394,1,STEP,5478273590600,5480492871900,2219281300,-1
