Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,7170396518700,7171694439300,1297920600,-1
0,1,STEP,7172118736200,7172205092700,86356500,-1
1,1,STEP,7172205159300,7172308043300,102884000,-1
2,1,STEP,7172308108900,7172405635700,97526800,-1
3,1,STEP,7172405688800,7172506747200,101058400,-1
4,1,STEP,7172506802600,7172609644200,102841600,-1
5,1,STEP,7172609703300,7172712869900,103166600,-1
6,1,STEP,7172712925700,7172816146900,103221200,-1
7,1,STEP,7172816194600,7172916198500,100003900,-1
8,1,STEP,7172916383100,7173017775300,101392200,-1
9,1,STEP,7173017832500,7173119908900,102076400,-1
10,1,STEP,7173119960100,7173210093900,90133800,-1
11,1,STEP,7173210152800,7173311476000,101323200,-1
12,1,STEP,7173311542200,7173413770400,102228200,-1
13,1,STEP,7173413837900,7173504409100,90571200,-1
14,1,STEP,7173504468500,7173606571200,102102700,-1
15,1,STEP,7173606629200,7173710130400,103501200,-1
16,1,STEP,7173710182300,7173811151000,100968700,-1
17,1,STEP,7173811207200,7173915649900,104442700,-1
18,1,STEP,7173915752000,7174019749000,103997000,-1
19,1,STEP,7174019815900,7174122020900,102205000,-1
20,1,STEP,7174122082400,7174225586500,103504100,-1
21,1,STEP,7174225649700,7174328945400,103295700,-1
22,1,STEP,7174329118000,7174432712100,103594100,-1
23,1,STEP,7174432765400,7174535392400,102627000,-1
24,1,STEP,7174535448500,7174638242300,102793800,-1
25,1,STEP,7174638296200,7174739511500,101215300,-1
26,1,STEP,7174739570900,7174845439200,105868300,-1
27,1,STEP,7174845501200,7174950456400,104955200,-1
28,1,STEP,7174950514800,7175052100200,101585400,-1
29,1,STEP,7175052155700,7175154613000,102457300,-1
30,1,STEP,7175154687000,7175258750800,104063800,-1
31,1,STEP,7175258809500,7175359929300,101119800,-1
32,1,STEP,7175359992100,7175461904600,101912500,-1
33,1,STEP,7175461963600,7175563191500,101227900,-1
34,1,STEP,7175563243100,7175664778400,101535300,-1
35,1,STEP,7175664833700,7175764982500,100148800,-1
36,1,STEP,7175765036000,7175864654000,99618000,-1
37,1,STEP,7175864701800,7175963446400,98744600,-1
38,1,STEP,7175963501500,7176061395700,97894200,-1
39,1,STEP,7176061447400,7176163054900,101607500,-1
40,1,STEP,7176163106800,7176266158900,103052100,-1
41,1,STEP,7176266212000,7176378208000,111996000,-1
42,1,STEP,7176378268700,7176487076800,108808100,-1
43,1,STEP,7176487136700,7176589749200,102612500,-1
44,1,STEP,7176589815400,7176702032800,112217400,-1
45,1,STEP,7176702085500,7176812099400,110013900,-1
46,1,STEP,7176812152500,7176922654800,110502300,-1
47,1,STEP,7176922712600,7177031710300,108997700,-1
48,1,STEP,7177031767900,7177138003100,106235200,-1
49,1,STEP,7177138054400,7177248113200,110058800,-1
50,1,STEP,7177248171800,7177358433000,110261200,-1
51,1,STEP,7177358488200,7177468592100,110103900,-1
52,1,STEP,7177468656300,7177580668900,112012600,-1
53,1,STEP,7177580744500,7177692144600,111400100,-1
54,1,STEP,7177692199500,7177810275900,118076400,-1
55,1,STEP,7177810349700,7177921562800,111213100,-1
56,1,STEP,7177921617700,7178031335100,109717400,-1
57,1,STEP,7178031380900,7178150064600,118683700,-1
58,1,STEP,7178150122600,7178269132500,119009900,-1
59,1,STEP,7178269183200,7178385408600,116225400,-1
60,1,STEP,7178385466400,7178502635100,117168700,-1
61,1,STEP,7178502695400,7178622773600,120078200,-1
62,1,STEP,7178622865600,7178742074500,119208900,-1
63,1,STEP,7178742140800,7178864694300,122553500,-1
64,1,STEP,7178864757200,7178983891300,119134100,-1
65,1,STEP,7178984016100,7179102303500,118287400,-1
66,1,STEP,7179102366500,7179227393100,125026600,-1
67,1,STEP,7179227458400,7179348069600,120611200,-1
68,1,STEP,7179348131100,7179467634000,119502900,-1
69,1,STEP,7179467687300,7179589200800,121513500,-1
70,1,STEP,7179589254200,7179715297900,126043700,-1
71,1,STEP,7179715375700,7179836763500,121387800,-1
72,1,STEP,7179836822200,7179957920200,121098000,-1
73,1,STEP,7179957971400,7180080515700,122544300,-1
74,1,STEP,7180080565300,7180200822800,120257500,-1
75,1,STEP,7180200878400,7180322599400,121721000,-1
76,1,STEP,7180322648000,7180440983200,118335200,-1
77,1,STEP,7180441038800,7180565984900,124946100,-1
78,1,STEP,7180566042800,7180684797200,118754400,-1
79,1,STEP,7180684867000,7180803614100,118747100,-1
80,1,STEP,7180803685900,7180928893300,125207400,-1
