Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4605132575700,4606288152200,1155576500,-1
0,1,STEP,4606288609500,4606296372500,7763000,-1
1,1,STEP,4606296499200,4606303634800,7135600,-1
2,1,STEP,4606303782000,4606311336200,7554200,-1
3,1,STEP,4606311459200,4606318992600,7533400,-1
4,1,STEP,4606319114800,4606326423500,7308700,-1
5,1,STEP,4606326547500,4606332076800,5529300,-1
6,1,STEP,4606332180200,4606337987500,5807300,-1
7,1,STEP,4606338119800,4606343674100,5554300,-1
8,1,STEP,4606343786000,4606350123700,6337700,-1
9,1,STEP,4606350264700,4606354817700,4553000,-1
10,1,STEP,4606354934700,4606360783100,5848400,-1
11,1,STEP,4606360910000,4606368328400,7418400,-1
12,1,STEP,4606368479900,4606375202000,6722100,-1
13,1,STEP,4606375335900,4606381052300,5716400,-1
14,1,STEP,4606381178700,4606388053800,6875100,-1
15,1,STEP,4606388196500,4606393675500,5479000,-1
16,1,STEP,4606393782000,4606400254100,6472100,-1
17,1,STEP,4606400367300,4606405103100,4735800,-1
18,1,STEP,4606405232700,4606411271600,6038900,-1
19,1,STEP,4606411395100,4606417659100,6264000,-1
20,1,STEP,4606417789600,4606422630000,4840400,-1
21,1,STEP,4606422742900,4606428104000,5361100,-1
22,1,STEP,4606428210200,4606433834800,5624600,-1
23,1,STEP,4606433935700,4606438202700,4267000,-1
24,1,STEP,4606438302500,4606442608100,4305600,-1
25,1,STEP,4606442714100,4606448542000,5827900,-1
26,1,STEP,4606448664500,4606453763200,5098700,-1
27,1,STEP,4606453877300,4606459069900,5192600,-1
28,1,STEP,4606459172000,4606463572600,4400600,-1
29,1,STEP,4606463684000,4606468889700,5205700,-1
30,1,STEP,4606469000500,4606474419200,5418700,-1
31,1,STEP,4606474529600,4606479716600,5187000,-1
32,1,STEP,4606479844200,4606483426000,3581800,-1
33,1,STEP,4606483532100,4606488453500,4921400,-1
34,1,STEP,4606488552400,4606493440200,4887800,-1
35,1,STEP,4606493535500,4606498318500,4783000,-1
36,1,STEP,4606498434600,4606503482500,5047900,-1
37,1,STEP,4606503589800,4606508048400,4458600,-1
38,1,STEP,4606508169800,4606513796200,5626400,-1
39,1,STEP,4606513912900,4606519518400,5605500,-1
40,1,STEP,4606519635700,4606525694400,6058700,-1
41,1,STEP,4606525817700,4606530721200,4903500,-1
42,1,STEP,4606530835400,4606536907000,6071600,-1
43,1,STEP,4606537034200,4606542580100,5545900,-1
44,1,STEP,4606542717000,4606548817700,6100700,-1
45,1,STEP,4606548954600,4606555949000,6994400,-1
46,1,STEP,4606556081000,4606564465600,8384600,-1
