Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,4793235244800,4793846771900,611527100,-1
0,1,STEP,4793968504300,4793974654000,6149700,-1
1,1,STEP,4793974714300,4793980880400,6166100,-1
2,1,STEP,4793980977800,4793987425400,6447600,-1
3,1,STEP,4793987487000,4793993510000,6023000,-1
4,1,STEP,4793993571600,4793999643700,6072100,-1
5,1,STEP,4793999706700,4794005904000,6197300,-1
6,1,STEP,4794005939000,4794012109000,6170000,-1
7,1,STEP,4794012190500,4794018133600,5943100,-1
8,1,STEP,4794018197400,4794024339500,6142100,-1
9,1,STEP,4794024405500,4794030413900,6008400,-1
10,1,STEP,4794030489500,4794036443700,5954200,-1
11,1,STEP,4794036508600,4794042509700,6001100,-1
12,1,STEP,4794042578400,4794048554200,5975800,-1
13,1,STEP,4794048622000,4794054652800,6030800,-1
14,1,STEP,4794054722500,4794060870500,6148000,-1
15,1,STEP,4794060926400,4794067437100,6510700,-1
16,1,STEP,4794067490800,4794074114500,6623700,-1
17,1,STEP,4794074150700,4794080837500,6686800,-1
18,1,STEP,4794080886400,4794086895400,6009000,-1
19,1,STEP,4794086925600,4794093297600,6372000,-1
20,1,STEP,4794093333900,4794099820100,6486200,-1
21,1,STEP,4794099861800,4794106126800,6265000,-1
22,1,STEP,4794106160000,4794112491600,6331600,-1
23,1,STEP,4794112529000,4794118793800,6264800,-1
24,1,STEP,4794118844400,4794124880500,6036100,-1
25,1,STEP,4794124917500,4794131057500,6140000,-1
26,1,STEP,4794131115500,4794136850800,5735300,-1
27,1,STEP,4794136889000,4794142884300,5995300,-1
28,1,STEP,4794142934600,4794149022100,6087500,-1
29,1,STEP,4794149060700,4794155361000,6300300,-1
30,1,STEP,4794155421800,4794161396200,5974400,-1
31,1,STEP,4794161461700,4794167549200,6087500,-1
32,1,STEP,4794167608300,4794173898800,6290500,-1
33,1,STEP,4794173938400,4794180649900,6711500,-1
34,1,STEP,4794180689400,4794187112300,6422900,-1
35,1,STEP,4794187146400,4794193456900,6310500,-1
36,1,STEP,4794193488000,4794199824600,6336600,-1
37,1,STEP,4794199868100,4794206285300,6417200,-1
38,1,STEP,4794206316400,4794212662600,6346200,-1
39,1,STEP,4794212694300,4794218996600,6302300,-1
40,1,STEP,4794219046300,4794225436200,6389900,-1
41,1,STEP,4794225486200,4794231925100,6438900,-1
42,1,STEP,4794231984000,4794238258900,6274900,-1
43,1,STEP,4794238315000,4794244272400,5957400,-1
44,1,STEP,4794244326200,4794250171100,5844900,-1
45,1,STEP,4794250219900,4794256196100,5976200,-1
46,1,STEP,4794256254800,4794262863600,6608800,-1
47,1,STEP,4794262908200,4794269523800,6615600,-1
48,1,STEP,4794269557900,4794275929300,6371400,-1
49,1,STEP,4794275990000,4794282288300,6298300,-1
50,1,STEP,4794282325400,4794288576800,6251400,-1
51,1,STEP,4794288611200,4794294941600,6330400,-1
52,1,STEP,4794294976900,4794301311700,6334800,-1
53,1,STEP,4794301346500,4794307713700,6367200,-1
54,1,STEP,4794307750300,4794314083100,6332800,-1
55,1,STEP,4794314127700,4794320349100,6221400,-1
56,1,STEP,4794320397800,4794326867200,6469400,-1
57,1,STEP,4794326904900,4794333365100,6460200,-1
58,1,STEP,4794333413400,4794339865900,6452500,-1
59,1,STEP,4794339906500,4794346463700,6557200,-1
60,1,STEP,4794346520200,4794353410100,6889900,-1
61,1,STEP,4794353465200,4794360170000,6704800,-1
62,1,STEP,4794360207400,4794367106900,6899500,-1
