Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,346998611700,348563197800,1564586100,-1
0,1,STEP,349007249500,349066929100,59679600,-1
1,1,STEP,349066976600,349126356400,59379800,-1
2,1,STEP,349126410300,349185923400,59513100,-1
3,1,STEP,349185970400,349245340100,59369700,-1
4,1,STEP,349245394400,349304915100,59520700,-1
5,1,STEP,349304969400,349364187700,59218300,-1
6,1,STEP,349364249000,349423578500,59329500,-1
7,1,STEP,349423634000,349483523800,59889800,-1
8,1,STEP,349483576200,349543473000,59896800,-1
9,1,STEP,349543532600,349603397400,59864800,-1
10,1,STEP,349603456300,349663040800,59584500,-1
11,1,STEP,349663090600,349722994700,59904100,-1
12,1,STEP,349723043100,349782970400,59927300,-1
13,1,STEP,349783025100,349842895200,59870100,-1
14,1,STEP,349842943700,349902618800,59675100,-1
15,1,STEP,349902664000,349962537600,59873600,-1
16,1,STEP,349962591000,350022493600,59902600,-1
17,1,STEP,350022543900,350082080400,59536500,-1
18,1,STEP,350082127900,350141789600,59661700,-1
19,1,STEP,350141836400,350201637100,59800700,-1
20,1,STEP,350201685700,350262305700,60620000,-1
21,1,STEP,350262430300,350322742700,60312400,-1
22,1,STEP,350322789000,350382737500,59948500,-1
23,1,STEP,350382790900,350442620700,59829800,-1
24,1,STEP,350442673700,350502394700,59721000,-1
25,1,STEP,350502449500,350561912500,59463000,-1
26,1,STEP,350561990900,350621440100,59449200,-1
27,1,STEP,350621488000,350681306600,59818600,-1
28,1,STEP,350681355200,350740978300,59623100,-1
29,1,STEP,350741023800,350800671400,59647600,-1
30,1,STEP,350800720700,350860601300,59880600,-1
31,1,STEP,350860648100,350920600800,59952700,-1
32,1,STEP,350920650000,350980477600,59827600,-1
33,1,STEP,350980525800,351040446000,59920200,-1
34,1,STEP,351040495500,351100359500,59864000,-1
35,1,STEP,351100404600,351160231700,59827100,-1
36,1,STEP,351160276300,351219965700,59689400,-1
37,1,STEP,351220038400,351279708100,59669700,-1
38,1,STEP,351279754300,351339722900,59968600,-1
39,1,STEP,351339777000,351399777500,60000500,-1
40,1,STEP,351399825900,351459619600,59793700,-1
41,1,STEP,351459668200,351519385900,59717700,-1
42,1,STEP,351519436700,351579189500,59752800,-1
43,1,STEP,351579242000,351638781000,59539000,-1
44,1,STEP,351638861900,351698248200,59386300,-1
45,1,STEP,351698332800,351757849700,59516900,-1
46,1,STEP,351757910000,351817313400,59403400,-1
47,1,STEP,351817365300,351877205000,59839700,-1
48,1,STEP,351877260600,351936878900,59618300,-1
49,1,STEP,351936930600,351996647000,59716400,-1
50,1,STEP,351996697100,352056557100,59860000,-1
51,1,STEP,352056608200,352116551700,59943500,-1
52,1,STEP,352116600700,352176453500,59852800,-1
53,1,STEP,352176507200,352236400600,59893400,-1
54,1,STEP,352236447900,352296439100,59991200,-1
55,1,STEP,352296490800,352356400600,59909800,-1
56,1,STEP,352356454300,352416299000,59844700,-1
57,1,STEP,352416346700,352476320100,59973400,-1
58,1,STEP,352476384700,352536050500,59665800,-1
59,1,STEP,352536098600,352595635000,59536400,-1
60,1,STEP,352595691800,352655651200,59959400,-1
61,1,STEP,352655698900,352715555800,59856900,-1
62,1,STEP,352715606500,352775594500,59988000,-1
63,1,STEP,352775666100,352835206900,59540800,-1
64,1,STEP,352835261500,352894668700,59407200,-1
65,1,STEP,352894721400,352954332000,59610600,-1
66,1,STEP,352954381100,353014313100,59932000,-1
67,1,STEP,353014375200,353074368600,59993400,-1
68,1,STEP,353074418600,353134243400,59824800,-1
69,1,STEP,353134297300,353194302500,60005200,-1
70,1,STEP,353194350500,353254235800,59885300,-1
71,1,STEP,353254282200,353314078900,59796700,-1
72,1,STEP,353314127800,353374143200,60015400,-1
73,1,STEP,353374191000,353434049300,59858300,-1
74,1,STEP,353434096300,353494001700,59905400,-1
75,1,STEP,353494051800,353553886600,59834800,-1
76,1,STEP,353553958500,353613624400,59665900,-1
77,1,STEP,353613671600,353673537300,59865700,-1
78,1,STEP,353673587600,353733461800,59874200,-1
79,1,STEP,353733508800,353793360800,59852000,-1
80,1,STEP,353793410100,353853235400,59825300,-1
81,1,STEP,353853292800,353913255800,59963000,-1
82,1,STEP,353913304900,353972903200,59598300,-1
83,1,STEP,353972965200,354032462600,59497400,-1
84,1,STEP,354032539100,354092301000,59761900,-1
85,1,STEP,354092351700,354152307200,59955500,-1
86,1,STEP,354152361100,354212214200,59853100,-1
87,1,STEP,354212261900,354272026700,59764800,-1
