Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,4.04354e-60,0.136758,5000,1,7,1,0,1,1
2,1.03634e-59,0.135817,5000,1,7,1,0,6,6
3,4.39976e-58,0.132068,5000,1,7,1,0,6,6
4,4.39976e-58,0.132068,5000,1,7,1,0,5,5
5,8.77057e-56,0.126773,5000,1,7,1,0,4,4
6,7.23617e-50,0.11315,5000,1,8,1,0,5,5
7,7.23617e-50,0.11315,5000,1,8,1,0,0,0
8,7.23617e-50,0.11315,5000,1,8,1,0,5,5
9,4.7655e-44,0.0997523,5000,1,7,1,0,5,5
10,4.7655e-44,0.0997523,5000,1,7,1,0,3,3
11,4.7655e-44,0.0997523,5000,1,8,1,0,3,3
12,4.7655e-44,0.0997523,5000,1,11,1,0,2,2
13,4.7655e-44,0.0997523,5000,1,11,1,0,4,4
14,4.7655e-44,0.0997523,5000,1,11,1,0,2,2
15,4.7655e-44,0.0997523,5000,1,11,1,0,7,7
16,4.7655e-44,0.0997523,5000,1,6,1,0,7,7
17,4.7655e-44,0.0997523,5000,1,6,1,0,5,5
18,4.7655e-44,0.0997523,5000,1,7,1,0,5,5
19,9.35223e-42,0.094473,5000,2,8,2,0,10,10
20,9.35223e-42,0.094473,5000,2,8,2,0,4,4
21,9.35223e-42,0.094473,5000,2,8,2,0,3,3
22,9.35223e-42,0.094473,5000,2,8,2,0,4,4
23,3.34166e-36,0.0816866,5000,2,7,2,0,2,2
24,3.34166e-36,0.0816866,5000,2,7,2,0,5,5
25,3.34166e-36,0.0816866,5000,2,8,2,0,9,9
26,3.34166e-36,0.0816866,5000,2,8,2,0,2,2
27,3.34166e-36,0.0816866,5000,2,7,2,0,4,4
28,2.71069e-33,0.0749881,5000,2,8,2,0,7,7
29,2.71069e-33,0.0749881,5000,2,8,2,0,4,4
30,1.42704e-32,0.0733271,5000,2,8,2,0,6,6
31,1.39138e-31,0.0710498,5000,2,7,2,0,10,10
32,1.39138e-31,0.0710498,5000,2,7,2,0,8,8
33,1.39138e-31,0.0710498,5000,2,7,2,0,5,5
34,1.39138e-31,0.0710498,5000,2,7,2,0,5,5
35,1.39138e-31,0.0710498,5000,2,7,2,0,4,4
36,1.39138e-31,0.0710498,5000,2,7,2,0,6,6
37,4.05001e-29,0.0653762,5000,2,9,2,0,6,6
38,4.05001e-29,0.0653762,5000,2,9,2,0,4,4
39,4.05001e-29,0.0653762,5000,2,9,2,0,5,5
40,4.05001e-29,0.0653762,5000,2,9,2,0,0,0
41,4.05001e-29,0.0653762,5000,2,9,2,0,1,1
42,4.05001e-29,0.0653762,5000,2,9,2,0,3,3
43,4.80857e-29,0.0652046,5000,2,8,2,0,4,4
44,8.68246e-28,0.0623111,5000,2,9,2,0,9,9
45,8.68246e-28,0.0623111,5000,2,9,2,0,7,7
46,8.68246e-28,0.0623111,5000,2,9,2,0,6,6
47,8.45327e-27,0.0600352,5000,2,9,2,0,3,3
48,8.45327e-27,0.0600352,5000,2,9,2,0,5,5
49,8.45327e-27,0.0600352,5000,2,9,2,0,3,3
50,8.45327e-27,0.0600352,5000,2,9,2,0,5,5
51,8.45327e-27,0.0600352,5000,2,9,2,0,5,5
52,8.45327e-27,0.0600352,5000,2,9,2,0,6,6
53,2.43927e-26,0.0589755,5000,2,10,2,0,5,5
54,2.43927e-26,0.0589755,5000,2,10,2,0,4,4
55,2.43927e-26,0.0589755,5000,2,9,2,0,6,6
56,5.28923e-26,0.0582015,5000,2,8,2,0,5,5
57,5.28923e-26,0.0582015,5000,2,8,2,0,6,6
58,5.28923e-26,0.0582015,5000,2,8,2,0,6,6
59,5.28923e-26,0.0582015,5000,2,8,2,0,5,5
60,5.28923e-26,0.0582015,5000,2,8,2,0,7,7
61,5.28923e-26,0.0582015,5000,2,7,2,0,8,8
62,9.42105e-23,0.0507165,5000,3,9,3,0,7,7
63,9.42105e-23,0.0507165,5000,3,9,3,0,4,4
64,9.42105e-23,0.0507165,5000,3,9,3,0,3,3
65,2.37985e-19,0.0428821,5000,3,8,3,0,4,4
66,2.37985e-19,0.0428821,5000,3,8,3,0,1,1
67,2.37985e-19,0.0428821,5000,3,8,3,0,6,6
68,2.37985e-19,0.0428821,5000,3,7,3,0,5,5
69,2.37985e-19,0.0428821,5000,3,7,3,0,8,8
70,2.37985e-19,0.0428821,5000,3,7,3,0,3,3
71,2.37985e-19,0.0428821,5000,3,7,3,0,2,2
72,2.37985e-19,0.0428821,5000,3,8,3,0,3,3
73,2.37985e-19,0.0428821,5000,3,8,3,0,5,5
74,2.37985e-19,0.0428821,5000,3,8,3,0,5,5
75,2.37985e-19,0.0428821,5000,3,7,3,0,4,4
76,2.37985e-19,0.0428821,5000,3,7,3,0,2,2
77,2.37985e-19,0.0428821,5000,3,7,3,0,5,5
78,2.37985e-19,0.0428821,5000,3,7,3,0,5,5
79,2.37985e-19,0.0428821,5000,3,7,3,0,7,7
80,2.37985e-19,0.0428821,5000,3,8,3,0,4,4
81,2.37985e-19,0.0428821,5000,3,7,3,0,3,3
82,2.37985e-19,0.0428821,5000,3,8,3,0,7,7
83,2.37985e-19,0.0428821,5000,3,7,3,0,6,6
84,2.37985e-19,0.0428821,5000,3,7,3,0,5,5
85,2.37985e-19,0.0428821,5000,3,6,3,0,6,6
86,2.5187e-19,0.0428254,5000,3,11,4,0,6,6
87,2.5187e-19,0.0428254,5000,3,11,4,0,3,3
88,2.5187e-19,0.0428254,5000,3,11,4,0,4,4
89,2.5187e-19,0.0428254,5000,3,11,4,0,3,3
90,2.5187e-19,0.0428254,5000,3,11,4,0,5,5
91,1.35133e-18,0.0411454,5000,3,9,3,0,8,8
92,1.35133e-18,0.0411454,5000,3,10,3,0,5,5
93,1.35133e-18,0.0411454,5000,3,8,3,0,4,4
94,1.35133e-18,0.0411454,5000,3,9,3,0,7,7
95,1.35133e-18,0.0411454,5000,3,8,3,0,3,3
96,1.35133e-18,0.0411454,5000,3,8,3,0,1,1
97,1.35133e-18,0.0411454,5000,3,8,3,0,4,4
98,1.35133e-18,0.0411454,5000,3,9,3,0,7,7
99,1.35133e-18,0.0411454,5000,3,9,3,0,4,4
100,5.61164e-18,0.0397217,5000,3,11,3,0,5,5
101,5.61164e-18,0.0397217,5000,3,11,3,0,9,9
102,5.61164e-18,0.0397217,5000,3,11,3,0,4,4
103,5.61164e-18,0.0397217,5000,3,11,3,0,2,2
104,1.51804e-17,0.0387265,5000,4,10,4,0,6,6
105,1.51804e-17,0.0387265,5000,4,10,4,0,5,5
106,1.51804e-17,0.0387265,5000,4,10,4,0,4,4
107,7.59991e-16,0.0348132,5000,4,11,4,0,6,6
108,7.59991e-16,0.0348132,5000,4,11,4,0,3,3
109,7.59991e-16,0.0348132,5000,4,10,4,0,4,4
110,7.59991e-16,0.0348132,5000,4,10,4,0,6,6
111,7.59991e-16,0.0348132,5000,4,10,4,0,4,4
112,8.25459e-16,0.0347306,5000,5,10,4,2,8,8
113,8.25459e-16,0.0347306,5000,5,11,4,2,6,6
114,7.59991e-16,0.0348132,5000,4,11,4,0,1,1
115,1.56333e-14,0.0317894,5000,4,11,4,0,6,6
116,1.56333e-14,0.0317894,5000,4,11,4,0,3,3
117,2.58487e-14,0.0312865,5000,4,10,4,0,5,5
118,2.58487e-14,0.0312865,5000,4,10,4,0,6,6
119,2.58487e-14,0.0312865,5000,4,10,4,0,3,3
120,2.58487e-14,0.0312865,5000,4,10,4,0,2,2
121,2.91258e-14,0.0311672,5000,4,10,4,0,5,5
122,1.0534e-12,0.027579,5000,4,12,4,0,8,8
123,1.0534e-12,0.027579,5000,4,12,4,0,4,4
124,1.0534e-12,0.027579,5000,4,12,4,0,5,5
125,1.0534e-12,0.027579,5000,4,12,4,0,5,5
126,2.717e-12,0.0266315,5000,4,9,4,0,7,7
127,2.717e-12,0.0266315,5000,4,8,4,0,8,8
128,2.717e-12,0.0266315,5000,4,9,4,0,5,5
129,2.717e-12,0.0266315,5000,4,9,4,0,3,3
130,2.717e-12,0.0266315,5000,4,9,4,0,7,7
131,2.717e-12,0.0266315,5000,4,9,4,0,7,7
132,2.717e-12,0.0266315,5000,4,9,4,0,4,4
133,2.717e-12,0.0266315,5000,4,10,4,0,5,5
134,2.717e-12,0.0266315,5000,4,10,4,0,2,2
135,2.717e-12,0.0266315,5000,4,9,4,0,3,3
136,2.717e-12,0.0266315,5000,4,8,4,0,3,3
137,2.717e-12,0.0266315,5000,4,8,4,0,4,4
138,2.717e-12,0.0266315,5000,4,8,4,0,3,3
139,2.717e-12,0.0266315,5000,4,10,4,0,5,5
140,2.717e-12,0.0266315,5000,4,12,4,0,9,9
141,2.717e-12,0.0266315,5000,4,12,4,0,1,1
142,2.717e-12,0.0266315,5000,4,13,4,0,3,3
143,2.717e-12,0.0266315,5000,4,11,4,0,1,1
144,2.717e-12,0.0266315,5000,4,11,4,0,10,10
145,2.717e-12,0.0266315,5000,4,11,4,0,3,3
146,2.717e-12,0.0266315,5000,4,11,4,0,5,5
147,2.717e-12,0.0266315,5000,4,10,4,0,9,9
148,2.717e-12,0.0266315,5000,4,12,4,0,6,6
149,2.717e-12,0.0266315,5000,4,12,4,0,2,2
150,2.717e-12,0.0266315,5000,4,11,4,0,4,4
151,3.45483e-12,0.0263912,5000,4,11,4,0,7,7
152,2.74832e-12,0.02662,5000,4,10,4,0,5,5
153,2.74832e-12,0.02662,5000,4,10,4,0,4,4
154,2.717e-12,0.0266315,5000,4,11,4,0,3,3
155,2.717e-12,0.0266315,5000,4,11,4,0,3,3
156,2.76965e-12,0.0266123,5000,4,14,4,0,6,6
157,2.76965e-12,0.0266123,5000,4,14,4,0,8,8
158,2.76965e-12,0.0266123,5000,4,14,4,0,2,2
159,3.45483e-12,0.0263912,5000,4,11,4,0,6,6
160,3.45483e-12,0.0263912,5000,4,11,4,0,9,9
161,3.45483e-12,0.0263912,5000,4,11,4,0,6,6
162,3.45483e-12,0.0263912,5000,4,10,4,0,5,5
163,3.45483e-12,0.0263912,5000,4,11,4,0,2,2
164,3.45483e-12,0.0263912,5000,4,12,4,0,6,6
165,3.45483e-12,0.0263912,5000,4,10,4,0,2,2
166,3.7583e-12,0.0263071,5000,4,11,4,0,3,3
