Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,750579315000,750654674000,75359000,-1
0,1,STEP,750685877200,750688469200,2592000,-1
1,1,STEP,750688581500,750690991200,2409700,-1
2,1,STEP,750691045600,750693041800,1996200,-1
3,1,STEP,750693075700,750695094500,2018800,-1
4,1,STEP,750695138000,750697179100,2041100,-1
5,1,STEP,750697232000,750699172000,1940000,-1
6,1,STEP,750699207200,750701141100,1933900,-1
7,1,STEP,750701175000,750703340600,2165600,-1
8,1,STEP,750703407300,750705335000,1927700,-1
9,1,STEP,750705370900,750707247300,1876400,-1
10,1,STEP,750707281000,750709576800,2295800,-1
11,1,STEP,750709627400,750711872600,2245200,-1
12,1,STEP,750711918000,750714155300,2237300,-1
13,1,STEP,750714189900,750716282000,2092100,-1
14,1,STEP,750716359200,750718266200,1907000,-1
15,1,STEP,750718302000,750720094600,1792600,-1
16,1,STEP,750720122900,750721923700,1800800,-1
17,1,STEP,750721947600,750723828000,1880400,-1
18,1,STEP,750723867400,750725677000,1809600,-1
19,1,STEP,750725704100,750727512100,1808000,-1
20,1,STEP,750727537200,750729379800,1842600,-1
21,1,STEP,750729408000,750731295000,1887000,-1
22,1,STEP,750731356200,750733166300,1810100,-1
23,1,STEP,750733191700,750734978800,1787100,-1
24,1,STEP,750735002700,750736863800,1861100,-1
25,1,STEP,750736902300,750738784800,1882500,-1
26,1,STEP,750738841700,750740633300,1791600,-1
27,1,STEP,750740659600,750742459900,1800300,-1
28,1,STEP,750742483900,750744324500,1840600,-1
29,1,STEP,750744363700,750746198600,1834900,-1
30,1,STEP,750746248800,750747971400,1722600,-1
31,1,STEP,750747999800,750749685800,1686000,-1
32,1,STEP,750749712800,750751429900,1717100,-1
33,1,STEP,750751471800,750753278300,1806500,-1
34,1,STEP,750753307800,750755018600,1710800,-1
35,1,STEP,750755043400,750756764300,1720900,-1
36,1,STEP,750756787700,750758561400,1773700,-1
37,1,STEP,750758603300,750760336500,1733200,-1
38,1,STEP,750760367400,750762083900,1716500,-1
39,1,STEP,750762124000,750763816600,1692600,-1
40,1,STEP,750763843800,750765868400,2024600,-1
41,1,STEP,750765917300,750767821800,1904500,-1
42,1,STEP,750767859100,750769988200,2129100,-1
43,1,STEP,750770019300,750772026100,2006800,-1
44,1,STEP,750772095800,750774016400,1920600,-1
45,1,STEP,750774062300,750776018900,1956600,-1
46,1,STEP,750776047200,750778166600,2119400,-1
47,1,STEP,750778200100,750780185800,1985700,-1
48,1,STEP,750780240000,750782247500,2007500,-1
49,1,STEP,750782274800,750784139000,1864200,-1
50,1,STEP,750784163700,750786324800,2161100,-1
51,1,STEP,750786367000,750788293200,1926200,-1
52,1,STEP,750788328700,750790035500,1706800,-1
53,1,STEP,750790062800,750791994600,1931800,-1
54,1,STEP,750792036100,750794077800,2041700,-1
55,1,STEP,750794141700,750795885000,1743300,-1
56,1,STEP,750795915900,750797630000,1714100,-1
57,1,STEP,750797655800,750799515300,1859500,-1
58,1,STEP,750799560200,750801359100,1798900,-1
59,1,STEP,750801428400,750803341300,1912900,-1
60,1,STEP,750803377800,750805071700,1693900,-1
61,1,STEP,750805097100,750806833300,1736200,-1
62,1,STEP,750806880900,750808742600,1861700,-1
63,1,STEP,750808781600,750810578500,1796900,-1
64,1,STEP,750810610600,750812369400,1758800,-1
65,1,STEP,750812394800,750814578400,2183600,-1
66,1,STEP,750814638400,750816753000,2114600,-1
67,1,STEP,750816788600,750818840800,2052200,-1
68,1,STEP,750818866400,750820866800,2000400,-1
69,1,STEP,750820915400,750823045300,2129900,-1
70,1,STEP,750823084500,750825067600,1983100,-1
71,1,STEP,750825096600,750827065900,1969300,-1
72,1,STEP,750827104500,750829178600,2074100,-1
73,1,STEP,750829253300,750831076600,1823300,-1
74,1,STEP,750831110600,750832781700,1671100,-1
75,1,STEP,750832809400,750834697400,1888000,-1
76,1,STEP,750834754800,750836825600,2070800,-1
77,1,STEP,750836872900,750838853600,1980700,-1
78,1,STEP,750838898000,750841567700,2669700,-1
79,1,STEP,750841650800,750844568300,2917500,-1
80,1,STEP,750844633300,750847263700,2630400,-1
81,1,STEP,750847328300,750850077900,2749600,-1
82,1,STEP,750850140100,750852521000,2380900,-1
83,1,STEP,750852571700,750855071100,2499400,-1
84,1,STEP,750855155700,750857791200,2635500,-1
85,1,STEP,750857856100,750860166100,2310000,-1
86,1,STEP,750860215600,750862783100,2567500,-1
87,1,STEP,750862858300,750865256700,2398400,-1
88,1,STEP,750865306300,750867719700,2413400,-1
89,1,STEP,750867762600,750870398100,2635500,-1
90,1,STEP,750870459600,750873047400,2587800,-1
91,1,STEP,750873100500,750875497400,2396900,-1
92,1,STEP,750875632400,750878128900,2496500,-1
93,1,STEP,750878206400,750880764800,2558400,-1
94,1,STEP,750880828800,750883290200,2461400,-1
95,1,STEP,750883391500,750886107800,2716300,-1
96,1,STEP,750886165500,750888559900,2394400,-1
97,1,STEP,750888616300,750891106700,2490400,-1
98,1,STEP,750891171800,750893911800,2740000,-1
99,1,STEP,750894004800,750896631500,2626700,-1
100,1,STEP,750896752600,750899783000,3030400,-1
101,1,STEP,750899842500,750902591900,2749400,-1
102,1,STEP,750902638700,750904938700,2300000,-1
103,1,STEP,750905003100,750906896600,1893500,-1
104,1,STEP,750906943400,750908630800,1687400,-1
105,1,STEP,750908663100,750910478000,1814900,-1
106,1,STEP,750910562600,750912521900,1959300,-1
107,1,STEP,750912624600,750914711200,2086600,-1
108,1,STEP,750914754600,750916914000,2159400,-1
109,1,STEP,750916966300,750919512100,2545800,-1
110,1,STEP,750919595100,750921537400,1942300,-1
111,1,STEP,750921592300,750923565800,1973500,-1
112,1,STEP,750923625000,750925540900,1915900,-1
113,1,STEP,750925603100,750927768000,2164900,-1
114,1,STEP,750927823400,750929616700,1793300,-1
115,1,STEP,750929652800,750931539200,1886400,-1
116,1,STEP,750931628700,750933727400,2098700,-1
117,1,STEP,750933807300,750935577400,1770100,-1
118,1,STEP,750935611100,750937385100,1774000,-1
119,1,STEP,750937429200,750939443800,2014600,-1
120,1,STEP,750939529300,750941592100,2062800,-1
121,1,STEP,750941642900,750943707500,2064600,-1
122,1,STEP,750943748200,750945849000,2100800,-1
123,1,STEP,750945962000,750947793800,1831800,-1
124,1,STEP,750947885200,750949597400,1712200,-1
125,1,STEP,750949633300,750951332200,1698900,-1
126,1,STEP,750951387400,750953320100,1932700,-1
127,1,STEP,750953397400,750955300300,1902900,-1
128,1,STEP,750955353700,750956867500,1513800,-1
129,1,STEP,750956899600,750958475300,1575700,-1
130,1,STEP,750958531100,750960435300,1904200,-1
131,1,STEP,750960523700,750962223000,1699300,-1
132,1,STEP,750962274500,750963786600,1512100,-1
133,1,STEP,750963821000,750965462900,1641900,-1
134,1,STEP,750965528800,750967343000,1814200,-1
135,1,STEP,750967436500,750969069600,1633100,-1
136,1,STEP,750969116100,750970650800,1534700,-1
137,1,STEP,750970686800,750972298900,1612100,-1
138,1,STEP,750972355400,750974216800,1861400,-1
139,1,STEP,750974275200,750975915000,1639800,-1
140,1,STEP,750975961300,750977511700,1550400,-1
141,1,STEP,750977545000,750979063600,1518600,-1
142,1,STEP,750979091000,750980781500,1690500,-1
143,1,STEP,750980848400,750982476300,1627900,-1
144,1,STEP,750982671600,750984320900,1649300,-1
145,1,STEP,750984355600,750985905500,1549900,-1
146,1,STEP,750985938600,750987610600,1672000,-1
147,1,STEP,750987699400,750989334900,1635500,-1
148,1,STEP,750989426000,750991027900,1601900,-1
149,1,STEP,750991056000,750992590400,1534400,-1
150,1,STEP,750992615400,750994373900,1758500,-1
151,1,STEP,750994502600,750996115400,1612800,-1
152,1,STEP,750996166900,750997671800,1504900,-1
153,1,STEP,750997697400,750999249000,1551600,-1
154,1,STEP,750999277200,751000874000,1596800,-1
155,1,STEP,751000920400,751002526800,1606400,-1
156,1,STEP,751002583400,751004164600,1581200,-1
157,1,STEP,751004202500,751005740200,1537700,-1
158,1,STEP,751005767400,751007367700,1600300,-1
