Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,444393155400,454263345200,9870189800,-1
0,1,STEP,454263495000,454324168500,60673500,-1
1,1,STEP,454325364400,454381424700,56060300,-1
2,1,STEP,454382921600,454434627400,51705800,-1
3,1,STEP,454436142500,454485900900,49758400,-1
4,1,STEP,454487355700,454534867500,47511800,-1
5,1,STEP,454536351500,454585433800,49082300,-1
6,1,STEP,454586868400,454635689200,48820800,-1
7,1,STEP,454637130800,454689254000,52123200,-1
8,1,STEP,454690920200,454736609200,45689000,-1
9,1,STEP,454738193100,454788264000,50070900,-1
10,1,STEP,454789858000,454842241600,52383600,-1
11,1,STEP,454843837100,454897049200,53212100,-1
12,1,STEP,454898689900,454954348400,55658500,-1
13,1,STEP,454956939700,455010874100,53934400,-1
14,1,STEP,455012442100,455066154100,53712000,-1
15,1,STEP,455067876700,455125051300,57174600,-1
16,1,STEP,455127039500,455188919700,61880200,-1
17,1,STEP,455190657700,455244401200,53743500,-1
18,1,STEP,455246078900,455302689900,56611000,-1
19,1,STEP,455304449100,455354144900,49695800,-1
20,1,STEP,455355815000,455407110900,51295900,-1
21,1,STEP,455408877700,455460076100,51198400,-1
22,1,STEP,455461726300,455508055900,46329600,-1
23,1,STEP,455509519500,455556038900,46519400,-1
24,1,STEP,455557451200,455601238200,43787000,-1
25,1,STEP,455602827300,455657206000,54378700,-1
26,1,STEP,455658877800,455706415200,47537400,-1
27,1,STEP,455707828400,455754462200,46633800,-1
28,1,STEP,455756022500,455803318500,47296000,-1
29,1,STEP,455804841400,455852102100,47260700,-1
30,1,STEP,455853488000,455903456000,49968000,-1
31,1,STEP,455905386100,455960661400,55275300,-1
32,1,STEP,455962883400,456018763100,55879700,-1
33,1,STEP,456020330800,456074586000,54255200,-1
34,1,STEP,456076255600,456146213100,69957500,-1
35,1,STEP,456150065800,456220708300,70642500,-1
36,1,STEP,456222504900,456297462000,74957100,-1
37,1,STEP,456300492900,456357177500,56684600,-1
38,1,STEP,456359043500,456415083500,56040000,-1
39,1,STEP,456416835600,456470896500,54060900,-1
40,1,STEP,456472511300,456524085200,51573900,-1
41,1,STEP,456528219100,456586826800,58607700,-1
42,1,STEP,456588601800,456637753900,49152100,-1
43,1,STEP,456639416700,456692058000,52641300,-1
44,1,STEP,456693640100,456742628600,48988500,-1
45,1,STEP,456744312100,456794326700,50014600,-1
46,1,STEP,456795974400,456842210900,46236500,-1
47,1,STEP,456843778100,456898051000,54272900,-1
48,1,STEP,456901874300,456964164100,62289800,-1
49,1,STEP,456966411700,457017314600,50902900,-1
50,1,STEP,457018811600,457064621400,45809800,-1
51,1,STEP,457066190500,457118802400,52611900,-1
52,1,STEP,457120300900,457164007900,43707000,-1
53,1,STEP,457165378700,457212333400,46954700,-1
54,1,STEP,457213712400,457258774100,45061700,-1
55,1,STEP,457260263100,457301824200,41561100,-1
56,1,STEP,457303140600,457347151600,44011000,-1
57,1,STEP,457348741600,457399835300,51093700,-1
58,1,STEP,457401613900,457453063700,51449800,-1
59,1,STEP,457455862100,457503542500,47680400,-1
60,1,STEP,457504991300,457546749200,41757900,-1
61,1,STEP,457548080800,457592632400,44551600,-1
62,1,STEP,457593977900,457640366700,46388800,-1
63,1,STEP,457641832000,457688956900,47124900,-1
64,1,STEP,457690580000,457738561200,47981200,-1
65,1,STEP,457740150500,457786329400,46178900,-1
66,1,STEP,457787732200,457833492300,45760100,-1
67,1,STEP,457835170400,457879706200,44535800,-1
68,1,STEP,457880980000,457923201200,42221200,-1
69,1,STEP,457924484800,457971306400,46821600,-1
70,1,STEP,457972827000,458018561600,45734600,-1
71,1,STEP,458020142100,458063014700,42872600,-1
72,1,STEP,458064400800,458112303300,47902500,-1
73,1,STEP,458113899300,458159039100,45139800,-1
74,1,STEP,458160374900,458209860700,49485800,-1
75,1,STEP,458211681400,458259868700,48187300,-1
76,1,STEP,458261211400,458314692200,53480800,-1
77,1,STEP,458317090200,458364763000,47672800,-1
78,1,STEP,458366207700,458415060000,48852300,-1
79,1,STEP,458416488200,458460652600,44164400,-1
80,1,STEP,458461931900,458509562100,47630200,-1
81,1,STEP,458511159800,458561931400,50771600,-1
82,1,STEP,458563523700,458613289400,49765700,-1
83,1,STEP,458614743100,458661627400,46884300,-1
84,1,STEP,458663108300,458711129400,48021100,-1
85,1,STEP,458712587000,458761171300,48584300,-1
86,1,STEP,458762732900,458811841300,49108400,-1
87,1,STEP,458813199300,458860076700,46877400,-1
88,1,STEP,458861686600,458909842100,48155500,-1
89,1,STEP,458911226300,458958790700,47564400,-1
90,1,STEP,458960238700,459012686000,52447300,-1
91,1,STEP,459015921200,459066167400,50246200,-1
92,1,STEP,459067713400,459115197900,47484500,-1
93,1,STEP,459116776400,459169788600,53012200,-1
94,1,STEP,459171405700,459226871900,55466200,-1
95,1,STEP,459228751800,459274868600,46116800,-1
96,1,STEP,459276211100,459322009400,45798300,-1
97,1,STEP,459323491800,459369585200,46093400,-1
98,1,STEP,459371203800,459425162700,53958900,-1
99,1,STEP,459428671300,459487307900,58636600,-1
100,1,STEP,459489087400,459544152600,55065200,-1
