Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,2684827644000,2686103912600,1276268600,-1
0,1,STEP,2686529370800,2686536641500,7270700,-1
1,1,STEP,2686536716400,2686544556700,7840300,-1
2,1,STEP,2686544606700,2686551972200,7365500,-1
3,1,STEP,2686552049900,2686558853600,6803700,-1
4,1,STEP,2686558904600,2686566258900,7354300,-1
5,1,STEP,2686566311000,2686573490000,7179000,-1
6,1,STEP,2686573703200,2686580157400,6454200,-1
7,1,STEP,2686580202600,2686587504000,7301400,-1
8,1,STEP,2686587562600,2686595059400,7496800,-1
9,1,STEP,2686595106700,2686602132600,7025900,-1
10,1,STEP,2686602189600,2686609341700,7152100,-1
11,1,STEP,2686609414100,2686616513800,7099700,-1
12,1,STEP,2686616577000,2686623587200,7010200,-1
13,1,STEP,2686623635600,2686630742200,7106600,-1
14,1,STEP,2686630782000,2686637844800,7062800,-1
15,1,STEP,2686637883100,2686645188700,7305600,-1
16,1,STEP,2686645268500,2686652381000,7112500,-1
17,1,STEP,2686652444000,2686659892000,7448000,-1
18,1,STEP,2686659934500,2686667713500,7779000,-1
19,1,STEP,2686667769200,2686675550800,7781600,-1
20,1,STEP,2686675613400,2686683435500,7822100,-1
21,1,STEP,2686683495400,2686691339400,7844000,-1
22,1,STEP,2686691414900,2686698747700,7332800,-1
23,1,STEP,2686698799800,2686706746500,7946700,-1
24,1,STEP,2686706853400,2686714700400,7847000,-1
25,1,STEP,2686714883300,2686722619300,7736000,-1
26,1,STEP,2686722690900,2686730507400,7816500,-1
27,1,STEP,2686730567500,2686738383300,7815800,-1
28,1,STEP,2686738472400,2686746129300,7656900,-1
29,1,STEP,2686746186400,2686754049800,7863400,-1
30,1,STEP,2686754106400,2686762035800,7929400,-1
31,1,STEP,2686762097000,2686769786400,7689400,-1
32,1,STEP,2686769839000,2686777435200,7596200,-1
33,1,STEP,2686777469500,2686785071900,7602400,-1
34,1,STEP,2686785106500,2686792823700,7717200,-1
35,1,STEP,2686792864900,2686799777900,6913000,-1
36,1,STEP,2686799820800,2686807532000,7711200,-1
37,1,STEP,2686807563400,2686814632400,7069000,-1
38,1,STEP,2686814673700,2686822423300,7749600,-1
39,1,STEP,2686822478800,2686830042600,7563800,-1
40,1,STEP,2686830100200,2686837793700,7693500,-1
41,1,STEP,2686837829700,2686845449500,7619800,-1
42,1,STEP,2686845488700,2686853453000,7964300,-1
43,1,STEP,2686853500900,2686861340200,7839300,-1
44,1,STEP,2686861370900,2686869370600,7999700,-1
45,1,STEP,2686869415300,2686877140500,7725200,-1
46,1,STEP,2686877182800,2686884980700,7797900,-1
47,1,STEP,2686885021000,2686892838300,7817300,-1
48,1,STEP,2686892908700,2686900565800,7657100,-1
49,1,STEP,2686900610900,2686908431500,7820600,-1
50,1,STEP,2686908496000,2686916314100,7818100,-1
51,1,STEP,2686916370400,2686923993800,7623400,-1
52,1,STEP,2686924053000,2686930472700,6419700,-1
53,1,STEP,2686930547600,2686938178900,7631300,-1
54,1,STEP,2686938268700,2686945805000,7536300,-1
55,1,STEP,2686945879400,2686953821300,7941900,-1
56,1,STEP,2686953918400,2686961654600,7736200,-1
57,1,STEP,2686961733900,2686969453100,7719200,-1
58,1,STEP,2686969540800,2686977688500,8147700,-1
59,1,STEP,2686977742700,2686985522200,7779500,-1
60,1,STEP,2686985561900,2686993398500,7836600,-1
61,1,STEP,2686993445200,2687001064600,7619400,-1
62,1,STEP,2687001150300,2687008876900,7726600,-1
63,1,STEP,2687008916600,2687015913300,6996700,-1
64,1,STEP,2687015983500,2687023618200,7634700,-1
65,1,STEP,2687023676200,2687031069300,7393100,-1
66,1,STEP,2687031112300,2687037612100,6499800,-1
67,1,STEP,2687037671200,2687045729700,8058500,-1
68,1,STEP,2687045766800,2687053890300,8123500,-1
69,1,STEP,2687053935200,2687061713100,7777900,-1
70,1,STEP,2687061745400,2687069828700,8083300,-1
71,1,STEP,2687069872200,2687077927100,8054900,-1
72,1,STEP,2687077967100,2687086034900,8067800,-1
73,1,STEP,2687086077000,2687094218200,8141200,-1
74,1,STEP,2687094257400,2687102413600,8156200,-1
75,1,STEP,2687102448900,2687110498600,8049700,-1
76,1,STEP,2687110538300,2687118372100,7833800,-1
77,1,STEP,2687118447100,2687126129200,7682100,-1
78,1,STEP,2687126185000,2687133815500,7630500,-1
79,1,STEP,2687133866700,2687141514000,7647300,-1
80,1,STEP,2687141566600,2687149134500,7567900,-1
81,1,STEP,2687149192900,2687157249800,8056900,-1
82,1,STEP,2687157344500,2687165344800,8000300,-1
83,1,STEP,2687165391200,2687172969300,7578100,-1
84,1,STEP,2687173009500,2687180637500,7628000,-1
85,1,STEP,2687180693700,2687188270300,7576600,-1
86,1,STEP,2687188306700,2687195600800,7294100,-1
87,1,STEP,2687195652900,2687203110600,7457700,-1
88,1,STEP,2687203145100,2687211050800,7905700,-1
89,1,STEP,2687211089900,2687217835900,6746000,-1
90,1,STEP,2687217884700,2687224580600,6695900,-1
91,1,STEP,2687224643400,2687231942500,7299100,-1
92,1,STEP,2687231993900,2687239254400,7260500,-1
93,1,STEP,2687239325300,2687246617900,7292600,-1
94,1,STEP,2687246674800,2687253961200,7286400,-1
95,1,STEP,2687254049500,2687261485900,7436400,-1
96,1,STEP,2687261568900,2687268921900,7353000,-1
97,1,STEP,2687269104700,2687276395300,7290600,-1
98,1,STEP,2687276443600,2687283683600,7240000,-1
99,1,STEP,2687283732700,2687290982800,7250100,-1
100,1,STEP,2687291059400,2687298528900,7469500,-1
101,1,STEP,2687298597500,2687305888800,7291300,-1
102,1,STEP,2687305952100,2687313537400,7585300,-1
103,1,STEP,2687313604100,2687321030700,7426600,-1
104,1,STEP,2687321084200,2687328504900,7420700,-1
105,1,STEP,2687328570400,2687335993100,7422700,-1
106,1,STEP,2687336063200,2687343352100,7288900,-1
107,1,STEP,2687343417700,2687350887800,7470100,-1
108,1,STEP,2687350941600,2687358594000,7652400,-1
109,1,STEP,2687358652100,2687365961200,7309100,-1
110,1,STEP,2687366021300,2687373366400,7345100,-1
111,1,STEP,2687373428600,2687380781600,7353000,-1
112,1,STEP,2687380826400,2687387400800,6574400,-1
113,1,STEP,2687387444800,2687394799800,7355000,-1
114,1,STEP,2687394904500,2687401407800,6503300,-1
115,1,STEP,2687401453900,2687408879100,7425200,-1
116,1,STEP,2687408966700,2687416557800,7591100,-1
