Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,2887607502400,2890142761200,2535258800,-1
0,1,STEP,2890577570800,2890583140500,5569700,-1
1,1,STEP,2890583241700,2890588391200,5149500,-1
2,1,STEP,2890588460800,2890593619100,5158300,-1
3,1,STEP,2890593684400,2890598812600,5128200,-1
4,1,STEP,2890598903800,2890603850600,4946800,-1
5,1,STEP,2890603948400,2890608914200,4965800,-1
6,1,STEP,2890609004200,2890614085100,5080900,-1
7,1,STEP,2890614172800,2890619341500,5168700,-1
8,1,STEP,2890619410500,2890624347700,4937200,-1
9,1,STEP,2890624415300,2890630247400,5832100,-1
10,1,STEP,2890630336600,2890635293300,4956700,-1
11,1,STEP,2890635360600,2890640367700,5007100,-1
12,1,STEP,2890640441700,2890645292200,4850500,-1
13,1,STEP,2890645395900,2890650464100,5068200,-1
14,1,STEP,2890650545600,2890655188700,4643100,-1
15,1,STEP,2890655258900,2890660086800,4827900,-1
16,1,STEP,2890660171800,2890665393300,5221500,-1
17,1,STEP,2890665472100,2890670713600,5241500,-1
18,1,STEP,2890670818300,2890675986900,5168600,-1
19,1,STEP,2890676046200,2890681147100,5100900,-1
20,1,STEP,2890681217800,2890686457500,5239700,-1
21,1,STEP,2890686525700,2890691353400,4827700,-1
22,1,STEP,2890691431100,2890696253900,4822800,-1
23,1,STEP,2890696327100,2890701172300,4845200,-1
24,1,STEP,2890701266000,2890706409700,5143700,-1
25,1,STEP,2890706489100,2890711456200,4967100,-1
26,1,STEP,2890711576000,2890716942500,5366500,-1
27,1,STEP,2890717057600,2890722404100,5346500,-1
28,1,STEP,2890722471500,2890727537000,5065500,-1
29,1,STEP,2890727619600,2890732647800,5028200,-1
30,1,STEP,2890732817000,2890738063600,5246600,-1
31,1,STEP,2890738154500,2890743155100,5000600,-1
32,1,STEP,2890743246700,2890748150800,4904100,-1
33,1,STEP,2890748273600,2890753390200,5116600,-1
34,1,STEP,2890753473100,2890758813900,5340800,-1
35,1,STEP,2890758897700,2890763770400,4872700,-1
36,1,STEP,2890763833200,2890768941200,5108000,-1
37,1,STEP,2890769057000,2890774197300,5140300,-1
38,1,STEP,2890774287800,2890779196700,4908900,-1
39,1,STEP,2890779280200,2890784494900,5214700,-1
40,1,STEP,2890784589800,2890789555800,4966000,-1
41,1,STEP,2890789629900,2890795014800,5384900,-1
42,1,STEP,2890795118200,2890800166400,5048200,-1
43,1,STEP,2890800250800,2890805044700,4793900,-1
44,1,STEP,2890805112200,2890810178000,5065800,-1
45,1,STEP,2890810263500,2890815259200,4995700,-1
46,1,STEP,2890815338600,2890820267600,4929000,-1
47,1,STEP,2890820346500,2890825376600,5030100,-1
48,1,STEP,2890825471500,2890830702900,5231400,-1
49,1,STEP,2890830851900,2890835747700,4895800,-1
50,1,STEP,2890835821500,2890840677800,4856300,-1
51,1,STEP,2890840779500,2890845829100,5049600,-1
52,1,STEP,2890845884600,2890851067300,5182700,-1
53,1,STEP,2890851102200,2890856209800,5107600,-1
54,1,STEP,2890856266200,2890860974600,4708400,-1
55,1,STEP,2890861056300,2890865928000,4871700,-1
56,1,STEP,2890865995000,2890870836700,4841700,-1
57,1,STEP,2890870883200,2890876263000,5379800,-1
58,1,STEP,2890876298000,2890881308100,5010100,-1
59,1,STEP,2890881395500,2890886218100,4822600,-1
60,1,STEP,2890886307600,2890891008100,4700500,-1
61,1,STEP,2890891076800,2890895903800,4827000,-1
62,1,STEP,2890896003200,2890901265000,5261800,-1
63,1,STEP,2890901339200,2890906594200,5255000,-1
64,1,STEP,2890906674900,2890911592500,4917600,-1
65,1,STEP,2890911666300,2890916555600,4889300,-1
66,1,STEP,2890916662200,2890921734400,5072200,-1
67,1,STEP,2890921812700,2890926760100,4947400,-1
68,1,STEP,2890926831700,2890931496100,4664400,-1
69,1,STEP,2890931571500,2890937611500,6040000,-1
70,1,STEP,2890937775100,2890943190100,5415000,-1
71,1,STEP,2890943282900,2890948629200,5346300,-1
72,1,STEP,2890948743300,2890953915200,5171900,-1
73,1,STEP,2890954001000,2890959183700,5182700,-1
74,1,STEP,2890959262500,2890964569300,5306800,-1
75,1,STEP,2890964679300,2890969780100,5100800,-1
76,1,STEP,2890969885600,2890975457800,5572200,-1
77,1,STEP,2890975553700,2890980870300,5316600,-1
78,1,STEP,2890980976600,2890986721400,5744800,-1
79,1,STEP,2890986844500,2890992464100,5619600,-1
80,1,STEP,2890992586400,2890998277000,5690600,-1
81,1,STEP,2890998350200,2891003851700,5501500,-1
82,1,STEP,2891004057700,2891009630200,5572500,-1
83,1,STEP,2891009711300,2891014988500,5277200,-1
84,1,STEP,2891015396700,2891021077000,5680300,-1
85,1,STEP,2891021153900,2891027290600,6136700,-1
86,1,STEP,2891027425300,2891033371500,5946200,-1
87,1,STEP,2891033452000,2891039436200,5984200,-1
88,1,STEP,2891039521500,2891045567400,6045900,-1
89,1,STEP,2891045669900,2891051671100,6001200,-1
90,1,STEP,2891051747300,2891057332200,5584900,-1
91,1,STEP,2891057414900,2891062686400,5271500,-1
92,1,STEP,2891062807200,2891068107300,5300100,-1
93,1,STEP,2891068199900,2891073451600,5251700,-1
94,1,STEP,2891073544600,2891078606000,5061400,-1
95,1,STEP,2891078680300,2891083952400,5272100,-1
96,1,STEP,2891084035800,2891089446400,5410600,-1
97,1,STEP,2891089547400,2891094999300,5451900,-1
98,1,STEP,2891095098600,2891100628100,5529500,-1
99,1,STEP,2891100742100,2891106063000,5320900,-1
100,1,STEP,2891106153600,2891111193900,5040300,-1
101,1,STEP,2891111272800,2891116362500,5089700,-1
102,1,STEP,2891116440500,2891121542300,5101800,-1
103,1,STEP,2891121653300,2891127340700,5687400,-1
104,1,STEP,2891127434000,2891132788300,5354300,-1
105,1,STEP,2891132874000,2891138841600,5967600,-1
106,1,STEP,2891138998000,2891144493700,5495700,-1
107,1,STEP,2891144565400,2891149830300,5264900,-1
108,1,STEP,2891149903100,2891155531300,5628200,-1
109,1,STEP,2891155631300,2891161092600,5461300,-1
110,1,STEP,2891161161000,2891166768100,5607100,-1
111,1,STEP,2891166847800,2891172319800,5472000,-1
112,1,STEP,2891172381400,2891177941700,5560300,-1
113,1,STEP,2891178031500,2891183746500,5715000,-1
114,1,STEP,2891183823800,2891189371100,5547300,-1
115,1,STEP,2891189492900,2891195044500,5551600,-1
116,1,STEP,2891195129900,2891200735800,5605900,-1
117,1,STEP,2891200816600,2891206700000,5883400,-1
118,1,STEP,2891206776300,2891212406500,5630200,-1
119,1,STEP,2891212478200,2891217977600,5499400,-1
120,1,STEP,2891218058600,2891223990500,5931900,-1
121,1,STEP,2891224079400,2891229714700,5635300,-1
122,1,STEP,2891229786100,2891235635900,5849800,-1
123,1,STEP,2891235735100,2891241342300,5607200,-1
124,1,STEP,2891241418100,2891247295200,5877100,-1
125,1,STEP,2891247368400,2891253022500,5654100,-1
126,1,STEP,2891253093300,2891258414900,5321600,-1
127,1,STEP,2891258488300,2891263985700,5497400,-1
128,1,STEP,2891264057700,2891269370200,5312500,-1
129,1,STEP,2891269451500,2891274364000,4912500,-1
130,1,STEP,2891274414700,2891279724700,5310000,-1
131,1,STEP,2891279816500,2891285742300,5925800,-1
132,1,STEP,2891285814600,2891291983600,6169000,-1
133,1,STEP,2891292078600,2891298435300,6356700,-1
134,1,STEP,2891298505200,2891304367700,5862500,-1
135,1,STEP,2891304440700,2891310159800,5719100,-1
136,1,STEP,2891310230100,2891316058800,5828700,-1
137,1,STEP,2891316152200,2891321893200,5741000,-1
138,1,STEP,2891321963800,2891328163100,6199300,-1
139,1,STEP,2891328269800,2891333701100,5431300,-1
140,1,STEP,2891333773100,2891339074100,5301000,-1
141,1,STEP,2891339139500,2891344408100,5268600,-1
142,1,STEP,2891344480500,2891349858700,5378200,-1
143,1,STEP,2891350027800,2891355343700,5315900,-1
144,1,STEP,2891355414900,2891360815000,5400100,-1
145,1,STEP,2891360918000,2891366332900,5414900,-1
146,1,STEP,2891366409000,2891371868100,5459100,-1
147,1,STEP,2891371966300,2891377363800,5397500,-1
148,1,STEP,2891377434300,2891383104900,5670600,-1
149,1,STEP,2891383186000,2891388743000,5557000,-1
150,1,STEP,2891388865400,2891394434000,5568600,-1
151,1,STEP,2891394526000,2891400395600,5869600,-1
152,1,STEP,2891400492300,2891406196400,5704100,-1
153,1,STEP,2891406382400,2891413540700,7158300,-1
154,1,STEP,2891413643600,2891422987900,9344300,-1
155,1,STEP,2891423093500,2891430325400,7231900,-1
156,1,STEP,2891430403900,2891436165600,5761700,-1
157,1,STEP,2891436331000,2891445917700,9586700,-1
158,1,STEP,2891445996700,2891453159100,7162400,-1
159,1,STEP,2891453275400,2891458476400,5201000,-1
160,1,STEP,2891458550500,2891464144400,5593900,-1
161,1,STEP,2891464237500,2891469701600,5464100,-1
162,1,STEP,2891469785800,2891478381100,8595300,-1
163,1,STEP,2891478459800,2891488603700,10143900,-1
164,1,STEP,2891488723200,2891497337300,8614100,-1
165,1,STEP,2891497472400,2891503234700,5762300,-1
166,1,STEP,2891503335300,2891508617600,5282300,-1
167,1,STEP,2891508713200,2891518312500,9599300,-1
168,1,STEP,2891518470600,2891529551000,11080400,-1
169,1,STEP,2891529669100,2891537535500,7866400,-1
170,1,STEP,2891537622100,2891542835700,5213600,-1
171,1,STEP,2891542943000,2891548124200,5181200,-1
172,1,STEP,2891548185200,2891553597800,5412600,-1
173,1,STEP,2891553694200,2891558860400,5166200,-1
174,1,STEP,2891558942900,2891564593000,5650100,-1
175,1,STEP,2891564684900,2891569939300,5254400,-1
176,1,STEP,2891570029900,2891575098000,5068100,-1
177,1,STEP,2891575183800,2891580350500,5166700,-1
178,1,STEP,2891580428900,2891585711800,5282900,-1
179,1,STEP,2891585796300,2891591063000,5266700,-1
