Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,2.05283e-62,0.144364,5000,0.94281,7.07104,0.940063,0.00427246,5.04736,5.04736
2,1.57715e-61,0.144099,5000,0.943726,7.09314,0.942749,0.003479,4.99707,4.99707
3,5.93361e-61,0.143481,5000,0.940491,7.12885,0.939148,0.00482178,4.98865,4.98865
4,2.2425e-60,0.142295,5000,0.946716,7.16583,0.94696,0.00390625,4.97546,4.97546
5,1.49969e-59,0.140861,5000,0.949768,7.19659,0.950073,0.00427246,4.97473,4.97473
6,8.8333e-54,0.139457,5000,0.951599,7.22485,0.952576,0.00366211,5.03345,5.03345
7,7.50825e-53,0.138136,5000,0.957886,7.26178,0.960815,0.00341797,4.97284,4.97284
8,3.0475e-52,0.137162,5000,0.958313,7.30591,0.964417,0.00292969,4.99988,4.99988
9,2.90936e-48,0.136358,5000,0.958557,7.32404,0.965271,0.00323486,5.03046,5.03046
10,2.61792e-47,0.135445,5000,0.956909,7.35132,0.96637,0.00421143,5.00323,5.00323
11,6.69013e-47,0.134253,5000,0.958679,7.37189,0.969604,0.00299072,4.98059,4.98059
12,1.74523e-46,0.132677,5000,0.959595,7.39624,0.97168,0.00292969,5.02045,5.02045
13,3.81039e-46,0.130856,5000,0.961548,7.41498,0.973145,0.00366211,5.00989,5.00989
14,7.38805e-46,0.128699,5000,0.9599,7.4184,0.968811,0.00317383,5.02942,5.02942
15,1.48342e-45,0.126447,5000,0.959351,7.43671,0.965759,0.00341797,5.00323,5.00323
16,2.83888e-45,0.123859,5000,0.960266,7.46368,0.966187,0.00366211,4.98987,4.98987
17,4.94187e-45,0.121179,5000,0.959717,7.49542,0.964111,0.00378418,5.02661,5.02661
18,7.9931e-45,0.118289,5000,0.960876,7.53192,0.962769,0.00378418,4.99835,4.99835
19,1.22756e-44,0.115346,5000,0.96344,7.58832,0.963623,0.00537109,4.99347,4.99347
20,2.11158e-44,0.112617,5000,0.964111,7.64124,0.962891,0.00469971,5.00513,5.00513
21,3.58428e-44,0.110003,5000,0.967285,7.69781,0.965332,0.00524902,4.99677,4.99677
22,5.09864e-44,0.107738,5000,0.968872,7.76569,0.965149,0.0057373,4.99335,4.99335
23,4.24267e-40,0.10608,5000,0.965332,7.82062,0.962463,0.00585938,4.99146,4.99146
24,3.63016e-39,0.104258,5000,0.977661,7.84485,0.974182,0.0067749,4.99261,4.99261
25,9.77646e-39,0.103501,5000,0.978516,7.87842,0.975342,0.00714111,5.01923,5.01923
