Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,5242374304100,5242754940000,380635900,-1
0,1,STEP,5242880898700,5242909820400,28921700,-1
1,1,STEP,5242909841300,5242938294700,28453400,-1
2,1,STEP,5242938321800,5242966797600,28475800,-1
3,1,STEP,5242966822200,5242995164100,28341900,-1
4,1,STEP,5242995194100,5243023554500,28360400,-1
5,1,STEP,5243023577100,5243052084900,28507800,-1
6,1,STEP,5243052103200,5243080508200,28405000,-1
7,1,STEP,5243080536100,5243108807600,28271500,-1
8,1,STEP,5243108837600,5243136784200,27946600,-1
9,1,STEP,5243136849500,5243165186100,28336600,-1
10,1,STEP,5243165213400,5243193263100,28049700,-1
11,1,STEP,5243193308000,5243221847200,28539200,-1
12,1,STEP,5243221914700,5243250425000,28510300,-1
13,1,STEP,5243250446100,5243278915800,28469700,-1
14,1,STEP,5243278942400,5243307402100,28459700,-1
15,1,STEP,5243307428900,5243336116600,28687700,-1
16,1,STEP,5243336142000,5243364515500,28373500,-1
17,1,STEP,5243364544100,5243393572300,29028200,-1
18,1,STEP,5243393601500,5243422147700,28546200,-1
19,1,STEP,5243422167200,5243450657500,28490300,-1
20,1,STEP,5243450681700,5243479297900,28616200,-1
21,1,STEP,5243479320500,5243507945200,28624700,-1
22,1,STEP,5243507965300,5243536460700,28495400,-1
23,1,STEP,5243536483600,5243564903300,28419700,-1
24,1,STEP,5243564928100,5243593245100,28317000,-1
25,1,STEP,5243593270700,5243621703100,28432400,-1
26,1,STEP,5243621728400,5243650731900,29003500,-1
27,1,STEP,5243650755400,5243679199600,28444200,-1
28,1,STEP,5243679226500,5243707755100,28528600,-1
29,1,STEP,5243707822200,5243736380800,28558600,-1
30,1,STEP,5243736401500,5243764876200,28474700,-1
31,1,STEP,5243764901200,5243793189000,28287800,-1
32,1,STEP,5243793212900,5243821680100,28467200,-1
33,1,STEP,5243821711200,5243850389600,28678400,-1
34,1,STEP,5243850440000,5243878625300,28185300,-1
35,1,STEP,5243878649800,5243906893400,28243600,-1
36,1,STEP,5243906913800,5243935354000,28440200,-1
37,1,STEP,5243935379300,5243963764600,28385300,-1
38,1,STEP,5243963787900,5243992384600,28596700,-1
39,1,STEP,5243992405400,5244020842900,28437500,-1
40,1,STEP,5244020868000,5244049401600,28533600,-1
41,1,STEP,5244049423300,5244077775200,28351900,-1
42,1,STEP,5244077797300,5244106384200,28586900,-1
43,1,STEP,5244106405400,5244134906900,28501500,-1
44,1,STEP,5244134934100,5244162934700,28000600,-1
45,1,STEP,5244162958400,5244191489700,28531300,-1
46,1,STEP,5244191525200,5244220218700,28693500,-1
47,1,STEP,5244220247200,5244248313200,28066000,-1
48,1,STEP,5244248341900,5244276326800,27984900,-1
49,1,STEP,5244276354800,5244304667300,28312500,-1
50,1,STEP,5244304697000,5244333333400,28636400,-1
51,1,STEP,5244333352900,5244361748400,28395500,-1
52,1,STEP,5244361772200,5244390535000,28762800,-1
53,1,STEP,5244390557700,5244418977100,28419400,-1
54,1,STEP,5244419000500,5244447540800,28540300,-1
55,1,STEP,5244447565300,5244476120000,28554700,-1
56,1,STEP,5244476155700,5244504806500,28650800,-1
57,1,STEP,5244504828000,5244533482500,28654500,-1
58,1,STEP,5244533507500,5244562587100,29079600,-1
59,1,STEP,5244562634000,5244591109600,28475600,-1
60,1,STEP,5244591130800,5244619602500,28471700,-1
61,1,STEP,5244619626800,5244648127400,28500600,-1
62,1,STEP,5244648151000,5244676711000,28560000,-1
63,1,STEP,5244676767500,5244705147600,28380100,-1
64,1,STEP,5244705172800,5244733895100,28722300,-1
65,1,STEP,5244733919300,5244762496600,28577300,-1
66,1,STEP,5244762523000,5244791232300,28709300,-1
67,1,STEP,5244791257900,5244819845600,28587700,-1
68,1,STEP,5244819865300,5244848241500,28376200,-1
69,1,STEP,5244848267000,5244877023400,28756400,-1
70,1,STEP,5244877051400,5244905302400,28251000,-1
71,1,STEP,5244905324800,5244933609800,28285000,-1
72,1,STEP,5244933646300,5244962112100,28465800,-1
73,1,STEP,5244962134800,5244990855200,28720400,-1
74,1,STEP,5244990877900,5245019488500,28610600,-1
75,1,STEP,5245019510800,5245047997400,28486600,-1
76,1,STEP,5245048017800,5245076790200,28772400,-1
77,1,STEP,5245076816100,5245105418800,28602700,-1
78,1,STEP,5245105441700,5245134040000,28598300,-1
79,1,STEP,5245134064400,5245162824000,28759600,-1
80,1,STEP,5245162871900,5245191423300,28551400,-1
81,1,STEP,5245191453800,5245219980600,28526800,-1
82,1,STEP,5245220004900,5245248644600,28639700,-1
83,1,STEP,5245248667300,5245277252100,28584800,-1
84,1,STEP,5245277355800,5245305890200,28534400,-1
85,1,STEP,5245305924500,5245334081700,28157200,-1
86,1,STEP,5245334107600,5245362819600,28712000,-1
87,1,STEP,5245362879800,5245391230100,28350300,-1
88,1,STEP,5245391256300,5245419819900,28563600,-1
89,1,STEP,5245419845900,5245449271900,29426000,-1
90,1,STEP,5245449294900,5245477867500,28572600,-1
91,1,STEP,5245477908800,5245506539600,28630800,-1
92,1,STEP,5245506567700,5245534869700,28302000,-1
93,1,STEP,5245534892200,5245563428300,28536100,-1
94,1,STEP,5245563461400,5245591848000,28386600,-1
95,1,STEP,5245591873600,5245620451400,28577800,-1
96,1,STEP,5245620489400,5245649153800,28664400,-1
97,1,STEP,5245649177400,5245677563800,28386400,-1
98,1,STEP,5245677593500,5245706126000,28532500,-1
99,1,STEP,5245706150900,5245734952400,28801500,-1
100,1,STEP,5245735000700,5245763632200,28631500,-1
101,1,STEP,5245763651000,5245792762900,29111900,-1
102,1,STEP,5245792788500,5245821237000,28448500,-1
103,1,STEP,5245821263000,5245849759500,28496500,-1
104,1,STEP,5245849788100,5245878340600,28552500,-1
105,1,STEP,5245878376300,5245906886300,28510000,-1
106,1,STEP,5245906904300,5245935653600,28749300,-1
107,1,STEP,5245935680500,5245964241300,28560800,-1
108,1,STEP,5245964266400,5245992838300,28571900,-1
109,1,STEP,5245992864300,5246021154800,28290500,-1
110,1,STEP,5246021180000,5246049872800,28692800,-1
111,1,STEP,5246049899500,5246079187100,29287600,-1
112,1,STEP,5246079221600,5246107862300,28640700,-1
113,1,STEP,5246107883700,5246136693000,28809300,-1
114,1,STEP,5246136723800,5246165442800,28719000,-1
115,1,STEP,5246165468700,5246194087000,28618300,-1
116,1,STEP,5246194115400,5246222962400,28847000,-1
117,1,STEP,5246222989900,5246251659400,28669500,-1
118,1,STEP,5246251682000,5246280518400,28836400,-1
119,1,STEP,5246280542100,5246309483600,28941500,-1
120,1,STEP,5246309510000,5246338190300,28680300,-1
121,1,STEP,5246338227000,5246367122800,28895800,-1
122,1,STEP,5246367153900,5246395346300,28192400,-1
123,1,STEP,5246395382300,5246424015600,28633300,-1
124,1,STEP,5246424042900,5246452764300,28721400,-1
125,1,STEP,5246452791600,5246481737400,28945800,-1
126,1,STEP,5246481766900,5246510465300,28698400,-1
127,1,STEP,5246510487800,5246539217000,28729200,-1
128,1,STEP,5246539238100,5246567866700,28628600,-1
129,1,STEP,5246567894600,5246596720000,28825400,-1
130,1,STEP,5246596747500,5246625249000,28501500,-1
131,1,STEP,5246625280100,5246653769600,28489500,-1
132,1,STEP,5246653802400,5246682594000,28791600,-1
133,1,STEP,5246682618900,5246711387200,28768300,-1
134,1,STEP,5246711410100,5246740105600,28695500,-1
135,1,STEP,5246740131200,5246768766000,28634800,-1
136,1,STEP,5246768790500,5246797612400,28821900,-1
137,1,STEP,5246797638600,5246826124400,28485800,-1
138,1,STEP,5246826148400,5246854754400,28606000,-1
139,1,STEP,5246854783800,5246883481000,28697200,-1
140,1,STEP,5246883504400,5246912241400,28737000,-1
141,1,STEP,5246912256900,5246941476100,29219200,-1
142,1,STEP,5246941499400,5246970619400,29120000,-1
143,1,STEP,5246970649600,5246999239500,28589900,-1
144,1,STEP,5246999265400,5247027544300,28278900,-1
145,1,STEP,5247027577500,5247056121600,28544100,-1
146,1,STEP,5247056148900,5247084971800,28822900,-1
147,1,STEP,5247084999800,5247113819600,28819800,-1
148,1,STEP,5247113857400,5247142469900,28612500,-1
149,1,STEP,5247142490200,5247171268000,28777800,-1
150,1,STEP,5247171311300,5247200165000,28853700,-1
151,1,STEP,5247200189400,5247228853200,28663800,-1
152,1,STEP,5247228878200,5247257536800,28658600,-1
153,1,STEP,5247257562500,5247286187600,28625100,-1
154,1,STEP,5247286211000,5247315049000,28838000,-1
155,1,STEP,5247315075100,5247343811600,28736500,-1
156,1,STEP,5247343837500,5247372611200,28773700,-1
157,1,STEP,5247372639800,5247401502700,28862900,-1
158,1,STEP,5247401534500,5247430076600,28542100,-1
159,1,STEP,5247430104800,5247458233100,28128300,-1
160,1,STEP,5247458260200,5247486916400,28656200,-1
161,1,STEP,5247486954800,5247515679200,28724400,-1
162,1,STEP,5247515703700,5247544604700,28901000,-1
163,1,STEP,5247544627700,5247573382600,28754900,-1
164,1,STEP,5247573415500,5247602246800,28831300,-1
165,1,STEP,5247602270600,5247631154700,28884100,-1
166,1,STEP,5247631179500,5247659972200,28792700,-1
167,1,STEP,5247659999600,5247688577000,28577400,-1
168,1,STEP,5247688596900,5247717436900,28840000,-1
169,1,STEP,5247717464100,5247746286500,28822400,-1
170,1,STEP,5247746305200,5247774998100,28692900,-1
171,1,STEP,5247775021800,5247803839200,28817400,-1
172,1,STEP,5247803904800,5247832606100,28701300,-1
173,1,STEP,5247832630600,5247861406000,28775400,-1
174,1,STEP,5247861432700,5247890077300,28644600,-1
175,1,STEP,5247890106000,5247919045500,28939500,-1
176,1,STEP,5247919074700,5247947800400,28725700,-1
177,1,STEP,5247947825700,5247976484300,28658600,-1
178,1,STEP,5247976506500,5248005257100,28750600,-1
179,1,STEP,5248005281700,5248034038900,28757200,-1
180,1,STEP,5248034063300,5248062782100,28718800,-1
181,1,STEP,5248062804600,5248091396400,28591800,-1
182,1,STEP,5248091416400,5248120332700,28916300,-1
183,1,STEP,5248120359900,5248148939900,28580000,-1
184,1,STEP,5248148963700,5248177690500,28726800,-1
185,1,STEP,5248177727000,5248206474900,28747900,-1
186,1,STEP,5248206500100,5248235203200,28703100,-1
187,1,STEP,5248235225200,5248264119000,28893800,-1
188,1,STEP,5248264142900,5248292912300,28769400,-1
189,1,STEP,5248292938100,5248321749500,28811400,-1
190,1,STEP,5248321777800,5248350479200,28701400,-1
191,1,STEP,5248350507500,5248379147700,28640200,-1
192,1,STEP,5248379173400,5248407592500,28419100,-1
193,1,STEP,5248407620100,5248436373200,28753100,-1
194,1,STEP,5248436397800,5248465149100,28751300,-1
195,1,STEP,5248465171700,5248493197200,28025500,-1
196,1,STEP,5248493222500,5248521483700,28261200,-1
197,1,STEP,5248521512100,5248549867700,28355600,-1
198,1,STEP,5248549887900,5248578724100,28836200,-1
199,1,STEP,5248578748900,5248607525400,28776500,-1
200,1,STEP,5248607544500,5248636315200,28770700,-1
201,1,STEP,5248636340200,5248665288500,28948300,-1
202,1,STEP,5248665313300,5248694190300,28877000,-1
203,1,STEP,5248694239600,5248723162500,28922900,-1
204,1,STEP,5248723182600,5248751628400,28445800,-1
205,1,STEP,5248751653500,5248780552500,28899000,-1
206,1,STEP,5248780604900,5248809224000,28619100,-1
207,1,STEP,5248809246900,5248838019500,28772600,-1
208,1,STEP,5248838044600,5248867180600,29136000,-1
209,1,STEP,5248867229900,5248897392500,30162600,-1
210,1,STEP,5248897422400,5248926300600,28878200,-1
211,1,STEP,5248926333600,5248954961300,28627700,-1
212,1,STEP,5248954987500,5248983860800,28873300,-1
213,1,STEP,5248983884700,5249012643500,28758800,-1
214,1,STEP,5249012663300,5249041495100,28831800,-1
215,1,STEP,5249041517300,5249070372000,28854700,-1
216,1,STEP,5249070410400,5249099055900,28645500,-1
217,1,STEP,5249099082200,5249127822500,28740300,-1
218,1,STEP,5249127863100,5249156461200,28598100,-1
219,1,STEP,5249156483800,5249185347100,28863300,-1
220,1,STEP,5249185374100,5249214260800,28886700,-1
221,1,STEP,5249214287100,5249243160000,28872900,-1
222,1,STEP,5249243184400,5249271860700,28676300,-1
223,1,STEP,5249271886000,5249300702100,28816100,-1
224,1,STEP,5249300729400,5249329578700,28849300,-1
225,1,STEP,5249329603100,5249358956900,29353800,-1
226,1,STEP,5249358984100,5249387671600,28687500,-1
227,1,STEP,5249387698400,5249416543500,28845100,-1
228,1,STEP,5249416567700,5249445317700,28750000,-1
229,1,STEP,5249445351900,5249473949000,28597100,-1
230,1,STEP,5249473971900,5249502715700,28743800,-1
231,1,STEP,5249502769400,5249531435100,28665700,-1
232,1,STEP,5249531502000,5249559862100,28360100,-1
233,1,STEP,5249559891100,5249588590000,28698900,-1
234,1,STEP,5249588614400,5249617515800,28901400,-1
235,1,STEP,5249617535200,5249646285600,28750400,-1
236,1,STEP,5249646308500,5249675044100,28735600,-1
237,1,STEP,5249675067300,5249703591100,28523800,-1
238,1,STEP,5249703617000,5249732048500,28431500,-1
239,1,STEP,5249732078700,5249760821600,28742900,-1
240,1,STEP,5249760843200,5249789409800,28566600,-1
241,1,STEP,5249789443000,5249817808600,28365600,-1
242,1,STEP,5249817838200,5249846565700,28727500,-1
243,1,STEP,5249846593000,5249875372100,28779100,-1
244,1,STEP,5249875399700,5249903835400,28435700,-1
245,1,STEP,5249903858700,5249932570300,28711600,-1
246,1,STEP,5249932598000,5249961360000,28762000,-1
247,1,STEP,5249961393000,5249990144300,28751300,-1
248,1,STEP,5249990169200,5250018733200,28564000,-1
249,1,STEP,5250018755600,5250047565500,28809900,-1
250,1,STEP,5250047594400,5250076480600,28886200,-1
251,1,STEP,5250076503300,5250105181300,28678000,-1
252,1,STEP,5250105203000,5250133952600,28749600,-1
253,1,STEP,5250133977000,5250162562800,28585800,-1
