Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3357521408900,3357584758500,63349600,-1
0,1,STEP,3357620571700,3357627054100,6482400,-1
1,1,STEP,3357627122500,3357633386700,6264200,-1
2,1,STEP,3357633454700,3357639884700,6430000,-1
3,1,STEP,3357639951100,3357646312800,6361700,-1
4,1,STEP,3357646384800,3357652483500,6098700,-1
5,1,STEP,3357652598000,3357658839100,6241100,-1
6,1,STEP,3357658903100,3357665250700,6347600,-1
7,1,STEP,3357665334100,3357672062900,6728800,-1
8,1,STEP,3357672181600,3357678823200,6641600,-1
9,1,STEP,3357678978000,3357685452900,6474900,-1
10,1,STEP,3357685545500,3357692258700,6713200,-1
11,1,STEP,3357692383000,3357699101400,6718400,-1
12,1,STEP,3357699237700,3357705706400,6468700,-1
13,1,STEP,3357705864300,3357712414300,6550000,-1
14,1,STEP,3357712558200,3357719058000,6499800,-1
15,1,STEP,3357719145500,3357725946600,6801100,-1
16,1,STEP,3357726031900,3357732562300,6530400,-1
17,1,STEP,3357732635100,3357739036700,6401600,-1
18,1,STEP,3357739120800,3357745265400,6144600,-1
19,1,STEP,3357745331000,3357751846800,6515800,-1
20,1,STEP,3357751908000,3357758405800,6497800,-1
21,1,STEP,3357758478800,3357764895900,6417100,-1
22,1,STEP,3357764958200,3357771365100,6406900,-1
23,1,STEP,3357771434700,3357778070200,6635500,-1
24,1,STEP,3357778141100,3357784604300,6463200,-1
25,1,STEP,3357784678500,3357791019800,6341300,-1
26,1,STEP,3357791143000,3357797550000,6407000,-1
27,1,STEP,3357797626500,3357804151500,6525000,-1
28,1,STEP,3357804243200,3357809351800,5108600,-1
29,1,STEP,3357809417600,3357814499000,5081400,-1
30,1,STEP,3357814558500,3357819522500,4964000,-1
31,1,STEP,3357819584400,3357824491900,4907500,-1
32,1,STEP,3357824558500,3357829351500,4793000,-1
33,1,STEP,3357829404100,3357834653900,5249800,-1
34,1,STEP,3357834716000,3357839871500,5155500,-1
35,1,STEP,3357839940400,3357845198900,5258500,-1
36,1,STEP,3357845266000,3357850422000,5156000,-1
37,1,STEP,3357850483900,3357855633800,5149900,-1
38,1,STEP,3357855710900,3357860906700,5195800,-1
39,1,STEP,3357860952500,3357866049500,5097000,-1
40,1,STEP,3357866106000,3357871315100,5209100,-1
41,1,STEP,3357871373600,3357876508500,5134900,-1
42,1,STEP,3357876572200,3357881769300,5197100,-1
43,1,STEP,3357881830300,3357887019100,5188800,-1
44,1,STEP,3357887109100,3357892196600,5087500,-1
45,1,STEP,3357892272200,3357897475400,5203200,-1
46,1,STEP,3357897536000,3357902769900,5233900,-1
47,1,STEP,3357902852900,3357908198200,5345300,-1
48,1,STEP,3357908289100,3357913534900,5245800,-1
49,1,STEP,3357913602600,3357919027100,5424500,-1
50,1,STEP,3357919101700,3357924769000,5667300,-1
51,1,STEP,3357924837500,3357930251000,5413500,-1
52,1,STEP,3357930319500,3357935481600,5162100,-1
53,1,STEP,3357935608800,3357941195300,5586500,-1
54,1,STEP,3357941322500,3357946668800,5346300,-1
55,1,STEP,3357946739600,3357951961200,5221600,-1
56,1,STEP,3357952029600,3357957398400,5368800,-1
57,1,STEP,3357957506300,3357962680900,5174600,-1
58,1,STEP,3357962862900,3357968417400,5554500,-1
59,1,STEP,3357968494400,3357974047200,5552800,-1
60,1,STEP,3357974147400,3357979401600,5254200,-1
61,1,STEP,3357979479700,3357984767400,5287700,-1
62,1,STEP,3357984853200,3357989931000,5077800,-1
63,1,STEP,3357990002800,3357995004600,5001800,-1
64,1,STEP,3357995072200,3358000210400,5138200,-1
65,1,STEP,3358000287500,3358005374800,5087300,-1
66,1,STEP,3358005478500,3358010645900,5167400,-1
67,1,STEP,3358010729800,3358015831600,5101800,-1
68,1,STEP,3358015897500,3358021032500,5135000,-1
69,1,STEP,3358021116000,3358026281200,5165200,-1
70,1,STEP,3358026345900,3358031462400,5116500,-1
71,1,STEP,3358031533000,3358036834400,5301400,-1
72,1,STEP,3358036903000,3358042143600,5240600,-1
73,1,STEP,3358042213100,3358047525400,5312300,-1
74,1,STEP,3358047608700,3358052947300,5338600,-1
75,1,STEP,3358053086900,3358058442600,5355700,-1
76,1,STEP,3358058503200,3358063769600,5266400,-1
77,1,STEP,3358063830600,3358069145200,5314600,-1
78,1,STEP,3358069211000,3358074509700,5298700,-1
79,1,STEP,3358074576500,3358079881800,5305300,-1
80,1,STEP,3358079923200,3358085186700,5263500,-1
81,1,STEP,3358085255400,3358090547500,5292100,-1
82,1,STEP,3358090627000,3358096070900,5443900,-1
83,1,STEP,3358096163000,3358101666000,5503000,-1
84,1,STEP,3358101759800,3358107191400,5431600,-1
85,1,STEP,3358107272800,3358112717900,5445100,-1
86,1,STEP,3358112779500,3358118484000,5704500,-1
87,1,STEP,3358118544800,3358124198800,5654000,-1
88,1,STEP,3358124271600,3358129634500,5362900,-1
89,1,STEP,3358129706500,3358135131300,5424800,-1
90,1,STEP,3358135185600,3358140481600,5296000,-1
91,1,STEP,3358140539500,3358145710500,5171000,-1
92,1,STEP,3358145766100,3358151030000,5263900,-1
93,1,STEP,3358151099300,3358156380400,5281100,-1
94,1,STEP,3358156444200,3358161814400,5370200,-1
95,1,STEP,3358161876300,3358167235500,5359200,-1
96,1,STEP,3358167294800,3358172842400,5547600,-1
97,1,STEP,3358172907500,3358178125300,5217800,-1
98,1,STEP,3358178252400,3358183587100,5334700,-1
99,1,STEP,3358183645100,3358188949500,5304400,-1
100,1,STEP,3358189020700,3358194255700,5235000,-1
101,1,STEP,3358194308600,3358199612900,5304300,-1
102,1,STEP,3358199678500,3358205053900,5375400,-1
103,1,STEP,3358205094600,3358210436500,5341900,-1
104,1,STEP,3358210490600,3358215904100,5413500,-1
105,1,STEP,3358215965000,3358221519800,5554800,-1
106,1,STEP,3358221571800,3358227006300,5434500,-1
107,1,STEP,3358227077200,3358232647300,5570100,-1
108,1,STEP,3358232697000,3358238236400,5539400,-1
