Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,2281517394000,2281782310700,264916700,-1
0,1,STEP,2281915522600,2281929515800,13993200,-1
1,1,STEP,2281929541000,2281943487300,13946300,-1
2,1,STEP,2281943509500,2281957888700,14379200,-1
3,1,STEP,2281957908100,2281972483300,14575200,-1
4,1,STEP,2281972505900,2281987188200,14682300,-1
5,1,STEP,2281987207800,2282001054200,13846400,-1
6,1,STEP,2282001070500,2282013098000,12027500,-1
7,1,STEP,2282013114300,2282025084700,11970400,-1
8,1,STEP,2282025146200,2282037057000,11910800,-1
9,1,STEP,2282037071500,2282049104000,12032500,-1
10,1,STEP,2282049122000,2282061293400,12171400,-1
11,1,STEP,2282061309200,2282073330700,12021500,-1
12,1,STEP,2282073344300,2282085178800,11834500,-1
13,1,STEP,2282085199600,2282097225000,12025400,-1
14,1,STEP,2282097241200,2282109192400,11951200,-1
15,1,STEP,2282109212400,2282121124500,11912100,-1
16,1,STEP,2282121138200,2282133100300,11962100,-1
17,1,STEP,2282133112800,2282145056100,11943300,-1
18,1,STEP,2282145070600,2282156920200,11849600,-1
19,1,STEP,2282156934900,2282168734400,11799500,-1
20,1,STEP,2282168747500,2282180500900,11753400,-1
21,1,STEP,2282180513900,2282192589600,12075700,-1
22,1,STEP,2282192615600,2282204530500,11914900,-1
23,1,STEP,2282204543100,2282216342900,11799800,-1
24,1,STEP,2282216360900,2282228377300,12016400,-1
25,1,STEP,2282228393200,2282240249900,11856700,-1
26,1,STEP,2282240304500,2282252214500,11910000,-1
27,1,STEP,2282252228000,2282264118000,11890000,-1
28,1,STEP,2282264136500,2282276161600,12025100,-1
29,1,STEP,2282276178300,2282288191200,12012900,-1
30,1,STEP,2282288203800,2282299821700,11617900,-1
31,1,STEP,2282299845200,2282311490500,11645300,-1
32,1,STEP,2282311510200,2282323018700,11508500,-1
33,1,STEP,2282323032900,2282334510200,11477300,-1
34,1,STEP,2282334524300,2282346083800,11559500,-1
35,1,STEP,2282346099800,2282357590700,11490900,-1
36,1,STEP,2282357603400,2282369031900,11428500,-1
37,1,STEP,2282369046200,2282380691200,11645000,-1
38,1,STEP,2282380710300,2282392306300,11596000,-1
39,1,STEP,2282392328800,2282404221800,11893000,-1
40,1,STEP,2282404241300,2282416144500,11903200,-1
41,1,STEP,2282416161600,2282428083900,11922300,-1
42,1,STEP,2282428118500,2282440025700,11907200,-1
43,1,STEP,2282440037800,2282451964200,11926400,-1
44,1,STEP,2282451978400,2282463700100,11721700,-1
45,1,STEP,2282463718100,2282475533600,11815500,-1
46,1,STEP,2282475544100,2282487480700,11936600,-1
47,1,STEP,2282487498500,2282499473600,11975100,-1
48,1,STEP,2282499502800,2282511518900,12016100,-1
49,1,STEP,2282511540500,2282523362500,11822000,-1
50,1,STEP,2282523383600,2282535622500,12238900,-1
51,1,STEP,2282535637500,2282547596000,11958500,-1
52,1,STEP,2282547613800,2282559650900,12037100,-1
53,1,STEP,2282559666900,2282571965600,12298700,-1
54,1,STEP,2282571980000,2282583843500,11863500,-1
55,1,STEP,2282583855800,2282595997400,12141600,-1
56,1,STEP,2282596013700,2282608350400,12336700,-1
57,1,STEP,2282608385900,2282620229800,11843900,-1
58,1,STEP,2282620307000,2282632391200,12084200,-1
59,1,STEP,2282632431200,2282644177600,11746400,-1
60,1,STEP,2282644202400,2282655782400,11580000,-1
61,1,STEP,2282655804600,2282667626500,11821900,-1
62,1,STEP,2282667647100,2282679637500,11990400,-1
63,1,STEP,2282679656900,2282691842600,12185700,-1
64,1,STEP,2282691862600,2282704085700,12223100,-1
65,1,STEP,2282704108600,2282716284500,12175900,-1
66,1,STEP,2282716300500,2282728266200,11965700,-1
67,1,STEP,2282728285400,2282740368300,12082900,-1
68,1,STEP,2282740382700,2282752296200,11913500,-1
69,1,STEP,2282752308900,2282764430600,12121700,-1
70,1,STEP,2282764446200,2282776548800,12102600,-1
71,1,STEP,2282776565500,2282788591500,12026000,-1
72,1,STEP,2282788602000,2282800636000,12034000,-1
73,1,STEP,2282800651900,2282812497900,11846000,-1
74,1,STEP,2282812520700,2282824604400,12083700,-1
75,1,STEP,2282824632900,2282836370800,11737900,-1
76,1,STEP,2282836388500,2282848499400,12110900,-1
77,1,STEP,2282848518100,2282860613300,12095200,-1
78,1,STEP,2282860629000,2282872801200,12172200,-1
79,1,STEP,2282872817200,2282884998400,12181200,-1
80,1,STEP,2282885017600,2282897221100,12203500,-1
81,1,STEP,2282897233100,2282909372100,12139000,-1
82,1,STEP,2282909396900,2282922304900,12908000,-1
83,1,STEP,2282922327600,2282934523500,12195900,-1
84,1,STEP,2282934535900,2282947013600,12477700,-1
85,1,STEP,2282947028700,2282959441100,12412400,-1
86,1,STEP,2282959462200,2282972158700,12696500,-1
87,1,STEP,2282972178100,2282984531500,12353400,-1
88,1,STEP,2282984550200,2282996891500,12341300,-1
89,1,STEP,2282996905900,2283009265600,12359700,-1
90,1,STEP,2283009282800,2283021417400,12134600,-1
91,1,STEP,2283021437900,2283033608600,12170700,-1
92,1,STEP,2283033626800,2283045834700,12207900,-1
93,1,STEP,2283045878400,2283058465500,12587100,-1
94,1,STEP,2283058506700,2283070710500,12203800,-1
95,1,STEP,2283070726500,2283083242500,12516000,-1
96,1,STEP,2283083264800,2283095443300,12178500,-1
97,1,STEP,2283095459700,2283107889800,12430100,-1
98,1,STEP,2283107905100,2283120577800,12672700,-1
99,1,STEP,2283120599800,2283133104600,12504800,-1
100,1,STEP,2283133121200,2283145725000,12603800,-1
101,1,STEP,2283145747700,2283158281800,12534100,-1
102,1,STEP,2283158298000,2283170936600,12638600,-1
103,1,STEP,2283170952700,2283183382800,12430100,-1
104,1,STEP,2283183396500,2283195975100,12578600,-1
105,1,STEP,2283195996200,2283208352500,12356300,-1
106,1,STEP,2283208370200,2283221226600,12856400,-1
107,1,STEP,2283221251800,2283233610500,12358700,-1
108,1,STEP,2283233646900,2283245554800,11907900,-1
109,1,STEP,2283245575500,2283257387500,11812000,-1
110,1,STEP,2283257408200,2283269526800,12118600,-1
111,1,STEP,2283269546800,2283281792800,12246000,-1
112,1,STEP,2283281804900,2283294228600,12423700,-1
113,1,STEP,2283294253200,2283306901200,12648000,-1
114,1,STEP,2283306920500,2283319658400,12737900,-1
115,1,STEP,2283319682300,2283332682800,13000500,-1
116,1,STEP,2283332703600,2283345375300,12671700,-1
117,1,STEP,2283345397000,2283358209900,12812900,-1
118,1,STEP,2283358224400,2283370575600,12351200,-1
119,1,STEP,2283370588400,2283383294500,12706100,-1
120,1,STEP,2283383310100,2283395776300,12466200,-1
121,1,STEP,2283395794800,2283407736600,11941800,-1
122,1,STEP,2283407754800,2283420057700,12302900,-1
123,1,STEP,2283420097600,2283433550900,13453300,-1
124,1,STEP,2283433584200,2283447261900,13677700,-1
125,1,STEP,2283447294600,2283460157400,12862800,-1
126,1,STEP,2283460173100,2283473218400,13045300,-1
127,1,STEP,2283473232000,2283486258900,13026900,-1
128,1,STEP,2283486281100,2283499282100,13001000,-1
129,1,STEP,2283499302400,2283512255300,12952900,-1
130,1,STEP,2283512299800,2283526865600,14565800,-1
131,1,STEP,2283526910100,2283540731000,13820900,-1
132,1,STEP,2283540749300,2283553673400,12924100,-1
133,1,STEP,2283553691300,2283566383900,12692600,-1
134,1,STEP,2283566395500,2283578981700,12586200,-1
135,1,STEP,2283578999600,2283591688000,12688400,-1
136,1,STEP,2283591708900,2283604610900,12902000,-1
137,1,STEP,2283604626600,2283617377300,12750700,-1
138,1,STEP,2283617391900,2283630088100,12696200,-1
139,1,STEP,2283630111400,2283643020000,12908600,-1
140,1,STEP,2283643035700,2283655861600,12825900,-1
141,1,STEP,2283655876600,2283668409700,12533100,-1
142,1,STEP,2283668438800,2283680511500,12072700,-1
143,1,STEP,2283680550500,2283692976500,12426000,-1
144,1,STEP,2283693005300,2283704868800,11863500,-1
145,1,STEP,2283704895300,2283716897900,12002600,-1
146,1,STEP,2283716921200,2283729531500,12610300,-1
147,1,STEP,2283729554600,2283742063200,12508600,-1
148,1,STEP,2283742080000,2283754549500,12469500,-1
149,1,STEP,2283754572200,2283767257900,12685700,-1
150,1,STEP,2283767272100,2283779942700,12670600,-1
151,1,STEP,2283779958100,2283792785000,12826900,-1
152,1,STEP,2283792799700,2283805511900,12712200,-1
153,1,STEP,2283805532600,2283818020100,12487500,-1
154,1,STEP,2283818042500,2283830939900,12897400,-1
155,1,STEP,2283830967400,2283843756600,12789200,-1
156,1,STEP,2283843772200,2283856452400,12680200,-1
157,1,STEP,2283856466900,2283869301900,12835000,-1
158,1,STEP,2283869318500,2283881913200,12594700,-1
159,1,STEP,2283881927300,2283894723600,12796300,-1
160,1,STEP,2283894737000,2283907438700,12701700,-1
161,1,STEP,2283907502100,2283920667400,13165300,-1
162,1,STEP,2283920693400,2283933482000,12788600,-1
163,1,STEP,2283933511700,2283946019000,12507300,-1
164,1,STEP,2283946038500,2283958749200,12710700,-1
