Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,4226003328200,4226281428400,278100200,-1
0,1,STEP,4226419566600,4226437787000,18220400,-1
1,1,STEP,4226437918100,4226456165800,18247700,-1
2,1,STEP,4226456237400,4226474427200,18189800,-1
3,1,STEP,4226474497500,4226492862700,18365200,-1
4,1,STEP,4226492979000,4226510770200,17791200,-1
5,1,STEP,4226510824100,4226525414900,14590800,-1
6,1,STEP,4226525483700,4226540748400,15264700,-1
7,1,STEP,4226540910700,4226555698900,14788200,-1
8,1,STEP,4226555774700,4226571172000,15397300,-1
9,1,STEP,4226571238700,4226586285100,15046400,-1
10,1,STEP,4226586357300,4226601530700,15173400,-1
11,1,STEP,4226601604800,4226616621100,15016300,-1
12,1,STEP,4226616691900,4226632408800,15716900,-1
13,1,STEP,4226632502800,4226648147700,15644900,-1
14,1,STEP,4226648214300,4226663783800,15569500,-1
15,1,STEP,4226663867900,4226678713900,14846000,-1
16,1,STEP,4226678861800,4226694481500,15619700,-1
17,1,STEP,4226694551800,4226710308100,15756300,-1
18,1,STEP,4226710390400,4226726621300,16230900,-1
19,1,STEP,4226726732100,4226742103400,15371300,-1
20,1,STEP,4226742266100,4226759449800,17183700,-1
21,1,STEP,4226759652600,4226776365500,16712900,-1
22,1,STEP,4226776446900,4226806508600,30061700,-1
23,1,STEP,4226806577700,4226821346900,14769200,-1
24,1,STEP,4226821419000,4226835807100,14388100,-1
25,1,STEP,4226835877500,4226850406600,14529100,-1
26,1,STEP,4226850658200,4226865491500,14833300,-1
27,1,STEP,4226865701500,4226880301800,14600300,-1
28,1,STEP,4226880376400,4226894480400,14104000,-1
29,1,STEP,4226894565600,4226908865500,14299900,-1
30,1,STEP,4226908985800,4226923727400,14741600,-1
31,1,STEP,4226923810600,4226938030000,14219400,-1
32,1,STEP,4226938085500,4226952752300,14666800,-1
33,1,STEP,4226952815000,4226967742300,14927300,-1
34,1,STEP,4226967804100,4226982810700,15006600,-1
35,1,STEP,4226982996200,4226998511300,15515100,-1
36,1,STEP,4226998571900,4227013419500,14847600,-1
37,1,STEP,4227013531400,4227028607700,15076300,-1
38,1,STEP,4227028660200,4227043723600,15063400,-1
39,1,STEP,4227043776100,4227058735000,14958900,-1
40,1,STEP,4227058845700,4227073933100,15087400,-1
41,1,STEP,4227074008700,4227089499200,15490500,-1
42,1,STEP,4227089591600,4227104768900,15177300,-1
43,1,STEP,4227104816700,4227120012900,15196200,-1
44,1,STEP,4227120066000,4227135255700,15189700,-1
45,1,STEP,4227135421200,4227150946100,15524900,-1
46,1,STEP,4227151016000,4227166433400,15417400,-1
47,1,STEP,4227166518800,4227182034100,15515300,-1
48,1,STEP,4227182077100,4227197650600,15573500,-1
49,1,STEP,4227197752600,4227212894500,15141900,-1
50,1,STEP,4227212953900,4227228575800,15621900,-1
51,1,STEP,4227228645200,4227244040900,15395700,-1
52,1,STEP,4227244091700,4227259434700,15343000,-1
53,1,STEP,4227259481900,4227274662500,15180600,-1
54,1,STEP,4227274756100,4227289902500,15146400,-1
55,1,STEP,4227289978100,4227305489500,15511400,-1
56,1,STEP,4227305546500,4227320922400,15375900,-1
57,1,STEP,4227320977700,4227335969000,14991300,-1
58,1,STEP,4227336030000,4227350942800,14912800,-1
59,1,STEP,4227351071300,4227366262900,15191600,-1
60,1,STEP,4227366349200,4227382150300,15801100,-1
61,1,STEP,4227382220700,4227397470700,15250000,-1
62,1,STEP,4227397549100,4227412630500,15081400,-1
63,1,STEP,4227412719300,4227427873900,15154600,-1
64,1,STEP,4227427985800,4227443259000,15273200,-1
65,1,STEP,4227443327000,4227458247300,14920300,-1
66,1,STEP,4227458308100,4227473213400,14905300,-1
67,1,STEP,4227473272900,4227488254400,14981500,-1
68,1,STEP,4227488309900,4227503325000,15015100,-1
69,1,STEP,4227503441700,4227518754000,15312300,-1
70,1,STEP,4227518833200,4227533792400,14959200,-1
71,1,STEP,4227533880500,4227549193600,15313100,-1
72,1,STEP,4227549251300,4227564061300,14810000,-1
73,1,STEP,4227564117200,4227579511300,15394100,-1
74,1,STEP,4227579582700,4227594968200,15385500,-1
75,1,STEP,4227595051800,4227610361100,15309300,-1
76,1,STEP,4227610414200,4227625670300,15256100,-1
77,1,STEP,4227625722200,4227641054300,15332100,-1
78,1,STEP,4227641128900,4227656439900,15311000,-1
79,1,STEP,4227656541500,4227671961000,15419500,-1
80,1,STEP,4227672072900,4227687745700,15672800,-1
81,1,STEP,4227687799900,4227703179200,15379300,-1
82,1,STEP,4227703232900,4227718758200,15525300,-1
83,1,STEP,4227718887200,4227734195600,15308400,-1
84,1,STEP,4227734285600,4227749653700,15368100,-1
85,1,STEP,4227749729500,4227764722000,14992500,-1
86,1,STEP,4227764786800,4227779895700,15108900,-1
87,1,STEP,4227779953800,4227795422200,15468400,-1
88,1,STEP,4227795482400,4227811034200,15551800,-1
89,1,STEP,4227811093100,4227826379600,15286500,-1
90,1,STEP,4227826459000,4227843988200,17529200,-1
91,1,STEP,4227844097300,4227861865700,17768400,-1
92,1,STEP,4227861929200,4227878612000,16682800,-1
93,1,STEP,4227878741700,4227895627800,16886100,-1
94,1,STEP,4227895978600,4227916925400,20946800,-1
95,1,STEP,4227917047600,4227937735600,20688000,-1
96,1,STEP,4227937880500,4227954529600,16649100,-1
97,1,STEP,4227954604900,4227969197400,14592500,-1
98,1,STEP,4227969259600,4227983972600,14713000,-1
99,1,STEP,4227984057600,4227998715200,14657600,-1
100,1,STEP,4227998773700,4228013820200,15046500,-1
101,1,STEP,4228013903300,4228028507000,14603700,-1
102,1,STEP,4228028562700,4228044029100,15466400,-1
103,1,STEP,4228044089500,4228059718200,15628700,-1
104,1,STEP,4228059789200,4228075450100,15660900,-1
105,1,STEP,4228075545400,4228090534400,14989000,-1
106,1,STEP,4228090593200,4228105326800,14733600,-1
107,1,STEP,4228105384800,4228120269400,14884600,-1
108,1,STEP,4228120319500,4228135402200,15082700,-1
109,1,STEP,4228135463700,4228150206100,14742400,-1
110,1,STEP,4228150283700,4228165609800,15326100,-1
111,1,STEP,4228165684100,4228180697400,15013300,-1
112,1,STEP,4228180752800,4228195951800,15199000,-1
113,1,STEP,4228196008400,4228211108600,15100200,-1
114,1,STEP,4228211175200,4228225969600,14794400,-1
115,1,STEP,4228226027300,4228241313100,15285800,-1
116,1,STEP,4228241369200,4228257034400,15665200,-1
117,1,STEP,4228257082000,4228272549100,15467100,-1
118,1,STEP,4228272604800,4228288135900,15531100,-1
119,1,STEP,4228288187600,4228303521900,15334300,-1
120,1,STEP,4228303578900,4228319178100,15599200,-1
121,1,STEP,4228319232900,4228334637400,15404500,-1
122,1,STEP,4228334713600,4228350299300,15585700,-1
123,1,STEP,4228350357900,4228365743200,15385300,-1
124,1,STEP,4228365800700,4228381593900,15793200,-1
125,1,STEP,4228381652700,4228397209700,15557000,-1
126,1,STEP,4228397257700,4228412529000,15271300,-1
127,1,STEP,4228412595500,4228427630200,15034700,-1
128,1,STEP,4228427706000,4228443391000,15685000,-1
129,1,STEP,4228443451600,4228459344900,15893300,-1
130,1,STEP,4228459452000,4228475629500,16177500,-1
131,1,STEP,4228475745300,4228492526500,16781200,-1
132,1,STEP,4228492607700,4228507799600,15191900,-1
133,1,STEP,4228507857600,4228523487200,15629600,-1
134,1,STEP,4228523545400,4228538663000,15117600,-1
135,1,STEP,4228538734500,4228553933900,15199400,-1
