Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,6945978066800,6958378199300,12400132500,-1
0,1,STEP,6958378378000,6958459734900,81356900,-1
1,1,STEP,6958460758300,6958526177400,65419100,-1
2,1,STEP,6958527377700,6958575400800,48023100,-1
3,1,STEP,6958576604200,6958622262500,45658300,-1
4,1,STEP,6958623505700,6958669785600,46279900,-1
5,1,STEP,6958671094800,6958716978600,45883800,-1
6,1,STEP,6958718187600,6958762574900,44387300,-1
7,1,STEP,6958763762100,6958810800900,47038800,-1
8,1,STEP,6958812046600,6958862124400,50077800,-1
9,1,STEP,6958863489000,6958912219900,48730900,-1
10,1,STEP,6958913558000,6958962543400,48985400,-1
11,1,STEP,6958963831400,6959011906500,48075100,-1
12,1,STEP,6959013155500,6959061532200,48376700,-1
13,1,STEP,6959062885400,6959111740400,48855000,-1
14,1,STEP,6959113031600,6959160293000,47261400,-1
15,1,STEP,6959161533300,6959209975500,48442200,-1
16,1,STEP,6959211213600,6959255896300,44682700,-1
17,1,STEP,6959257163000,6959302798700,45635700,-1
18,1,STEP,6959304221500,6959351649700,47428200,-1
19,1,STEP,6959352868200,6959398039200,45171000,-1
20,1,STEP,6959399227500,6959445777600,46550100,-1
21,1,STEP,6959447037200,6959493375600,46338400,-1
22,1,STEP,6959495013600,6959552570500,57556900,-1
23,1,STEP,6959554919300,6959607799000,52879700,-1
24,1,STEP,6959609375900,6959658014100,48638200,-1
25,1,STEP,6959659276600,6959706184300,46907700,-1
26,1,STEP,6959707451100,6959757311900,49860800,-1
27,1,STEP,6959758540500,6959821077700,62537200,-1
28,1,STEP,6959822644900,6959869276000,46631100,-1
29,1,STEP,6959870487500,6959919388400,48900900,-1
30,1,STEP,6959920900500,6959975029800,54129300,-1
31,1,STEP,6959976537300,6960028059500,51522200,-1
32,1,STEP,6960029810400,6960082766300,52955900,-1
33,1,STEP,6960084214600,6960135330500,51115900,-1
34,1,STEP,6960136885400,6960189691800,52806400,-1
35,1,STEP,6960191266800,6960237776900,46510100,-1
36,1,STEP,6960239338500,6960288713300,49374800,-1
37,1,STEP,6960290243000,6960341640000,51397000,-1
38,1,STEP,6960343282400,6960397320000,54037600,-1
39,1,STEP,6960398944700,6960454307200,55362500,-1
40,1,STEP,6960456049900,6960510266100,54216200,-1
41,1,STEP,6960512794700,6960580426600,67631900,-1
42,1,STEP,6960583717800,6960653280000,69562200,-1
43,1,STEP,6960655352900,6960708365300,53012400,-1
44,1,STEP,6960709887700,6960770190000,60302300,-1
45,1,STEP,6960772015600,6960833688900,61673300,-1
46,1,STEP,6960835420500,6960887946100,52525600,-1
47,1,STEP,6960889756700,6960944855500,55098800,-1
48,1,STEP,6960946681700,6961003897000,57215300,-1
49,1,STEP,6961005516900,6961059980200,54463300,-1
50,1,STEP,6961061615100,6961129577200,67962100,-1
51,1,STEP,6961132610300,6961192398900,59788600,-1
52,1,STEP,6961193931400,6961251854100,57922700,-1
53,1,STEP,6961253482600,6961315805300,62322700,-1
54,1,STEP,6961317268800,6961372049300,54780500,-1
