Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,266681651500,267734004700,1052353200,-1
0,1,STEP,268252704600,268349617700,96913100,-1
1,1,STEP,268349675300,268440510100,90834800,-1
2,1,STEP,268440566100,268531577900,91011800,-1
3,1,STEP,268531639900,268622267000,90627100,-1
4,1,STEP,268622322900,268712720500,90397600,-1
5,1,STEP,268712777500,268802843100,90065600,-1
6,1,STEP,268802901800,268893746500,90844700,-1
7,1,STEP,268893797000,268984626800,90829800,-1
8,1,STEP,268984812200,269075445500,90633300,-1
9,1,STEP,269075540900,269166537200,90996300,-1
10,1,STEP,269166609300,269255897000,89287700,-1
11,1,STEP,269255961700,269346584700,90623000,-1
12,1,STEP,269346638400,269437143400,90505000,-1
13,1,STEP,269437202100,269527442500,90240400,-1
14,1,STEP,269527500500,269617462900,89962400,-1
15,1,STEP,269617519500,269708038600,90519100,-1
16,1,STEP,269708094900,269797394300,89299400,-1
17,1,STEP,269797486700,269888005500,90518800,-1
18,1,STEP,269888072000,269977172800,89100800,-1
19,1,STEP,269977260600,270068597200,91336600,-1
20,1,STEP,270068650900,270157107300,88456400,-1
21,1,STEP,270157162600,270246438300,89275700,-1
22,1,STEP,270246503200,270346520700,100017500,-1
23,1,STEP,270346573100,270446591500,100018400,-1
24,1,STEP,270446656600,270545093000,98436400,-1
25,1,STEP,270545170600,270643606000,98435400,-1
26,1,STEP,270643684900,270741743500,98058600,-1
27,1,STEP,270741798000,270838289900,96491900,-1
28,1,STEP,270838399700,270935517700,97118000,-1
29,1,STEP,270935587900,271032492100,96904200,-1
30,1,STEP,271032566200,271130128300,97562100,-1
31,1,STEP,271130183900,271229205100,99021200,-1
32,1,STEP,271229258900,271327619000,98360100,-1
33,1,STEP,271327670400,271424261400,96591000,-1
34,1,STEP,271424317900,271526390700,102072800,-1
35,1,STEP,271526442200,271632497200,106055000,-1
36,1,STEP,271632553700,271740176400,107622700,-1
37,1,STEP,271740243100,271848874300,108631200,-1
38,1,STEP,271848933800,271957098200,108164400,-1
39,1,STEP,271957160600,272065922000,108761400,-1
40,1,STEP,272065975500,272172427600,106452100,-1
41,1,STEP,272172486900,272277906200,105419300,-1
42,1,STEP,272278010500,272382247700,104237200,-1
43,1,STEP,272382304900,272489173300,106868400,-1
44,1,STEP,272489228300,272595331000,106102700,-1
45,1,STEP,272595392300,272701875600,106483300,-1
46,1,STEP,272701940300,272808370800,106430500,-1
47,1,STEP,272808438300,272913878500,105440200,-1
48,1,STEP,272913937300,273021985200,108047900,-1
49,1,STEP,273022049400,273128008200,105958800,-1
50,1,STEP,273128060500,273234069300,106008800,-1
51,1,STEP,273234142600,273342778000,108635400,-1
52,1,STEP,273342831900,273449639100,106807200,-1
53,1,STEP,273449707700,273564230000,114522300,-1
54,1,STEP,273564272400,273672222500,107950100,-1
55,1,STEP,273672271600,273780362000,108090400,-1
56,1,STEP,273780411800,273887480700,107068900,-1
57,1,STEP,273887530100,273994580500,107050400,-1
58,1,STEP,273994629700,274102597700,107968000,-1
59,1,STEP,274102646700,274208457200,105810500,-1
60,1,STEP,274208504600,274316235600,107731000,-1
61,1,STEP,274316295600,274424117100,107821500,-1
62,1,STEP,274424172600,274531300200,107127600,-1
63,1,STEP,274531351500,274648986400,117634900,-1
64,1,STEP,274649038000,274757819200,108781200,-1
65,1,STEP,274757868000,274864745800,106877800,-1
66,1,STEP,274864791600,274971331300,106539700,-1
67,1,STEP,274971379500,275080562900,109183400,-1
68,1,STEP,275080616900,275198202100,117585200,-1
69,1,STEP,275198249000,275312676000,114427000,-1
70,1,STEP,275312726200,275430578500,117852300,-1
71,1,STEP,275430636200,275547836100,117199900,-1
72,1,STEP,275548289700,275663408600,115118900,-1
73,1,STEP,275663459100,275781661700,118202600,-1
74,1,STEP,275781710700,275900403400,118692700,-1
75,1,STEP,275900454400,276017212400,116758000,-1
76,1,STEP,276017258500,276134437500,117179000,-1
77,1,STEP,276134486600,276251354600,116868000,-1
78,1,STEP,276251404800,276367220200,115815400,-1
79,1,STEP,276367305200,276482679700,115374500,-1
80,1,STEP,276482727600,276598364700,115637100,-1
81,1,STEP,276598465500,276713091300,114625800,-1
82,1,STEP,276713148100,276829784400,116636300,-1
83,1,STEP,276829832900,276944952400,115119500,-1
84,1,STEP,276945008000,277058723600,113715600,-1
85,1,STEP,277058773400,277173139400,114366000,-1
86,1,STEP,277173186100,277289498700,116312600,-1
87,1,STEP,277289563100,277406479100,116916000,-1
88,1,STEP,277406528900,277522139700,115610800,-1
89,1,STEP,277522189700,277636154000,113964300,-1
90,1,STEP,277636212500,277750215500,114003000,-1
91,1,STEP,277750276100,277861413800,111137700,-1
92,1,STEP,277861464000,277975988100,114524100,-1
93,1,STEP,277976038400,278089034000,112995600,-1
94,1,STEP,278089084000,278203555800,114471800,-1
95,1,STEP,278203614600,278317689800,114075200,-1
