Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,2775047112200,2776224317400,1177205200,-1
0,1,STEP,2776728082900,2776823614700,95531800,-1
1,1,STEP,2776823745600,2776915056400,91310800,-1
2,1,STEP,2776915140700,2777008225800,93085100,-1
3,1,STEP,2777008283900,2777100992600,92708700,-1
4,1,STEP,2777101054500,2777193123500,92069000,-1
5,1,STEP,2777193180700,2777286117900,92937200,-1
6,1,STEP,2777286167100,2777377913600,91746500,-1
7,1,STEP,2777377967100,2777469713600,91746500,-1
8,1,STEP,2777469850800,2777564326200,94475400,-1
9,1,STEP,2777564390000,2777656470400,92080400,-1
10,1,STEP,2777656532200,2777748810200,92278000,-1
11,1,STEP,2777748867900,2777840945600,92077700,-1
12,1,STEP,2777841003700,2777932457200,91453500,-1
13,1,STEP,2777932512700,2778024175300,91662600,-1
14,1,STEP,2778024230900,2778115295800,91064900,-1
15,1,STEP,2778115360500,2778208218200,92857700,-1
16,1,STEP,2778208278200,2778300757100,92478900,-1
17,1,STEP,2778300806200,2778392539700,91733500,-1
18,1,STEP,2778392593700,2778485035900,92442200,-1
19,1,STEP,2778485090900,2778577117100,92026200,-1
20,1,STEP,2778577167900,2778673204900,96037000,-1
21,1,STEP,2778673263800,2778767507500,94243700,-1
22,1,STEP,2778767561700,2778859532700,91971000,-1
23,1,STEP,2778859588200,2778950946800,91358600,-1
24,1,STEP,2778951002300,2779043999300,92997000,-1
25,1,STEP,2779044063100,2779136609100,92546000,-1
26,1,STEP,2779136670500,2779229357800,92687300,-1
27,1,STEP,2779229410300,2779322326600,92916300,-1
28,1,STEP,2779322378400,2779414666800,92288400,-1
29,1,STEP,2779414721200,2779509045400,94324200,-1
30,1,STEP,2779509098900,2779601887100,92788200,-1
31,1,STEP,2779601944900,2779693482200,91537300,-1
32,1,STEP,2779693545300,2779789135400,95590100,-1
33,1,STEP,2779789199300,2779883709100,94509800,-1
34,1,STEP,2779883768500,2779977060600,93292100,-1
35,1,STEP,2779977118800,2780070539900,93421100,-1
36,1,STEP,2780070599700,2780163682600,93082900,-1
37,1,STEP,2780163748900,2780255456000,91707100,-1
38,1,STEP,2780255513400,2780347620900,92107500,-1
39,1,STEP,2780347674600,2780441076000,93401400,-1
40,1,STEP,2780441209400,2780535468100,94258700,-1
41,1,STEP,2780535525100,2780629341600,93816500,-1
42,1,STEP,2780629422100,2780724769200,95347100,-1
43,1,STEP,2780724980000,2780818374900,93394900,-1
44,1,STEP,2780818492000,2780914082700,95590700,-1
45,1,STEP,2780914207300,2781007777000,93569700,-1
46,1,STEP,2781007867100,2781099996200,92129100,-1
47,1,STEP,2781100069100,2781193838700,93769600,-1
48,1,STEP,2781193906900,2781288841700,94934800,-1
49,1,STEP,2781288899000,2781383516300,94617300,-1
50,1,STEP,2781383574100,2781476261300,92687200,-1
51,1,STEP,2781476373500,2781568485800,92112300,-1
52,1,STEP,2781568555700,2781662142100,93586400,-1
53,1,STEP,2781662215200,2781754494300,92279100,-1
54,1,STEP,2781754572700,2781848713100,94140400,-1
55,1,STEP,2781848780500,2781942363700,93583200,-1
56,1,STEP,2781942443200,2782036586000,94142800,-1
57,1,STEP,2782036673800,2782129916100,93242300,-1
58,1,STEP,2782129983900,2782221832500,91848600,-1
59,1,STEP,2782221908900,2782314801700,92892800,-1
60,1,STEP,2782314879800,2782408389600,93509800,-1
61,1,STEP,2782408462300,2782504951500,96489200,-1
62,1,STEP,2782505053600,2782598629000,93575400,-1
63,1,STEP,2782598711600,2782691036600,92325000,-1
64,1,STEP,2782691133900,2782782775800,91641900,-1
65,1,STEP,2782782847600,2782874688000,91840400,-1
66,1,STEP,2782874770800,2782969419500,94648700,-1
67,1,STEP,2782969664900,2783062820200,93155300,-1
68,1,STEP,2783062907000,2783158272100,95365100,-1
69,1,STEP,2783158506900,2783253867500,95360600,-1
70,1,STEP,2783253959500,2783347967300,94007800,-1
71,1,STEP,2783348050300,2783441224200,93173900,-1
72,1,STEP,2783441334400,2783533279700,91945300,-1
73,1,STEP,2783533343200,2783625839300,92496100,-1
74,1,STEP,2783625895100,2783719554000,93658900,-1
75,1,STEP,2783719639800,2783813535300,93895500,-1
76,1,STEP,2783813635900,2783911322900,97687000,-1
77,1,STEP,2783911395000,2784004312700,92917700,-1
78,1,STEP,2784004428300,2784097264400,92836100,-1
79,1,STEP,2784097323600,2784191043100,93719500,-1
80,1,STEP,2784191130300,2784285111800,93981500,-1
81,1,STEP,2784285177600,2784380522000,95344400,-1
82,1,STEP,2784380603500,2784475506800,94903300,-1
83,1,STEP,2784475563300,2784568882800,93319500,-1
84,1,STEP,2784568940800,2784663519800,94579000,-1
85,1,STEP,2784663576300,2784764807200,101230900,-1
86,1,STEP,2784764864600,2784857171400,92306800,-1
87,1,STEP,2784857225200,2784950707000,93481800,-1
88,1,STEP,2784950775800,2785045048900,94273100,-1
89,1,STEP,2785045102000,2785138973200,93871200,-1
90,1,STEP,2785139041900,2785236459900,97418000,-1
91,1,STEP,2785236523100,2785328615000,92091900,-1
92,1,STEP,2785328670000,2785424404100,95734100,-1
93,1,STEP,2785424496300,2785520389400,95893100,-1
94,1,STEP,2785520473400,2785613565600,93092200,-1
95,1,STEP,2785613638900,2785706500600,92861700,-1
96,1,STEP,2785706584600,2785800715100,94130500,-1
97,1,STEP,2785800777700,2785894350400,93572700,-1
98,1,STEP,2785894435900,2785989694100,95258200,-1
99,1,STEP,2785989785300,2786083762900,93977600,-1
100,1,STEP,2786083865200,2786176263800,92398600,-1
101,1,STEP,2786176324100,2786269365200,93041100,-1
102,1,STEP,2786269535400,2786365007500,95472100,-1
103,1,STEP,2786365137900,2786458103600,92965700,-1
104,1,STEP,2786458166200,2786554937300,96771100,-1
105,1,STEP,2786555587900,2786656413600,100825700,-1
106,1,STEP,2786656485600,2786748864900,92379300,-1
107,1,STEP,2786748927900,2786842622600,93694700,-1
108,1,STEP,2786842682300,2786937174600,94492300,-1
109,1,STEP,2786937247300,2787031433300,94186000,-1
110,1,STEP,2787031482700,2787124270400,92787700,-1
111,1,STEP,2787124323700,2787219783600,95459900,-1
112,1,STEP,2787219854500,2787313623700,93769200,-1
113,1,STEP,2787313714700,2787409186100,95471400,-1
114,1,STEP,2787409269300,2787502427400,93158100,-1
115,1,STEP,2787502483400,2787595430100,92946700,-1
116,1,STEP,2787595487400,2787690952800,95465400,-1
117,1,STEP,2787691015600,2787787847400,96831800,-1
118,1,STEP,2787787913700,2787880168600,92254900,-1
119,1,STEP,2787880233400,2787973035900,92802500,-1
120,1,STEP,2787973161600,2788065587000,92425400,-1
121,1,STEP,2788065654800,2788161032500,95377700,-1
122,1,STEP,2788161257000,2788254952100,93695100,-1
123,1,STEP,2788255058100,2788349296100,94238000,-1
124,1,STEP,2788349420300,2788442118200,92697900,-1
125,1,STEP,2788442173700,2788535234600,93060900,-1
126,1,STEP,2788535289700,2788630034000,94744300,-1
127,1,STEP,2788630095600,2788724368300,94272700,-1
128,1,STEP,2788724442600,2788819729200,95286600,-1
129,1,STEP,2788819796100,2788914080500,94284400,-1
130,1,STEP,2788914132500,2789007913100,93780600,-1
131,1,STEP,2789007970500,2789101532000,93561500,-1
132,1,STEP,2789101604500,2789193875700,92271200,-1
133,1,STEP,2789193932600,2789286374400,92441800,-1
134,1,STEP,2789286437800,2789379086000,92648200,-1
135,1,STEP,2789379147000,2789473281700,94134700,-1
136,1,STEP,2789473338900,2789567449000,94110100,-1
137,1,STEP,2789567510700,2789664525100,97014400,-1
138,1,STEP,2789664587000,2789758574900,93987900,-1
139,1,STEP,2789758633300,2789852834700,94201400,-1
140,1,STEP,2789852908200,2789946896300,93988100,-1
141,1,STEP,2789946966000,2790039994800,93028800,-1
142,1,STEP,2790040085100,2790133285100,93200000,-1
143,1,STEP,2790133348800,2790226975800,93627000,-1
144,1,STEP,2790227083200,2790320112600,93029400,-1
145,1,STEP,2790320196700,2790414268500,94071800,-1
146,1,STEP,2790414419800,2790508824500,94404700,-1
147,1,STEP,2790508889500,2790602262900,93373400,-1
148,1,STEP,2790602355400,2790696340700,93985300,-1
149,1,STEP,2790696419200,2790790156000,93736800,-1
150,1,STEP,2790790222700,2790883179700,92957000,-1
151,1,STEP,2790883249400,2790977310000,94060600,-1
152,1,STEP,2790977365500,2791070295700,92930200,-1
153,1,STEP,2791070354600,2791166292900,95938300,-1
154,1,STEP,2791166360000,2791258766900,92406900,-1
155,1,STEP,2791258823100,2791352570300,93747200,-1
156,1,STEP,2791352625400,2791445904200,93278800,-1
157,1,STEP,2791445962800,2791539671000,93708200,-1
158,1,STEP,2791539731500,2791633068100,93336600,-1
159,1,STEP,2791633139000,2791727581300,94442300,-1
160,1,STEP,2791727652700,2791820975200,93322500,-1
161,1,STEP,2791821039100,2791915619600,94580500,-1
162,1,STEP,2791915717100,2792010190500,94473400,-1
163,1,STEP,2792010249000,2792104383000,94134000,-1
164,1,STEP,2792104445500,2792198898800,94453300,-1
165,1,STEP,2792198959100,2792295211700,96252600,-1
166,1,STEP,2792295270100,2792389651800,94381700,-1
167,1,STEP,2792389711300,2792482730900,93019600,-1
168,1,STEP,2792482789000,2792577628300,94839300,-1
169,1,STEP,2792577685900,2792672371900,94686000,-1
170,1,STEP,2792672444100,2792766042200,93598100,-1
171,1,STEP,2792766137400,2792860614800,94477400,-1
172,1,STEP,2792860683900,2792955286800,94602900,-1
173,1,STEP,2792955391100,2793050441700,95050600,-1
174,1,STEP,2793050506300,2793145272400,94766100,-1
175,1,STEP,2793145351900,2793238778300,93426400,-1
176,1,STEP,2793238837200,2793336808300,97971100,-1
177,1,STEP,2793336873500,2793429912700,93039200,-1
178,1,STEP,2793429971000,2793524910300,94939300,-1
179,1,STEP,2793524967600,2793619751000,94783400,-1
180,1,STEP,2793619827100,2793715687400,95860300,-1
181,1,STEP,2793715768400,2793811732100,95963700,-1
182,1,STEP,2793811856100,2793905519100,93663000,-1
183,1,STEP,2793905586900,2794001811800,96224900,-1
184,1,STEP,2794001866400,2794097051400,95185000,-1
185,1,STEP,2794097119400,2794192118500,94999100,-1
186,1,STEP,2794192180100,2794286849000,94668900,-1
187,1,STEP,2794286900400,2794380840700,93940300,-1
188,1,STEP,2794380900800,2794474337400,93436600,-1
189,1,STEP,2794474423000,2794570800600,96377600,-1
190,1,STEP,2794570869200,2794663713100,92843900,-1
