Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,10795797568300,10812478626300,16681058000,-1
0,1,STEP,10812478786100,10812511747100,32961000,-1
1,1,STEP,10812512690900,10812564630300,51939400,-1
2,1,STEP,10812567036500,10812594073200,27036700,-1
3,1,STEP,10812595380700,10812621174600,25793900,-1
4,1,STEP,10812622341900,10812645207900,22866000,-1
5,1,STEP,10812646494000,10812672269200,25775200,-1
6,1,STEP,10812673558700,10812696633700,23075000,-1
7,1,STEP,10812698796400,10812720522800,21726400,-1
8,1,STEP,10812721651000,10812742721100,21070100,-1
9,1,STEP,10812743902700,10812764153400,20250700,-1
10,1,STEP,10812765491900,10812785727000,20235100,-1
11,1,STEP,10812786855700,10812807668700,20813000,-1
12,1,STEP,10812808868100,10812828109900,19241800,-1
13,1,STEP,10812829516700,10812850190200,20673500,-1
14,1,STEP,10812851630500,10812872724600,21094100,-1
15,1,STEP,10812873940100,10812896196800,22256700,-1
16,1,STEP,10812897428300,10812917696400,20268100,-1
17,1,STEP,10812919551000,10812938987000,19436000,-1
18,1,STEP,10812940524800,10812960717200,20192400,-1
19,1,STEP,10812961926700,10812980314200,18387500,-1
20,1,STEP,10812981459700,10813002006200,20546500,-1
21,1,STEP,10813003348000,10813025574400,22226400,-1
22,1,STEP,10813026689300,10813045567400,18878100,-1
23,1,STEP,10813046767400,10813066946500,20179100,-1
24,1,STEP,10813068029200,10813088666700,20637500,-1
25,1,STEP,10813089740800,10813108828300,19087500,-1
26,1,STEP,10813109978700,10813129810400,19831700,-1
27,1,STEP,10813130954400,10813152268400,21314000,-1
28,1,STEP,10813154330200,10813180553800,26223600,-1
29,1,STEP,10813181897300,10813207596300,25699000,-1
30,1,STEP,10813209072500,10813233620600,24548100,-1
31,1,STEP,10813234840700,10813254673000,19832300,-1
32,1,STEP,10813255828600,10813275826100,19997500,-1
33,1,STEP,10813276877400,10813294712900,17835500,-1
34,1,STEP,10813295833800,10813313883600,18049800,-1
35,1,STEP,10813314987200,10813332801100,17813900,-1
36,1,STEP,10813333831300,10813352250600,18419300,-1
37,1,STEP,10813353264700,10813372272700,19008000,-1
38,1,STEP,10813373399200,10813392929200,19530000,-1
39,1,STEP,10813394039000,10813413981600,19942600,-1
40,1,STEP,10813415096200,10813434435400,19339200,-1
41,1,STEP,10813435570800,10813455409000,19838200,-1
42,1,STEP,10813456502400,10813475995900,19493500,-1
43,1,STEP,10813477129000,10813497499900,20370900,-1
44,1,STEP,10813498574800,10813518098800,19524000,-1
45,1,STEP,10813519151300,10813536586500,17435200,-1
46,1,STEP,10813537711600,10813555376400,17664800,-1
47,1,STEP,10813556493000,10813575235500,18742500,-1
