Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3041772963100,3043231397800,1458434700,-1
0,1,STEP,3043741535600,3043834782800,93247200,-1
1,1,STEP,3043834865100,3043928445900,93580800,-1
2,1,STEP,3043928530100,3044023649700,95119600,-1
3,1,STEP,3044023708100,3044127291400,103583300,-1
4,1,STEP,3044127359200,3044230437300,103078100,-1
5,1,STEP,3044230514000,3044345959400,115445400,-1
6,1,STEP,3044346028200,3044461347600,115319400,-1
7,1,STEP,3044461410600,3044573786700,112376100,-1
8,1,STEP,3044573845800,3044689582500,115736700,-1
9,1,STEP,3044689651000,3044804480100,114829100,-1
10,1,STEP,3044804555600,3044917706500,113150900,-1
11,1,STEP,3044917769700,3045036577200,118807500,-1
12,1,STEP,3045036636600,3045150612000,113975400,-1
13,1,STEP,3045150664900,3045267678800,117013900,-1
14,1,STEP,3045267740800,3045382714700,114973900,-1
15,1,STEP,3045382772800,3045498984400,116211600,-1
16,1,STEP,3045499057000,3045611727200,112670200,-1
17,1,STEP,3045611791500,3045725266600,113475100,-1
18,1,STEP,3045725331500,3045838341800,113010300,-1
19,1,STEP,3045838399800,3045952750500,114350700,-1
20,1,STEP,3045952814700,3046064433800,111619100,-1
21,1,STEP,3046064503500,3046180811900,116308400,-1
22,1,STEP,3046180875000,3046294720500,113845500,-1
23,1,STEP,3046294791900,3046410893200,116101300,-1
24,1,STEP,3046410961100,3046525752900,114791800,-1
25,1,STEP,3046525812900,3046640796700,114983800,-1
26,1,STEP,3046640864500,3046755349200,114484700,-1
27,1,STEP,3046755419100,3046868090400,112671300,-1
28,1,STEP,3046868147900,3046979807600,111659700,-1
29,1,STEP,3046979868600,3047093007600,113139000,-1
30,1,STEP,3047093102900,3047205539700,112436800,-1
31,1,STEP,3047205608900,3047318633100,113024200,-1
32,1,STEP,3047318694800,3047432102200,113407400,-1
33,1,STEP,3047432164500,3047548655300,116490800,-1
34,1,STEP,3047548709000,3047665692000,116983000,-1
35,1,STEP,3047665761100,3047778420100,112659000,-1
36,1,STEP,3047778485000,3047896337200,117852200,-1
37,1,STEP,3047896398100,3048010402800,114004700,-1
38,1,STEP,3048010464800,3048124016100,113551300,-1
39,1,STEP,3048124080900,3048238424100,114343200,-1
40,1,STEP,3048238479000,3048353673900,115194900,-1
41,1,STEP,3048353735300,3048467142400,113407100,-1
42,1,STEP,3048467207600,3048579734900,112527300,-1
43,1,STEP,3048579797400,3048693334700,113537300,-1
44,1,STEP,3048693392200,3048809152200,115760000,-1
45,1,STEP,3048809225200,3048923220300,113995100,-1
46,1,STEP,3048923284900,3049035819700,112534800,-1
47,1,STEP,3049035892000,3049148694000,112802000,-1
48,1,STEP,3049148756800,3049260788300,112031500,-1
49,1,STEP,3049260855100,3049372922300,112067200,-1
50,1,STEP,3049372985900,3049489472900,116487000,-1
51,1,STEP,3049489531600,3049604161600,114630000,-1
52,1,STEP,3049604220500,3049721756600,117536100,-1
53,1,STEP,3049721835800,3049835615300,113779500,-1
54,1,STEP,3049835674300,3049973406400,137732100,-1
55,1,STEP,3049973485000,3050083661600,110176600,-1
56,1,STEP,3050083738000,3050196002600,112264600,-1
57,1,STEP,3050196063300,3050314387100,118323800,-1
58,1,STEP,3050314447500,3050427876700,113429200,-1
59,1,STEP,3050427941000,3050541469900,113528900,-1
60,1,STEP,3050541521600,3050657978900,116457300,-1
61,1,STEP,3050658042000,3050771604500,113562500,-1
62,1,STEP,3050771671000,3050885362500,113691500,-1
63,1,STEP,3050885429800,3051001666400,116236600,-1
64,1,STEP,3051001741700,3051117758500,116016800,-1
65,1,STEP,3051117848300,3051229541500,111693200,-1
66,1,STEP,3051229598200,3051341602500,112004300,-1
67,1,STEP,3051341668400,3051460749500,119081100,-1
68,1,STEP,3051460814900,3051579455100,118640200,-1
69,1,STEP,3051579511600,3051691255100,111743500,-1
70,1,STEP,3051691315900,3051803742400,112426500,-1
71,1,STEP,3051803800700,3051917380500,113579800,-1
72,1,STEP,3051917444300,3052030584900,113140600,-1
73,1,STEP,3052030644200,3052145758400,115114200,-1
74,1,STEP,3052145826300,3052262705600,116879300,-1
75,1,STEP,3052262774000,3052376679800,113905800,-1
76,1,STEP,3052376746100,3052492517300,115771200,-1
77,1,STEP,3052492589300,3052606746900,114157600,-1
78,1,STEP,3052606892600,3052727896600,121004000,-1
79,1,STEP,3052727970800,3052841814500,113843700,-1
80,1,STEP,3052841880300,3052956676200,114795900,-1
81,1,STEP,3052956757500,3053069989800,113232300,-1
82,1,STEP,3053070083800,3053184645300,114561500,-1
83,1,STEP,3053184706200,3053303245900,118539700,-1
84,1,STEP,3053303853700,3053422077100,118223400,-1
85,1,STEP,3053422188600,3053536465400,114276800,-1
86,1,STEP,3053536522300,3053650459000,113936700,-1
87,1,STEP,3053650521300,3053765092000,114570700,-1
88,1,STEP,3053765149900,3053879388100,114238200,-1
89,1,STEP,3053879458300,3053993946000,114487700,-1
90,1,STEP,3053994001500,3054108015800,114014300,-1
91,1,STEP,3054108076400,3054221336800,113260400,-1
92,1,STEP,3054221397900,3054336656700,115258800,-1
93,1,STEP,3054336723800,3054452018200,115294400,-1
94,1,STEP,3054452166000,3054568728800,116562800,-1
95,1,STEP,3054568802100,3054682709300,113907200,-1
