Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,8353132576700,8365765546900,12632970200,-1
0,1,STEP,8365765739300,8366696005500,930266200,-1
1,1,STEP,8366703702000,8367647315600,943613600,-1
2,1,STEP,8367662191200,8368578336400,916145200,-1
3,1,STEP,8368588332100,8369503944900,915612800,-1
4,1,STEP,8369515796200,8370479782600,963986400,-1
5,1,STEP,8370490085900,8371406366800,916280900,-1
6,1,STEP,8371416155900,8372368414900,952259000,-1
7,1,STEP,8372379512800,8373298119500,918606700,-1
8,1,STEP,8373308163600,8374292981600,984818000,-1
9,1,STEP,8374303429300,8375242942100,939512800,-1
10,1,STEP,8375254166800,8376262989200,1008822400,-1
11,1,STEP,8376274093700,8377226281800,952188100,-1
12,1,STEP,8377236595300,8378221696900,985101600,-1
13,1,STEP,8378232989800,8379219012100,986022300,-1
14,1,STEP,8379231719400,8380473914200,1242194800,-1
15,1,STEP,8380493297900,8381683513700,1190215800,-1
16,1,STEP,8381699896900,8382807964400,1108067500,-1
17,1,STEP,8382823375700,8383838357800,1014982100,-1
18,1,STEP,8383850541600,8384953347000,1102805400,-1
19,1,STEP,8384966478600,8385973483800,1007005200,-1
20,1,STEP,8385986613700,8387100413800,1113800100,-1
21,1,STEP,8387113552800,8388140684300,1027131500,-1
22,1,STEP,8388153151100,8389326090500,1172939400,-1
23,1,STEP,8389339442700,8390412906500,1073463800,-1
24,1,STEP,8390425097700,8391493218700,1068121000,-1
25,1,STEP,8391505771700,8392548399900,1042628200,-1
26,1,STEP,8392559909700,8393638709500,1078799800,-1
27,1,STEP,8393651506600,8394707567400,1056060800,-1
28,1,STEP,8394719610100,8395930577000,1210966900,-1
29,1,STEP,8395950650100,8397126178900,1175528800,-1
30,1,STEP,8397138492700,8398253274200,1114781500,-1
31,1,STEP,8398268225700,8399348550600,1080324900,-1
32,1,STEP,8399362917500,8400511875700,1148958200,-1
33,1,STEP,8400530246200,8401630841500,1100595300,-1
34,1,STEP,8401652496200,8402965757000,1313260800,-1
35,1,STEP,8402986381900,8404710301900,1723920000,-1
36,1,STEP,8404728658200,8406072741800,1344083600,-1
37,1,STEP,8406088383200,8407269238100,1180854900,-1
38,1,STEP,8407280880400,8408607064700,1326184300,-1
39,1,STEP,8408628079200,8409861178700,1233099500,-1
40,1,STEP,8409875761500,8411175070600,1299309100,-1
41,1,STEP,8411194592200,8412451406000,1256813800,-1
42,1,STEP,8412463032800,8413745264600,1282231800,-1
43,1,STEP,8413766976100,8415101311300,1334335200,-1
44,1,STEP,8415120534800,8416556390400,1435855600,-1
45,1,STEP,8416583316300,8418249815400,1666499100,-1
46,1,STEP,8418272512900,8419642849300,1370336400,-1
47,1,STEP,8419656321800,8420833270300,1176948500,-1
48,1,STEP,8420844923800,8422183761200,1338837400,-1
49,1,STEP,8422198660800,8423430085100,1231424300,-1
50,1,STEP,8423446678400,8424902108300,1455429900,-1
51,1,STEP,8424915631300,8426202326200,1286694900,-1
52,1,STEP,8426220271300,8427565726400,1345455100,-1
53,1,STEP,8427579795600,8428808122700,1228327100,-1
54,1,STEP,8428821450500,8430129586600,1308136100,-1
55,1,STEP,8430143074600,8431397074700,1254000100,-1
56,1,STEP,8431409417200,8432692026200,1282609000,-1
57,1,STEP,8432704333100,8433989874000,1285540900,-1
58,1,STEP,8434002089800,8435271621800,1269532000,-1
59,1,STEP,8435285812700,8436549674500,1263861800,-1
60,1,STEP,8436562655800,8437846117900,1283462100,-1
61,1,STEP,8437858747500,8439119525900,1260778400,-1
62,1,STEP,8439132001400,8440407298000,1275296600,-1
63,1,STEP,8440419738500,8441773462600,1353724100,-1
64,1,STEP,8441789308600,8443145123900,1355815300,-1
65,1,STEP,8443160832700,8444509902600,1349069900,-1
66,1,STEP,8444523842100,8445867201100,1343359000,-1
67,1,STEP,8445879947700,8447844493400,1964545700,-1
68,1,STEP,8447871152400,8449785016600,1913864200,-1
69,1,STEP,8449798975400,8451245324300,1446348900,-1
70,1,STEP,8451259372800,8452790904500,1531531700,-1
71,1,STEP,8452807158800,8454199870000,1392711200,-1
72,1,STEP,8454215071700,8455700371900,1485300200,-1
73,1,STEP,8455725664200,8457422210700,1696546500,-1
74,1,STEP,8457436935400,8458807391200,1370455800,-1
75,1,STEP,8458822119900,8460370228600,1548108700,-1
76,1,STEP,8460392745800,8462066985900,1674240100,-1
77,1,STEP,8462089522400,8463576197300,1486674900,-1
78,1,STEP,8463588824900,8464974988800,1386163900,-1
79,1,STEP,8464991842100,8466551345700,1559503600,-1
80,1,STEP,8466571418900,8468189559200,1618140300,-1
81,1,STEP,8468207759200,8469581688700,1373929500,-1
82,1,STEP,8469594096300,8471212985400,1618889100,-1
83,1,STEP,8471235592000,8472747520700,1511928700,-1
84,1,STEP,8472761211300,8474134989000,1373777700,-1
85,1,STEP,8474149480600,8475466665200,1317184600,-1
86,1,STEP,8475479854800,8476876639900,1396785100,-1
87,1,STEP,8476891110900,8478426249300,1535138400,-1
88,1,STEP,8478447196500,8480165421900,1718225400,-1
89,1,STEP,8480189601900,8481822514600,1632912700,-1
90,1,STEP,8481835787300,8483231928400,1396141100,-1
91,1,STEP,8483245931500,8484691253600,1445322100,-1
92,1,STEP,8484704256400,8486074498400,1370242000,-1
93,1,STEP,8486088539700,8487464969200,1376429500,-1
94,1,STEP,8487478739800,8488887906700,1409166900,-1
95,1,STEP,8488901101300,8490340825100,1439723800,-1
96,1,STEP,8490353285800,8491779566600,1426280800,-1
97,1,STEP,8491793404600,8493220694000,1427289400,-1
98,1,STEP,8493233499300,8494670567900,1437068600,-1
99,1,STEP,8494683596600,8496124400000,1440803400,-1
100,1,STEP,8496137974800,8497538314500,1400339700,-1
101,1,STEP,8497551598600,8498961826400,1410227800,-1
102,1,STEP,8498975546400,8500435438300,1459891900,-1
103,1,STEP,8500449685900,8501871658900,1421973000,-1
104,1,STEP,8501884911700,8503326283800,1441372100,-1
105,1,STEP,8503339001200,8504804320400,1465319200,-1
106,1,STEP,8504817859200,8506281138700,1463279500,-1
107,1,STEP,8506294562900,8507732735800,1438172900,-1
108,1,STEP,8507746444200,8509242315800,1495871600,-1
109,1,STEP,8509255533100,8510751852900,1496319800,-1
110,1,STEP,8510765648000,8512229716100,1464068100,-1
111,1,STEP,8512243636400,8513719875000,1476238600,-1
112,1,STEP,8513733595100,8515266589400,1532994300,-1
113,1,STEP,8515280079100,8516776628000,1496548900,-1
114,1,STEP,8516790325500,8518308136200,1517810700,-1
115,1,STEP,8518321768600,8519844280900,1522512300,-1
116,1,STEP,8519857280600,8521362887900,1505607300,-1
117,1,STEP,8521376758800,8522935998200,1559239400,-1
118,1,STEP,8522949897700,8524454979200,1505081500,-1
119,1,STEP,8524468740600,8526011200800,1542460200,-1
120,1,STEP,8526025307400,8527623536300,1598228900,-1
121,1,STEP,8527639231600,8529390201000,1750969400,-1
122,1,STEP,8529419269600,8531271278700,1852009100,-1
123,1,STEP,8531290045300,8533027259700,1737214400,-1
124,1,STEP,8533044158300,8534770614700,1726456400,-1
125,1,STEP,8534787573500,8536514770300,1727196800,-1
126,1,STEP,8536532885100,8538322434800,1789549700,-1
127,1,STEP,8538339039000,8540047088700,1708049700,-1
128,1,STEP,8540118095700,8541763950500,1645854800,-1
129,1,STEP,8541779204000,8543603612000,1824408000,-1
130,1,STEP,8543627674200,8545483310900,1855636700,-1
131,1,STEP,8545500446500,8547131696100,1631249600,-1
132,1,STEP,8547145434100,8548900837300,1755403200,-1
133,1,STEP,8548917433900,8550853306100,1935872200,-1
134,1,STEP,8550869817100,8552768131300,1898314200,-1
