Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3013985404400,3015450925700,1465521300,-1
0,1,STEP,3015971385200,3016065523200,94138000,-1
1,1,STEP,3016065607300,3016166168500,100561200,-1
2,1,STEP,3016166241600,3016266460400,100218800,-1
3,1,STEP,3016266541500,3016377005500,110464000,-1
4,1,STEP,3016377070300,3016488689700,111619400,-1
5,1,STEP,3016488764000,3016601944100,113180100,-1
6,1,STEP,3016602042700,3016714816900,112774200,-1
7,1,STEP,3016714888200,3016827053300,112165100,-1
8,1,STEP,3016827127400,3016938609200,111481800,-1
9,1,STEP,3016938674600,3017045738300,107063700,-1
10,1,STEP,3017045812700,3017153340900,107528200,-1
11,1,STEP,3017153416000,3017260403900,106987900,-1
12,1,STEP,3017260484500,3017367350900,106866400,-1
13,1,STEP,3017367451000,3017474685200,107234200,-1
14,1,STEP,3017474757900,3017581139800,106381900,-1
15,1,STEP,3017581238800,3017688866200,107627400,-1
16,1,STEP,3017688996600,3017800245000,111248400,-1
17,1,STEP,3017800337700,3017906729900,106392200,-1
18,1,STEP,3017906805700,3018012686300,105880600,-1
19,1,STEP,3018012764300,3018120572700,107808400,-1
20,1,STEP,3018120646300,3018227516300,106870000,-1
21,1,STEP,3018227605800,3018334166400,106560600,-1
22,1,STEP,3018334271900,3018441353800,107081900,-1
23,1,STEP,3018441418100,3018548251800,106833700,-1
24,1,STEP,3018548313500,3018654505200,106191700,-1
25,1,STEP,3018654582400,3018760337500,105755100,-1
26,1,STEP,3018760400700,3018880615400,120214700,-1
27,1,STEP,3018881213800,3019003331100,122117300,-1
28,1,STEP,3019003390300,3019115447100,112056800,-1
29,1,STEP,3019115509600,3019236957900,121448300,-1
30,1,STEP,3019237050900,3019367478900,130428000,-1
31,1,STEP,3019367542600,3019496013300,128470700,-1
32,1,STEP,3019496075300,3019624202500,128127200,-1
33,1,STEP,3019624272500,3019751077600,126805100,-1
34,1,STEP,3019751194100,3019878128900,126934800,-1
35,1,STEP,3019878241300,3020009417700,131176400,-1
36,1,STEP,3020009489000,3020135909100,126420100,-1
37,1,STEP,3020135995900,3020261728900,125733000,-1
38,1,STEP,3020261848300,3020387225100,125376800,-1
39,1,STEP,3020387292900,3020510064300,122771400,-1
40,1,STEP,3020510134300,3020633942300,123808000,-1
41,1,STEP,3020634124700,3020758531000,124406300,-1
42,1,STEP,3020758677800,3020883163800,124486000,-1
43,1,STEP,3020883311200,3021024421700,141110500,-1
44,1,STEP,3021024542600,3021160997400,136454800,-1
45,1,STEP,3021161079000,3021297101700,136022700,-1
46,1,STEP,3021297196700,3021436132200,138935500,-1
47,1,STEP,3021436273300,3021569789600,133516300,-1
48,1,STEP,3021569858100,3021704290200,134432100,-1
49,1,STEP,3021704348800,3021837978700,133629900,-1
50,1,STEP,3021838036500,3021974233000,136196500,-1
51,1,STEP,3021974300000,3022106386700,132086700,-1
52,1,STEP,3022106454700,3022242703300,136248600,-1
53,1,STEP,3022242769700,3022378237600,135467900,-1
54,1,STEP,3022378289700,3022512349000,134059300,-1
55,1,STEP,3022512413500,3022646224300,133810800,-1
56,1,STEP,3022646305800,3022778692700,132386900,-1
57,1,STEP,3022778760000,3022913054200,134294200,-1
58,1,STEP,3022913110600,3023054188100,141077500,-1
59,1,STEP,3023054258000,3023201078400,146820400,-1
60,1,STEP,3023201139700,3023346911000,145771300,-1
61,1,STEP,3023346982500,3023493251400,146268900,-1
62,1,STEP,3023493310800,3023639302400,145991600,-1
63,1,STEP,3023639359500,3023784123600,144764100,-1
64,1,STEP,3023784220200,3023928963700,144743500,-1
65,1,STEP,3023929026400,3024071090200,142063800,-1
66,1,STEP,3024071168600,3024211776700,140608100,-1
67,1,STEP,3024211844700,3024353662100,141817400,-1
68,1,STEP,3024353726900,3024497505200,143778300,-1
69,1,STEP,3024497651100,3024638202400,140551300,-1
70,1,STEP,3024638270300,3024780534300,142264000,-1
71,1,STEP,3024780593600,3024924048500,143454900,-1
72,1,STEP,3024924130600,3025067402000,143271400,-1
73,1,STEP,3025067462500,3025210569500,143107000,-1
74,1,STEP,3025210631700,3025353520500,142888800,-1
75,1,STEP,3025353580100,3025494401100,140821000,-1
76,1,STEP,3025494458100,3025637435400,142977300,-1
77,1,STEP,3025637497100,3025788662300,151165200,-1
78,1,STEP,3025788732200,3025930951800,142219600,-1
79,1,STEP,3025931014900,3026073893100,142878200,-1
