Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,5296855148300,5297639331700,784183400,-1
0,1,STEP,5297639482800,5297645356300,5873500,-1
1,1,STEP,5297645463400,5297650303900,4840500,-1
2,1,STEP,5297650378600,5297655226300,4847700,-1
3,1,STEP,5297655304000,5297659979200,4675200,-1
4,1,STEP,5297660055800,5297664635100,4579300,-1
5,1,STEP,5297664712600,5297668946400,4233800,-1
6,1,STEP,5297669021400,5297673604200,4582800,-1
7,1,STEP,5297673680600,5297678207200,4526600,-1
8,1,STEP,5297678287100,5297682320000,4032900,-1
9,1,STEP,5297682388000,5297685239400,2851400,-1
10,1,STEP,5297685302800,5297689198500,3895700,-1
11,1,STEP,5297689278800,5297694433100,5154300,-1
12,1,STEP,5297694506400,5297698522400,4016000,-1
13,1,STEP,5297698585700,5297702088900,3503200,-1
14,1,STEP,5297702158500,5297706536100,4377600,-1
15,1,STEP,5297706608000,5297710617500,4009500,-1
16,1,STEP,5297710685000,5297715034500,4349500,-1
17,1,STEP,5297715099700,5297718137700,3038000,-1
18,1,STEP,5297718199300,5297721933200,3733900,-1
19,1,STEP,5297721998700,5297725844500,3845800,-1
20,1,STEP,5297725919500,5297729598100,3678600,-1
21,1,STEP,5297729688200,5297733789900,4101700,-1
22,1,STEP,5297733866700,5297738329700,4463000,-1
23,1,STEP,5297738400600,5297741785400,3384800,-1
24,1,STEP,5297741857900,5297745293900,3436000,-1
25,1,STEP,5297745363500,5297749969000,4605500,-1
26,1,STEP,5297750044600,5297754065800,4021200,-1
27,1,STEP,5297754138400,5297758306400,4168000,-1
28,1,STEP,5297758380500,5297761877300,3496800,-1
29,1,STEP,5297761948500,5297766051400,4102900,-1
30,1,STEP,5297766125700,5297770365600,4239900,-1
31,1,STEP,5297770439600,5297774280600,3841000,-1
32,1,STEP,5297774362700,5297777361500,2998800,-1
33,1,STEP,5297777444400,5297781537700,4093300,-1
34,1,STEP,5297781611400,5297785640500,4029100,-1
35,1,STEP,5297785713100,5297789789100,4076000,-1
36,1,STEP,5297789856500,5297793726500,3870000,-1
37,1,STEP,5297793800500,5297797005700,3205200,-1
38,1,STEP,5297797076300,5297800305700,3229400,-1
39,1,STEP,5297800377700,5297804375300,3997600,-1
40,1,STEP,5297804446100,5297808727700,4281600,-1
41,1,STEP,5297808797700,5297812314400,3516700,-1
42,1,STEP,5297812390200,5297816810400,4420200,-1
43,1,STEP,5297816886200,5297820747200,3861000,-1
44,1,STEP,5297820819900,5297824831700,4011800,-1
45,1,STEP,5297824908800,5297829488900,4580100,-1
46,1,STEP,5297829566000,5297835012300,5446300,-1
47,1,STEP,5297835089600,5297839213900,4124300,-1
48,1,STEP,5297839291800,5297843679000,4387200,-1
49,1,STEP,5297843766800,5297847927800,4161000,-1
50,1,STEP,5297848005200,5297852169500,4164300,-1
51,1,STEP,5297852253800,5297856598600,4344800,-1
