Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,5228878946400,5228953736000,74789600,-1
0,1,STEP,5228993992100,5229005183400,11191300,-1
1,1,STEP,5229005217000,5229016375200,11158200,-1
2,1,STEP,5229016404700,5229027538000,11133300,-1
3,1,STEP,5229027559000,5229038747200,11188200,-1
4,1,STEP,5229038776700,5229049877500,11100800,-1
5,1,STEP,5229049898200,5229061042500,11144300,-1
6,1,STEP,5229061062500,5229072358600,11296100,-1
7,1,STEP,5229072393000,5229083526400,11133400,-1
8,1,STEP,5229083556100,5229094559600,11003500,-1
9,1,STEP,5229094581100,5229105609500,11028400,-1
10,1,STEP,5229105625300,5229116806500,11181200,-1
11,1,STEP,5229116840600,5229128160100,11319500,-1
12,1,STEP,5229128183500,5229139541100,11357600,-1
13,1,STEP,5229139560900,5229150955200,11394300,-1
14,1,STEP,5229150981100,5229162317300,11336200,-1
15,1,STEP,5229162336100,5229172218800,9882700,-1
16,1,STEP,5229172247400,5229181652300,9404900,-1
17,1,STEP,5229181674400,5229191529600,9855200,-1
18,1,STEP,5229191557800,5229201413400,9855600,-1
19,1,STEP,5229201429300,5229211175100,9745800,-1
20,1,STEP,5229211199200,5229220778800,9579600,-1
21,1,STEP,5229220797400,5229230201700,9404300,-1
22,1,STEP,5229230215000,5229239771500,9556500,-1
23,1,STEP,5229239803200,5229249120300,9317100,-1
24,1,STEP,5229249143200,5229258413400,9270200,-1
25,1,STEP,5229258432800,5229267765000,9332200,-1
26,1,STEP,5229267789100,5229277213100,9424000,-1
27,1,STEP,5229277237400,5229286800600,9563200,-1
28,1,STEP,5229286825900,5229296334800,9508900,-1
29,1,STEP,5229296352500,5229305891900,9539400,-1
30,1,STEP,5229305908600,5229315453500,9544900,-1
31,1,STEP,5229315474800,5229325000900,9526100,-1
32,1,STEP,5229325019800,5229334948200,9928400,-1
33,1,STEP,5229334978400,5229344478100,9499700,-1
34,1,STEP,5229344524900,5229354187100,9662200,-1
35,1,STEP,5229354251700,5229363697800,9446100,-1
36,1,STEP,5229363730100,5229373021600,9291500,-1
37,1,STEP,5229373053700,5229382264400,9210700,-1
38,1,STEP,5229382292300,5229391419100,9126800,-1
39,1,STEP,5229391473600,5229401114800,9641200,-1
40,1,STEP,5229401138800,5229410319800,9181000,-1
41,1,STEP,5229410342200,5229419371200,9029000,-1
42,1,STEP,5229419398000,5229428821800,9423800,-1
43,1,STEP,5229428851200,5229437859300,9008100,-1
44,1,STEP,5229437883500,5229446745400,8861900,-1
45,1,STEP,5229446775300,5229455960500,9185200,-1
46,1,STEP,5229455993200,5229465319600,9326400,-1
47,1,STEP,5229465344700,5229475077400,9732700,-1
48,1,STEP,5229475108400,5229484235400,9127000,-1
49,1,STEP,5229484263500,5229493396800,9133300,-1
50,1,STEP,5229493418600,5229502820200,9401600,-1
51,1,STEP,5229502848800,5229512133500,9284700,-1
52,1,STEP,5229512162700,5229521388800,9226100,-1
53,1,STEP,5229521404800,5229531161200,9756400,-1
54,1,STEP,5229531198500,5229540516500,9318000,-1
55,1,STEP,5229540541200,5229549830600,9289400,-1
56,1,STEP,5229549853800,5229559244500,9390700,-1
57,1,STEP,5229559268100,5229568968000,9699900,-1
58,1,STEP,5229568982900,5229578488600,9505700,-1
59,1,STEP,5229578504100,5229588001700,9497600,-1
60,1,STEP,5229588033000,5229597563400,9530400,-1
61,1,STEP,5229597589300,5229606974100,9384800,-1
62,1,STEP,5229607007200,5229616619600,9612400,-1
63,1,STEP,5229616632100,5229626343400,9711300,-1
64,1,STEP,5229626360800,5229636185200,9824400,-1
65,1,STEP,5229636209200,5229646007600,9798400,-1
66,1,STEP,5229646021800,5229655774100,9752300,-1
67,1,STEP,5229655797200,5229665685500,9888300,-1
68,1,STEP,5229665698800,5229675538800,9840000,-1
69,1,STEP,5229675554800,5229685405000,9850200,-1
70,1,STEP,5229685434700,5229695283800,9849100,-1
71,1,STEP,5229695300800,5229705180900,9880100,-1
72,1,STEP,5229705200200,5229714966900,9766700,-1
73,1,STEP,5229714981500,5229724810300,9828800,-1
74,1,STEP,5229724843800,5229734910000,10066200,-1
75,1,STEP,5229734931300,5229744768500,9837200,-1
76,1,STEP,5229744792500,5229754855500,10063000,-1
77,1,STEP,5229754871700,5229764738500,9866800,-1
78,1,STEP,5229764759700,5229774556300,9796600,-1
79,1,STEP,5229774573700,5229784362400,9788700,-1
80,1,STEP,5229784384600,5229794133300,9748700,-1
81,1,STEP,5229794169900,5229803997400,9827500,-1
82,1,STEP,5229804015700,5229813837200,9821500,-1
83,1,STEP,5229813851900,5229823676000,9824100,-1
84,1,STEP,5229823693500,5229833534600,9841100,-1
85,1,STEP,5229833551000,5229843673400,10122400,-1
86,1,STEP,5229843698200,5229853452200,9754000,-1
87,1,STEP,5229853490900,5229863239200,9748300,-1
88,1,STEP,5229863261700,5229873365300,10103600,-1
89,1,STEP,5229873385600,5229883213500,9827900,-1
90,1,STEP,5229883233300,5229893055100,9821800,-1
91,1,STEP,5229893088000,5229902681600,9593600,-1
92,1,STEP,5229902713200,5229912064500,9351300,-1
93,1,STEP,5229912084300,5229921620200,9535900,-1
94,1,STEP,5229921644800,5229931538000,9893200,-1
95,1,STEP,5229931569400,5229941573100,10003700,-1
96,1,STEP,5229941606700,5229951241700,9635000,-1
97,1,STEP,5229951263200,5229960868000,9604800,-1
98,1,STEP,5229960889900,5229970349000,9459100,-1
99,1,STEP,5229970371800,5229979797700,9425900,-1
100,1,STEP,5229979817300,5229989298700,9481400,-1
101,1,STEP,5229989325800,5229998732200,9406400,-1
102,1,STEP,5229998758000,5230008192700,9434700,-1
103,1,STEP,5230008205800,5230017833900,9628100,-1
104,1,STEP,5230017855800,5230027464000,9608200,-1
105,1,STEP,5230027481900,5230037231100,9749200,-1
106,1,STEP,5230037306200,5230046893400,9587200,-1
107,1,STEP,5230046913100,5230056437800,9524700,-1
108,1,STEP,5230056458700,5230066025100,9566400,-1
109,1,STEP,5230066040200,5230075691200,9651000,-1
110,1,STEP,5230075706800,5230085552000,9845200,-1
111,1,STEP,5230085572100,5230095481000,9908900,-1
112,1,STEP,5230095546200,5230104841500,9295300,-1
113,1,STEP,5230104864800,5230114185000,9320200,-1
114,1,STEP,5230114220900,5230123636600,9415700,-1
115,1,STEP,5230123656100,5230133155800,9499700,-1
116,1,STEP,5230133175700,5230143130100,9954400,-1
117,1,STEP,5230143155500,5230152622600,9467100,-1
118,1,STEP,5230152641500,5230162105700,9464200,-1
119,1,STEP,5230162123700,5230171659500,9535800,-1
120,1,STEP,5230171692500,5230181117000,9424500,-1
121,1,STEP,5230181147900,5230190568500,9420600,-1
122,1,STEP,5230190601900,5230200169900,9568000,-1
123,1,STEP,5230200198100,5230209819600,9621500,-1
124,1,STEP,5230209832400,5230219438200,9605800,-1
125,1,STEP,5230219454900,5230229021700,9566800,-1
126,1,STEP,5230229036700,5230238609700,9573000,-1
127,1,STEP,5230238633600,5230248164700,9531100,-1
128,1,STEP,5230248187200,5230258010000,9822800,-1
129,1,STEP,5230258021900,5230267727000,9705100,-1
130,1,STEP,5230267749200,5230277118500,9369300,-1
131,1,STEP,5230277136900,5230286765800,9628900,-1
132,1,STEP,5230286784700,5230296472300,9687600,-1
133,1,STEP,5230296502300,5230306216200,9713900,-1
134,1,STEP,5230306242400,5230315874100,9631700,-1
135,1,STEP,5230315897500,5230325614400,9716900,-1
136,1,STEP,5230325633800,5230335480200,9846400,-1
137,1,STEP,5230335497300,5230345234500,9737200,-1
138,1,STEP,5230345274400,5230356028800,10754400,-1
139,1,STEP,5230356071900,5230367400300,11328400,-1
140,1,STEP,5230367437500,5230378673100,11235600,-1
141,1,STEP,5230378722300,5230389192300,10470000,-1
142,1,STEP,5230389230500,5230399176200,9945700,-1
143,1,STEP,5230399225500,5230409218800,9993300,-1
144,1,STEP,5230409265300,5230419008300,9743000,-1
145,1,STEP,5230419046600,5230428420200,9373600,-1
146,1,STEP,5230428452300,5230437672800,9220500,-1
147,1,STEP,5230437703300,5230446561500,8858200,-1
148,1,STEP,5230446589000,5230455722100,9133100,-1
149,1,STEP,5230455746800,5230465173000,9426200,-1
150,1,STEP,5230465188500,5230474806600,9618100,-1
151,1,STEP,5230474834600,5230484378400,9543800,-1
152,1,STEP,5230484400300,5230493901500,9501200,-1
153,1,STEP,5230493918200,5230503375100,9456900,-1
154,1,STEP,5230503399500,5230512827700,9428200,-1
155,1,STEP,5230512851900,5230522144700,9292800,-1
156,1,STEP,5230522165300,5230531815200,9649900,-1
157,1,STEP,5230531843700,5230541399800,9556100,-1
158,1,STEP,5230541416800,5230550853000,9436200,-1
159,1,STEP,5230550868200,5230560336300,9468100,-1
160,1,STEP,5230560353100,5230570176900,9823800,-1
161,1,STEP,5230570207100,5230579605700,9398600,-1
162,1,STEP,5230579634200,5230589352500,9718300,-1
163,1,STEP,5230589380200,5230599551500,10171300,-1
164,1,STEP,5230599568500,5230609090600,9522100,-1
165,1,STEP,5230609115800,5230618798900,9683100,-1
166,1,STEP,5230618819200,5230628532900,9713700,-1
167,1,STEP,5230628562400,5230638304200,9741800,-1
168,1,STEP,5230638324100,5230648035300,9711200,-1
169,1,STEP,5230648061300,5230657761400,9700100,-1
170,1,STEP,5230657788000,5230667671800,9883800,-1
171,1,STEP,5230667683800,5230677692200,10008400,-1
172,1,STEP,5230677710100,5230687936300,10226200,-1
173,1,STEP,5230687956100,5230697737700,9781600,-1
174,1,STEP,5230697755800,5230707598200,9842400,-1
175,1,STEP,5230707620700,5230717410000,9789300,-1
176,1,STEP,5230717426900,5230727224300,9797400,-1
177,1,STEP,5230727247800,5230737106900,9859100,-1
178,1,STEP,5230737121000,5230746964600,9843600,-1
179,1,STEP,5230746979500,5230756822900,9843400,-1
180,1,STEP,5230756838700,5230766703200,9864500,-1
181,1,STEP,5230766729300,5230776437900,9708600,-1
182,1,STEP,5230776449800,5230786354800,9905000,-1
183,1,STEP,5230786370700,5230796146000,9775300,-1
184,1,STEP,5230796164100,5230806028600,9864500,-1
185,1,STEP,5230806040900,5230815663900,9623000,-1
186,1,STEP,5230815685000,5230825395700,9710700,-1
187,1,STEP,5230825416600,5230835292200,9875600,-1
188,1,STEP,5230835310800,5230844995400,9684600,-1
189,1,STEP,5230845018200,5230854534500,9516300,-1
190,1,STEP,5230854548300,5230863911100,9362800,-1
191,1,STEP,5230863934000,5230873500600,9566600,-1
192,1,STEP,5230873522500,5230883207800,9685300,-1
193,1,STEP,5230883220900,5230892884900,9664000,-1
194,1,STEP,5230892904400,5230902777000,9872600,-1
195,1,STEP,5230902788600,5230912629400,9840800,-1
196,1,STEP,5230912657900,5230922357400,9699500,-1
197,1,STEP,5230922380300,5230932214200,9833900,-1
198,1,STEP,5230932231600,5230941851900,9620300,-1
199,1,STEP,5230941878900,5230951142800,9263900,-1
200,1,STEP,5230951160300,5230962277800,11117500,-1
201,1,STEP,5230962328500,5230974003500,11675000,-1
202,1,STEP,5230974039800,5230985069600,11029800,-1
203,1,STEP,5230985094300,5230995408600,10314300,-1
204,1,STEP,5230995421700,5231005116400,9694700,-1
205,1,STEP,5231005134000,5231015028200,9894200,-1
206,1,STEP,5231015048300,5231024669300,9621000,-1
207,1,STEP,5231024697900,5231034583700,9885800,-1
208,1,STEP,5231034609900,5231044385200,9775300,-1
209,1,STEP,5231044411400,5231054222600,9811200,-1
210,1,STEP,5231054245000,5231064118200,9873200,-1
211,1,STEP,5231064134100,5231073926800,9792700,-1
212,1,STEP,5231073942000,5231083817900,9875900,-1
213,1,STEP,5231083833900,5231093537900,9704000,-1
214,1,STEP,5231093558800,5231103291900,9733100,-1
215,1,STEP,5231103304000,5231112871000,9567000,-1
216,1,STEP,5231112907400,5231122222600,9315200,-1
217,1,STEP,5231122246100,5231131773700,9527600,-1
218,1,STEP,5231131800100,5231141404400,9604300,-1
219,1,STEP,5231141514800,5231151125100,9610300,-1
220,1,STEP,5231151145300,5231160689100,9543800,-1
221,1,STEP,5231160708400,5231170326500,9618100,-1
222,1,STEP,5231170342500,5231180148000,9805500,-1
223,1,STEP,5231180165500,5231190029400,9863900,-1
224,1,STEP,5231190068400,5231199724300,9655900,-1
225,1,STEP,5231199739000,5231209193800,9454800,-1
226,1,STEP,5231209221500,5231218613200,9391700,-1
227,1,STEP,5231218632000,5231227933700,9301700,-1
228,1,STEP,5231227951000,5231237310500,9359500,-1
229,1,STEP,5231237330800,5231246742200,9411400,-1
230,1,STEP,5231246761000,5231256382200,9621200,-1
231,1,STEP,5231256400100,5231265693400,9293300,-1
232,1,STEP,5231265711800,5231275025400,9313600,-1
233,1,STEP,5231275042700,5231284368200,9325500,-1
234,1,STEP,5231284393000,5231293610500,9217500,-1
235,1,STEP,5231293626800,5231303308800,9682000,-1
236,1,STEP,5231303330100,5231312626600,9296500,-1
237,1,STEP,5231312643700,5231321904500,9260800,-1
238,1,STEP,5231321918900,5231331278300,9359400,-1
239,1,STEP,5231331306300,5231340618800,9312500,-1
240,1,STEP,5231340640100,5231350097200,9457100,-1
241,1,STEP,5231350128800,5231359599200,9470400,-1
242,1,STEP,5231359622000,5231369068100,9446100,-1
243,1,STEP,5231369090500,5231378537000,9446500,-1
244,1,STEP,5231378559400,5231387953700,9394300,-1
245,1,STEP,5231387980900,5231397380800,9399900,-1
246,1,STEP,5231397395800,5231406717700,9321900,-1
247,1,STEP,5231406740000,5231416089900,9349900,-1
248,1,STEP,5231416108700,5231425469900,9361200,-1
249,1,STEP,5231425486300,5231434968300,9482000,-1
250,1,STEP,5231434996600,5231444521900,9525300,-1
251,1,STEP,5231444544900,5231454167300,9622400,-1
252,1,STEP,5231454222800,5231464094400,9871600,-1
253,1,STEP,5231464156800,5231473817700,9660900,-1
254,1,STEP,5231473848400,5231483561000,9712600,-1
255,1,STEP,5231483607500,5231493170200,9562700,-1
256,1,STEP,5231493210600,5231502377800,9167200,-1
257,1,STEP,5231502415600,5231511667700,9252100,-1
258,1,STEP,5231511691300,5231521553500,9862200,-1
259,1,STEP,5231521565100,5231531277400,9712300,-1
260,1,STEP,5231531300900,5231541101800,9800900,-1
261,1,STEP,5231541142600,5231551043600,9901000,-1
262,1,STEP,5231551076600,5231560826600,9750000,-1
263,1,STEP,5231560844500,5231570624600,9780100,-1
264,1,STEP,5231570637100,5231580525000,9887900,-1
265,1,STEP,5231580542600,5231590435700,9893100,-1
266,1,STEP,5231590452700,5231600396900,9944200,-1
267,1,STEP,5231600411800,5231610222100,9810300,-1
268,1,STEP,5231610242500,5231620082400,9839900,-1
269,1,STEP,5231620094800,5231629909600,9814800,-1
270,1,STEP,5231629933100,5231640111900,10178800,-1
271,1,STEP,5231640129800,5231650006400,9876600,-1
272,1,STEP,5231650037100,5231660136000,10098900,-1
273,1,STEP,5231660158500,5231669911100,9752600,-1
274,1,STEP,5231669936200,5231679718800,9782600,-1
275,1,STEP,5231679731900,5231689565300,9833400,-1
276,1,STEP,5231689586100,5231699580600,9994500,-1
277,1,STEP,5231699600700,5231709440800,9840100,-1
278,1,STEP,5231709454200,5231719259200,9805000,-1
279,1,STEP,5231719277200,5231729098500,9821300,-1
280,1,STEP,5231729110100,5231739204500,10094400,-1
281,1,STEP,5231739253100,5231749069600,9816500,-1
282,1,STEP,5231749095000,5231758929900,9834900,-1
283,1,STEP,5231758944700,5231768689100,9744400,-1
284,1,STEP,5231768715100,5231778070300,9355200,-1
285,1,STEP,5231778085500,5231787708900,9623400,-1
286,1,STEP,5231787747900,5231797636500,9888600,-1
287,1,STEP,5231797651300,5231807507400,9856100,-1
288,1,STEP,5231807523900,5231817250700,9726800,-1
289,1,STEP,5231817266500,5231827058500,9792000,-1
290,1,STEP,5231827069600,5231836850500,9780900,-1
291,1,STEP,5231836875000,5231846740700,9865700,-1
292,1,STEP,5231846760300,5231856576700,9816400,-1
293,1,STEP,5231856600800,5231866413700,9812900,-1
294,1,STEP,5231866434500,5231876180100,9745600,-1
295,1,STEP,5231876193000,5231886102900,9909900,-1
296,1,STEP,5231886122900,5231895901000,9778100,-1
297,1,STEP,5231895915600,5231905637300,9721700,-1
298,1,STEP,5231905652600,5231915450800,9798200,-1
299,1,STEP,5231915475500,5231924891000,9415500,-1
300,1,STEP,5231924905800,5231934312200,9406400,-1
301,1,STEP,5231934339100,5231943714000,9374900,-1
302,1,STEP,5231943733300,5231953127100,9393800,-1
303,1,STEP,5231953146100,5231962798600,9652500,-1
304,1,STEP,5231962828000,5231972700400,9872400,-1
305,1,STEP,5231972721500,5231982497200,9775700,-1
306,1,STEP,5231982518800,5231992025500,9506700,-1
307,1,STEP,5231992047400,5232001437400,9390000,-1
308,1,STEP,5232001450900,5232010876200,9425300,-1
309,1,STEP,5232010897200,5232020321300,9424100,-1
310,1,STEP,5232020337400,5232029737800,9400400,-1
311,1,STEP,5232029750900,5232039186700,9435800,-1
312,1,STEP,5232039208800,5232048539900,9331100,-1
313,1,STEP,5232048554600,5232058094800,9540200,-1
314,1,STEP,5232058135400,5232067891000,9755600,-1
315,1,STEP,5232067923300,5232077714300,9791000,-1
