Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,10856814892400,10870585153400,13770261000,-1
0,1,STEP,10870585353600,10870613690800,28337200,-1
1,1,STEP,10870615229900,10870667928500,52698600,-1
2,1,STEP,10870669238800,10870723872300,54633500,-1
3,1,STEP,10870725242200,10870744801400,19559200,-1
4,1,STEP,10870746311800,10870770069100,23757300,-1
5,1,STEP,10870771654800,10870803109600,31454800,-1
6,1,STEP,10870804795900,10870831260500,26464600,-1
7,1,STEP,10870832740400,10870854248300,21507900,-1
8,1,STEP,10870855618600,10870875999700,20381100,-1
9,1,STEP,10870877606200,10870904417800,26811600,-1
10,1,STEP,10870906119700,10870935507600,29387900,-1
11,1,STEP,10870937241300,10870960555300,23314000,-1
12,1,STEP,10870963278400,10870986094500,22816100,-1
13,1,STEP,10870987774700,10871008531000,20756300,-1
14,1,STEP,10871010291700,10871030533300,20241600,-1
15,1,STEP,10871032775800,10871049852000,17076200,-1
16,1,STEP,10871051498600,10871068873400,17374800,-1
17,1,STEP,10871070658500,10871089163600,18505100,-1
18,1,STEP,10871090926700,10871111151300,20224600,-1
19,1,STEP,10871113011500,10871135358500,22347000,-1
20,1,STEP,10871137422600,10871157483900,20061300,-1
21,1,STEP,10871159398000,10871177800600,18402600,-1
22,1,STEP,10871179601700,10871199897500,20295800,-1
23,1,STEP,10871201583300,10871217119900,15536600,-1
24,1,STEP,10871219207800,10871239331700,20123900,-1
25,1,STEP,10871241199700,10871257520600,16320900,-1
26,1,STEP,10871259339300,10871275370300,16031000,-1
27,1,STEP,10871277020700,10871291528200,14507500,-1
28,1,STEP,10871293297600,10871309119200,15821600,-1
29,1,STEP,10871310978600,10871328137200,17158600,-1
30,1,STEP,10871330038700,10871348977000,18938300,-1
31,1,STEP,10871350600800,10871364846100,14245300,-1
32,1,STEP,10871366569800,10871381195300,14625500,-1
33,1,STEP,10871382799200,10871398563200,15764000,-1
34,1,STEP,10871400471900,10871416969500,16497600,-1
35,1,STEP,10871418760000,10871435135100,16375100,-1
36,1,STEP,10871437092400,10871453266600,16174200,-1
37,1,STEP,10871455158800,10871469817000,14658200,-1
38,1,STEP,10871471886300,10871490005600,18119300,-1
39,1,STEP,10871491745600,10871506882800,15137200,-1
40,1,STEP,10871508551500,10871523577700,15026200,-1
41,1,STEP,10871525465700,10871539154200,13688500,-1
42,1,STEP,10871540842500,10871555700300,14857800,-1
43,1,STEP,10871557278000,10871571942100,14664100,-1
44,1,STEP,10871573644600,10871588016400,14371800,-1
45,1,STEP,10871589836600,10871608250300,18413700,-1
46,1,STEP,10871610147200,10871630062400,19915200,-1
47,1,STEP,10871631833400,10871646909000,15075600,-1
48,1,STEP,10871648673900,10871663470800,14796900,-1
49,1,STEP,10871665250900,10871680549400,15298500,-1
50,1,STEP,10871682328900,10871701453300,19124400,-1
51,1,STEP,10871703261500,10871719337100,16075600,-1
52,1,STEP,10871721340900,10871741232900,19892000,-1
53,1,STEP,10871743671100,10871762024700,18353600,-1
54,1,STEP,10871763983300,10871781631000,17647700,-1
55,1,STEP,10871783641800,10871801089100,17447300,-1
56,1,STEP,10871802981200,10871822782200,19801000,-1
57,1,STEP,10871824580900,10871858820000,34239100,-1
58,1,STEP,10871863008100,10871879561800,16553700,-1
59,1,STEP,10871881573900,10871897196900,15623000,-1
60,1,STEP,10871899112400,10871916615000,17502600,-1
61,1,STEP,10871918576800,10871935162800,16586000,-1
62,1,STEP,10871937312600,10871954174100,16861500,-1
63,1,STEP,10871956177000,10871973208800,17031800,-1
64,1,STEP,10871974965700,10871990163200,15197500,-1
65,1,STEP,10871992033400,10872008258000,16224600,-1
66,1,STEP,10872010109200,10872025848300,15739100,-1
67,1,STEP,10872027719900,10872045304800,17584900,-1
68,1,STEP,10872047377700,10872066452900,19075200,-1
69,1,STEP,10872068653700,10872083563300,14909600,-1
70,1,STEP,10872085317100,10872101485500,16168400,-1
71,1,STEP,10872103129500,10872117774500,14645000,-1
72,1,STEP,10872119300000,10872134407400,15107400,-1
73,1,STEP,10872136297700,10872152410000,16112300,-1
74,1,STEP,10872154318000,10872171039400,16721400,-1
75,1,STEP,10872172832400,10872187482100,14649700,-1
76,1,STEP,10872189093800,10872207254000,18160200,-1
77,1,STEP,10872209388800,10872230314200,20925400,-1
78,1,STEP,10872232468500,10872251680400,19211900,-1
79,1,STEP,10872253760000,10872272424700,18664700,-1
80,1,STEP,10872274186600,10872291324100,17137500,-1
81,1,STEP,10872292968500,10872308989100,16020600,-1
82,1,STEP,10872310633000,10872325576400,14943400,-1
83,1,STEP,10872327240500,10872342640000,15399500,-1
84,1,STEP,10872344294700,10872359999700,15705000,-1
85,1,STEP,10872361943300,10872378791700,16848400,-1
86,1,STEP,10872380713500,10872397107000,16393500,-1
87,1,STEP,10872399031100,10872415207900,16176800,-1
88,1,STEP,10872417088900,10872434415400,17326500,-1
89,1,STEP,10872436342200,10872456222800,19880600,-1
90,1,STEP,10872458162900,10872473059700,14896800,-1
91,1,STEP,10872474897100,10872492779500,17882400,-1
92,1,STEP,10872494542500,10872509823300,15280800,-1
93,1,STEP,10872511730400,10872528457600,16727200,-1
94,1,STEP,10872530435700,10872550171000,19735300,-1
95,1,STEP,10872552065600,10872571043800,18978200,-1
96,1,STEP,10872572733700,10872586863700,14130000,-1
97,1,STEP,10872588552400,10872604818300,16265900,-1
98,1,STEP,10872606360300,10872621115300,14755000,-1
99,1,STEP,10872622998800,10872639029100,16030300,-1
