Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3675335039800,3677252162100,1917122300,-1
0,1,STEP,3677758100700,3677853253800,95153100,-1
1,1,STEP,3677853318900,3677953619600,100300700,-1
2,1,STEP,3677953690800,3678054381200,100690400,-1
3,1,STEP,3678054448800,3678159685900,105237100,-1
4,1,STEP,3678159771900,3678262549200,102777300,-1
5,1,STEP,3678262621500,3678369138000,106516500,-1
6,1,STEP,3678369200000,3678480561700,111361700,-1
7,1,STEP,3678480631300,3678593770800,113139500,-1
8,1,STEP,3678593832600,3678706848000,113015400,-1
9,1,STEP,3678706921800,3678824012100,117090300,-1
10,1,STEP,3678824084200,3678938359400,114275200,-1
11,1,STEP,3678938415800,3679051689600,113273800,-1
12,1,STEP,3679051771800,3679165241400,113469600,-1
13,1,STEP,3679165309300,3679279411600,114102300,-1
14,1,STEP,3679279471500,3679393561500,114090000,-1
15,1,STEP,3679393631600,3679507890600,114259000,-1
16,1,STEP,3679507960100,3679620880900,112920800,-1
17,1,STEP,3679620949100,3679737462900,116513800,-1
18,1,STEP,3679737586100,3679856978900,119392800,-1
19,1,STEP,3679857067600,3679969605100,112537500,-1
20,1,STEP,3679969665600,3680084323400,114657800,-1
21,1,STEP,3680084387100,3680201778700,117391600,-1
22,1,STEP,3680201846400,3680315130300,113283900,-1
23,1,STEP,3680315194600,3680430111400,114916800,-1
24,1,STEP,3680430181200,3680548972200,118791000,-1
25,1,STEP,3680549029100,3680664570200,115541100,-1
26,1,STEP,3680664642200,3680783632800,118990600,-1
27,1,STEP,3680783701200,3680896898900,113197700,-1
28,1,STEP,3680896971100,3681016538100,119567000,-1
29,1,STEP,3681016597400,3681132890900,116293500,-1
30,1,STEP,3681132953900,3681248837500,115883600,-1
31,1,STEP,3681248896300,3681363692500,114796200,-1
32,1,STEP,3681363767500,3681476954900,113187400,-1
33,1,STEP,3681477036600,3681589692300,112655700,-1
34,1,STEP,3681589746300,3681708946700,119200400,-1
35,1,STEP,3681709010500,3681824538500,115528000,-1
36,1,STEP,3681824622400,3681944723200,120100800,-1
37,1,STEP,3681944783200,3682060593200,115810000,-1
38,1,STEP,3682060659100,3682176288800,115629700,-1
39,1,STEP,3682176346800,3682296850700,120503900,-1
40,1,STEP,3682296919300,3682416691800,119772500,-1
41,1,STEP,3682416770500,3682531777600,115007100,-1
42,1,STEP,3682531862000,3682647621100,115759100,-1
43,1,STEP,3682647692900,3682763529200,115836300,-1
