Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,1160044372300,1160939526600,895154300,-1
0,1,STEP,1160939708800,1160948966700,9257900,-1
1,1,STEP,1160949107000,1160954525400,5418400,-1
2,1,STEP,1160954623200,1160962048600,7425400,-1
3,1,STEP,1160962161300,1160967657600,5496300,-1
4,1,STEP,1160967823800,1160974497700,6673900,-1
5,1,STEP,1160974674900,1160980110700,5435800,-1
6,1,STEP,1160980282200,1160985363800,5081600,-1
7,1,STEP,1160985549700,1160991050000,5500300,-1
8,1,STEP,1160991197300,1160996517800,5320500,-1
9,1,STEP,1160996661700,1161001662700,5001000,-1
10,1,STEP,1161001807900,1161006405400,4597500,-1
11,1,STEP,1161006648700,1161014814500,8165800,-1
12,1,STEP,1161014981600,1161020519900,5538300,-1
13,1,STEP,1161020676300,1161027669500,6993200,-1
14,1,STEP,1161027825400,1161035090600,7265200,-1
15,1,STEP,1161035302300,1161043265900,7963600,-1
16,1,STEP,1161043388100,1161055051700,11663600,-1
17,1,STEP,1161055190300,1161062885600,7695300,-1
18,1,STEP,1161063073500,1161088856800,25783300,-1
19,1,STEP,1161089006200,1161122529500,33523300,-1
20,1,STEP,1161122704800,1161143971300,21266500,-1
21,1,STEP,1161144154000,1161152804100,8650100,-1
22,1,STEP,1161153105200,1161161198000,8092800,-1
23,1,STEP,1161161399100,1161166679000,5279900,-1
24,1,STEP,1161166881800,1161173653200,6771400,-1
25,1,STEP,1161173865800,1161180690500,6824700,-1
26,1,STEP,1161180879700,1161186448400,5568700,-1
27,1,STEP,1161186640900,1161191703700,5062800,-1
28,1,STEP,1161191889400,1161198042800,6153400,-1
29,1,STEP,1161198196100,1161203194900,4998800,-1
30,1,STEP,1161203340600,1161208347900,5007300,-1
31,1,STEP,1161208512900,1161217376000,8863100,-1
32,1,STEP,1161217548600,1161220664200,3115600,-1
33,1,STEP,1161220841000,1161227736600,6895600,-1
34,1,STEP,1161227883200,1161234205800,6322600,-1
35,1,STEP,1161234394000,1161239555400,5161400,-1
36,1,STEP,1161239803500,1161242778100,2974600,-1
37,1,STEP,1161242937300,1161247314900,4377600,-1
38,1,STEP,1161247476500,1161252023800,4547300,-1
39,1,STEP,1161252175000,1161256168000,3993000,-1
40,1,STEP,1161256310100,1161261155300,4845200,-1
41,1,STEP,1161261334000,1161265666300,4332300,-1
42,1,STEP,1161265838800,1161269352200,3513400,-1
43,1,STEP,1161269499400,1161273711500,4212100,-1
44,1,STEP,1161273861100,1161279758900,5897800,-1
45,1,STEP,1161280051400,1161285404200,5352800,-1
46,1,STEP,1161285585300,1161289496700,3911400,-1
47,1,STEP,1161289647600,1161295521600,5874000,-1
48,1,STEP,1161295695500,1161300866800,5171300,-1
49,1,STEP,1161301014200,1161306044000,5029800,-1
50,1,STEP,1161306226500,1161312353700,6127200,-1
51,1,STEP,1161312676600,1161321155300,8478700,-1
52,1,STEP,1161321365400,1161326715300,5349900,-1
53,1,STEP,1161326944300,1161330814700,3870400,-1
54,1,STEP,1161331028500,1161334549700,3521200,-1
55,1,STEP,1161334713200,1161340681000,5967800,-1
56,1,STEP,1161340927200,1161344479400,3552200,-1
57,1,STEP,1161344658000,1161350225000,5567000,-1
58,1,STEP,1161350411000,1161358027300,7616300,-1
59,1,STEP,1161358188700,1161362924000,4735300,-1
60,1,STEP,1161363075000,1161366592400,3517400,-1
61,1,STEP,1161366745900,1161372566900,5821000,-1
62,1,STEP,1161372691800,1161377551200,4859400,-1
63,1,STEP,1161377738800,1161380677100,2938300,-1
64,1,STEP,1161380862900,1161385117300,4254400,-1
65,1,STEP,1161385295000,1161388754700,3459700,-1
66,1,STEP,1161388910000,1161392909800,3999800,-1
67,1,STEP,1161393059100,1161398590100,5531000,-1
68,1,STEP,1161398685700,1161401690300,3004600,-1
69,1,STEP,1161401876600,1161406075900,4199300,-1
70,1,STEP,1161406237000,1161412090100,5853100,-1
71,1,STEP,1161412239800,1161415851800,3612000,-1
72,1,STEP,1161416051800,1161419822900,3771100,-1
73,1,STEP,1161420027900,1161423753700,3725800,-1
74,1,STEP,1161423893300,1161428401700,4508400,-1
75,1,STEP,1161428589900,1161433963800,5373900,-1
76,1,STEP,1161434156600,1161439130500,4973900,-1
77,1,STEP,1161439284500,1161443000300,3715800,-1
78,1,STEP,1161443167100,1161448637000,5469900,-1
79,1,STEP,1161448824900,1161453423300,4598400,-1
80,1,STEP,1161453597900,1161457267100,3669200,-1
81,1,STEP,1161457438000,1161462049500,4611500,-1
82,1,STEP,1161462219800,1161466617000,4397200,-1
83,1,STEP,1161466799900,1161471129100,4329200,-1
84,1,STEP,1161471285500,1161476385500,5100000,-1
85,1,STEP,1161476566200,1161481808100,5241900,-1
86,1,STEP,1161481918000,1161484810600,2892600,-1
87,1,STEP,1161484969700,1161489016100,4046400,-1
88,1,STEP,1161489174300,1161492525800,3351500,-1
89,1,STEP,1161492678400,1161497063500,4385100,-1
90,1,STEP,1161497232700,1161508763400,11530700,-1
91,1,STEP,1161508940600,1161515013100,6072500,-1
