Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3943880003800,3944224936800,344933000,-1
0,1,STEP,3944376247100,3944406128300,29881200,-1
1,1,STEP,3944406202000,3944434673500,28471500,-1
2,1,STEP,3944434739900,3944463505600,28765700,-1
3,1,STEP,3944463558700,3944492618500,29059800,-1
4,1,STEP,3944492681300,3944521923200,29241900,-1
5,1,STEP,3944521981500,3944550922500,28941000,-1
6,1,STEP,3944550978900,3944580079600,29100700,-1
7,1,STEP,3944580131200,3944609353600,29222400,-1
8,1,STEP,3944609420400,3944638667200,29246800,-1
9,1,STEP,3944638725300,3944668247800,29522500,-1
10,1,STEP,3944668306900,3944697769100,29462200,-1
11,1,STEP,3944697836400,3944733182100,35345700,-1
12,1,STEP,3944733249400,3944767392800,34143400,-1
13,1,STEP,3944767459300,3944801439200,33979900,-1
14,1,STEP,3944801498700,3944834908000,33409300,-1
15,1,STEP,3944834971200,3944869234100,34262900,-1
16,1,STEP,3944869295900,3944903846400,34550500,-1
17,1,STEP,3944903904900,3944938534400,34629500,-1
18,1,STEP,3944938601100,3944973040200,34439100,-1
19,1,STEP,3944973100300,3945007634900,34534600,-1
20,1,STEP,3945007697800,3945042378800,34681000,-1
21,1,STEP,3945042435300,3945077087200,34651900,-1
22,1,STEP,3945077135400,3945111951100,34815700,-1
23,1,STEP,3945112016600,3945147130600,35114000,-1
24,1,STEP,3945147190600,3945181840000,34649400,-1
25,1,STEP,3945181927400,3945216845500,34918100,-1
26,1,STEP,3945216907300,3945251541700,34634400,-1
27,1,STEP,3945251620500,3945286327300,34706800,-1
28,1,STEP,3945286389100,3945321160600,34771500,-1
29,1,STEP,3945321226200,3945355899600,34673400,-1
30,1,STEP,3945355975500,3945390799200,34823700,-1
31,1,STEP,3945390863200,3945425724400,34861200,-1
32,1,STEP,3945425789100,3945460628500,34839400,-1
33,1,STEP,3945460705700,3945495584400,34878700,-1
34,1,STEP,3945495656100,3945530440300,34784200,-1
