Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3467286989600,3467427575500,140585900,-1
0,1,STEP,3467464121300,3467471138200,7016900,-1
1,1,STEP,3467471212000,3467478266800,7054800,-1
2,1,STEP,3467478348800,3467485249100,6900300,-1
3,1,STEP,3467485311500,3467492146700,6835200,-1
4,1,STEP,3467492210000,3467499150700,6940700,-1
5,1,STEP,3467499218300,3467505980500,6762200,-1
6,1,STEP,3467506043100,3467512535000,6491900,-1
7,1,STEP,3467512600300,3467519224300,6624000,-1
8,1,STEP,3467519277400,3467526048700,6771300,-1
9,1,STEP,3467526092100,3467532708700,6616600,-1
10,1,STEP,3467532742100,3467539366100,6624000,-1
11,1,STEP,3467539416600,3467545696000,6279400,-1
12,1,STEP,3467545729700,3467552425400,6695700,-1
13,1,STEP,3467552471000,3467559386000,6915000,-1
14,1,STEP,3467559443000,3467566736400,7293400,-1
15,1,STEP,3467566771100,3467573526600,6755500,-1
16,1,STEP,3467573565000,3467580465500,6900500,-1
17,1,STEP,3467580526400,3467586373500,5847100,-1
18,1,STEP,3467586417900,3467592272700,5854800,-1
19,1,STEP,3467592320200,3467597880600,5560400,-1
20,1,STEP,3467597927900,3467603602200,5674300,-1
21,1,STEP,3467603659100,3467609570500,5911400,-1
22,1,STEP,3467609613800,3467615315700,5701900,-1
23,1,STEP,3467615353000,3467621224200,5871200,-1
24,1,STEP,3467621258000,3467627044000,5786000,-1
25,1,STEP,3467627078800,3467632812700,5733900,-1
26,1,STEP,3467632874400,3467638592200,5717800,-1
27,1,STEP,3467638635900,3467644420700,5784800,-1
28,1,STEP,3467644451300,3467650183900,5732600,-1
29,1,STEP,3467650228300,3467655918000,5689700,-1
30,1,STEP,3467655955100,3467661722500,5767400,-1
31,1,STEP,3467661761400,3467667542500,5781100,-1
32,1,STEP,3467667580400,3467673363300,5782900,-1
33,1,STEP,3467673395900,3467679150100,5754200,-1
34,1,STEP,3467679192800,3467684961100,5768300,-1
35,1,STEP,3467684999000,3467690736400,5737400,-1
36,1,STEP,3467690773700,3467696618600,5844900,-1
37,1,STEP,3467696671100,3467702458500,5787400,-1
38,1,STEP,3467702492400,3467708366800,5874400,-1
39,1,STEP,3467708421700,3467714214500,5792800,-1
40,1,STEP,3467714273700,3467719945300,5671600,-1
41,1,STEP,3467719979400,3467725791500,5812100,-1
42,1,STEP,3467725835100,3467731359800,5524700,-1
43,1,STEP,3467731421000,3467738729100,7308100,-1
44,1,STEP,3467738787800,3467747890000,9102200,-1
45,1,STEP,3467747958000,3467757047900,9089900,-1
46,1,STEP,3467757135300,3467763866000,6730700,-1
47,1,STEP,3467763936100,3467774514400,10578300,-1
48,1,STEP,3467774586000,3467780656500,6070500,-1
49,1,STEP,3467780712200,3467786341300,5629100,-1
50,1,STEP,3467786424000,3467793093400,6669400,-1
51,1,STEP,3467793192100,3467799521800,6329700,-1
52,1,STEP,3467799587200,3467808106900,8519700,-1
53,1,STEP,3467808175400,3467817593400,9418000,-1
54,1,STEP,3467817658700,3467823677500,6018800,-1
55,1,STEP,3467823733800,3467829597700,5863900,-1
56,1,STEP,3467829637000,3467859990500,30353500,-1
57,1,STEP,3467860077200,3467865345000,5267800,-1
58,1,STEP,3467865405200,3467870664500,5259300,-1
59,1,STEP,3467870729800,3467876024600,5294800,-1
60,1,STEP,3467876096600,3467881172400,5075800,-1
61,1,STEP,3467881254300,3467886387800,5133500,-1
62,1,STEP,3467886481100,3467891481600,5000500,-1
63,1,STEP,3467891538300,3467896577500,5039200,-1
64,1,STEP,3467896628500,3467901586900,4958400,-1
65,1,STEP,3467901622200,3467906418000,4795800,-1
66,1,STEP,3467906472900,3467911627800,5154900,-1
67,1,STEP,3467911673200,3467916973900,5300700,-1
