Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,4560938464400,4561474260500,535796100,-1
0,1,STEP,4561617018900,4561632092600,15073700,-1
1,1,STEP,4561632248100,4561647092200,14844100,-1
2,1,STEP,4561647236100,4561663239800,16003700,-1
3,1,STEP,4561663859000,4561678647700,14788700,-1
4,1,STEP,4561678756900,4561694821200,16064300,-1
5,1,STEP,4561694947600,4561711559000,16611400,-1
6,1,STEP,4561711677400,4561727300000,15622600,-1
7,1,STEP,4561727435900,4561743112300,15676400,-1
8,1,STEP,4561743231100,4561759084500,15853400,-1
9,1,STEP,4561759217900,4561780318000,21100100,-1
10,1,STEP,4561780440200,4561798653800,18213600,-1
11,1,STEP,4561798774000,4561819047800,20273800,-1
12,1,STEP,4561819254400,4561838035600,18781200,-1
13,1,STEP,4561838164100,4561856914100,18750000,-1
14,1,STEP,4561857031800,4561875626500,18594700,-1
15,1,STEP,4561877174800,4561894746500,17571700,-1
16,1,STEP,4561894858700,4561913873000,19014300,-1
17,1,STEP,4561913988800,4561936573400,22584600,-1
18,1,STEP,4561937290900,4561957064800,19773900,-1
19,1,STEP,4561957182500,4561975144700,17962200,-1
20,1,STEP,4561975285600,4561995028200,19742600,-1
21,1,STEP,4561995180900,4562014815300,19634400,-1
22,1,STEP,4562014926400,4562033257800,18331400,-1
23,1,STEP,4562033346900,4562051408300,18061400,-1
24,1,STEP,4562051504800,4562070123600,18618800,-1
25,1,STEP,4562070239900,4562088180000,17940100,-1
26,1,STEP,4562088278100,4562106229600,17951500,-1
27,1,STEP,4562106326600,4562124799400,18472800,-1
28,1,STEP,4562124896100,4562142238300,17342200,-1
29,1,STEP,4562142350200,4562160419700,18069500,-1
30,1,STEP,4562160518600,4562178426000,17907400,-1
31,1,STEP,4562178551200,4562196375600,17824400,-1
32,1,STEP,4562196481400,4562215015300,18533900,-1
33,1,STEP,4562215107000,4562233399800,18292800,-1
34,1,STEP,4562233487300,4562251766100,18278800,-1
35,1,STEP,4562251855500,4562270110300,18254800,-1
36,1,STEP,4562270209700,4562288431100,18221400,-1
37,1,STEP,4562288557200,4562306723100,18165900,-1
38,1,STEP,4562306836900,4562325045600,18208700,-1
39,1,STEP,4562325129900,4562343261700,18131800,-1
40,1,STEP,4562343347300,4562361978600,18631300,-1
41,1,STEP,4562362111600,4562380634300,18522700,-1
42,1,STEP,4562380717800,4562399069500,18351700,-1
43,1,STEP,4562399145000,4562417472100,18327100,-1
44,1,STEP,4562417542800,4562435897200,18354400,-1
45,1,STEP,4562435968500,4562454546700,18578200,-1
46,1,STEP,4562454648200,4562472907600,18259400,-1
47,1,STEP,4562473005400,4562491783000,18777600,-1
48,1,STEP,4562491881100,4562510645100,18764000,-1
49,1,STEP,4562510749500,4562529437100,18687600,-1
50,1,STEP,4562529539400,4562547980400,18441000,-1
51,1,STEP,4562548081600,4562566663000,18581400,-1
52,1,STEP,4562566738200,4562586106400,19368200,-1
53,1,STEP,4562586260500,4562605451700,19191200,-1
54,1,STEP,4562605578700,4562624297500,18718800,-1
55,1,STEP,4562624432800,4562647380100,22947300,-1
56,1,STEP,4562647532000,4562666726800,19194800,-1
57,1,STEP,4562666820000,4562685620700,18800700,-1
58,1,STEP,4562685792000,4562704561700,18769700,-1
59,1,STEP,4562704683700,4562723603400,18919700,-1
60,1,STEP,4562723715900,4562742483600,18767700,-1
61,1,STEP,4562742578700,4562761000800,18422100,-1
62,1,STEP,4562761087400,4562779108600,18021200,-1
63,1,STEP,4562779254900,4562797573200,18318300,-1
64,1,STEP,4562797654600,4562816556800,18902200,-1
65,1,STEP,4562816640800,4562836018400,19377600,-1
66,1,STEP,4562836136500,4562856797600,20661100,-1
67,1,STEP,4562856949000,4562876394200,19445200,-1
68,1,STEP,4562876529600,4562896054700,19525100,-1
69,1,STEP,4562896168100,4562914625300,18457200,-1
70,1,STEP,4562914738500,4562933465000,18726500,-1
71,1,STEP,4562933635400,4562951914700,18279300,-1
72,1,STEP,4562952001000,4562970131500,18130500,-1
73,1,STEP,4562970218000,4562988491200,18273200,-1
74,1,STEP,4562988575700,4563006972400,18396700,-1
75,1,STEP,4563007055900,4563025679600,18623700,-1
76,1,STEP,4563025766100,4563044083700,18317600,-1
77,1,STEP,4563044163500,4563062049400,17885900,-1
78,1,STEP,4563062117900,4563080272300,18154400,-1
79,1,STEP,4563080379200,4563100983500,20604300,-1
80,1,STEP,4563101093800,4563122800100,21706300,-1
81,1,STEP,4563122907900,4563143348900,20441000,-1
82,1,STEP,4563143519000,4563162235200,18716200,-1
83,1,STEP,4563162313400,4563181768600,19455200,-1
84,1,STEP,4563181903400,4563200985900,19082500,-1
85,1,STEP,4563201116200,4563221387200,20271000,-1
86,1,STEP,4563221728400,4563243209600,21481200,-1
87,1,STEP,4563243452100,4563262264600,18812500,-1
88,1,STEP,4563262351800,4563280212400,17860600,-1
89,1,STEP,4563280304100,4563297750600,17446500,-1
90,1,STEP,4563297852800,4563315434900,17582100,-1
91,1,STEP,4563315510600,4563333276200,17765600,-1
92,1,STEP,4563333350400,4563351282200,17931800,-1
93,1,STEP,4563351357600,4563369479600,18122000,-1
94,1,STEP,4563369551200,4563387595400,18044200,-1
95,1,STEP,4563387676200,4563405852300,18176100,-1
96,1,STEP,4563405950700,4563424129200,18178500,-1
97,1,STEP,4563424207100,4563442429300,18222200,-1
98,1,STEP,4563442519300,4563461008400,18489100,-1
99,1,STEP,4563461083400,4563479531400,18448000,-1
100,1,STEP,4563479602400,4563497926000,18323600,-1
101,1,STEP,4563497992300,4563516231900,18239600,-1
102,1,STEP,4563516298800,4563534706600,18407800,-1
103,1,STEP,4563534786100,4563553220000,18433900,-1
104,1,STEP,4563553284200,4563571817900,18533700,-1
105,1,STEP,4563571891800,4563590583500,18691700,-1
106,1,STEP,4563590642300,4563609591400,18949100,-1
107,1,STEP,4563609647300,4563628448000,18800700,-1
108,1,STEP,4563628503900,4563647243900,18740000,-1
109,1,STEP,4563647322700,4563666061100,18738400,-1
110,1,STEP,4563666128100,4563685018000,18889900,-1
111,1,STEP,4563685084900,4563703913400,18828500,-1
112,1,STEP,4563703985600,4563722809300,18823700,-1
113,1,STEP,4563722889400,4563741303400,18414000,-1
114,1,STEP,4563741378000,4563759879800,18501800,-1
115,1,STEP,4563759955900,4563778681000,18725100,-1
116,1,STEP,4563778751800,4563797632500,18880700,-1
117,1,STEP,4563797699700,4563816432400,18732700,-1
118,1,STEP,4563816492900,4563835309300,18816400,-1
119,1,STEP,4563835375300,4563854069300,18694000,-1
120,1,STEP,4563854170800,4563872902200,18731400,-1
121,1,STEP,4563873001600,4563891603200,18601600,-1
122,1,STEP,4563891807600,4563910491400,18683800,-1
123,1,STEP,4563910565000,4563928951400,18386400,-1
124,1,STEP,4563929023200,4563947684800,18661600,-1
125,1,STEP,4563947794700,4563967177100,19382400,-1
126,1,STEP,4563967273600,4563986518000,19244400,-1
127,1,STEP,4563986618100,4564006672200,20054100,-1
128,1,STEP,4564006834000,4564025229800,18395800,-1
129,1,STEP,4564025318900,4564044151400,18832500,-1
130,1,STEP,4564044394700,4564064485600,20090900,-1
131,1,STEP,4564064590900,4564086737300,22146400,-1
132,1,STEP,4564087458900,4564106682300,19223400,-1
133,1,STEP,4564106795500,4564125407500,18612000,-1
134,1,STEP,4564125521800,4564144616400,19094600,-1
135,1,STEP,4564144724900,4564163292400,18567500,-1
136,1,STEP,4564163405300,4564182109400,18704100,-1
137,1,STEP,4564182241200,4564200874200,18633000,-1
138,1,STEP,4564200966100,4564220595200,19629100,-1
139,1,STEP,4564220696300,4564239325700,18629400,-1
140,1,STEP,4564239425400,4564258054900,18629500,-1
141,1,STEP,4564258171200,4564276512200,18341000,-1
142,1,STEP,4564276601000,4564295248700,18647700,-1
143,1,STEP,4564295355700,4564316804700,21449000,-1
144,1,STEP,4564316896000,4564343887800,26991800,-1
145,1,STEP,4564343993800,4564364930800,20937000,-1
146,1,STEP,4564365050400,4564383771100,18720700,-1
147,1,STEP,4564384007300,4564413071200,29063900,-1
148,1,STEP,4564413222800,4564433258600,20035800,-1
149,1,STEP,4564433422600,4564454673400,21250800,-1
150,1,STEP,4564454896000,4564474687500,19791500,-1
151,1,STEP,4564474935600,4564495201300,20265700,-1
152,1,STEP,4564495597800,4564515240500,19642700,-1
153,1,STEP,4564515420900,4564533760300,18339400,-1
154,1,STEP,4564533852700,4564551471300,17618600,-1
155,1,STEP,4564551558400,4564569210200,17651800,-1
156,1,STEP,4564569292600,4564586908700,17616100,-1
157,1,STEP,4564586987500,4564604689000,17701500,-1
158,1,STEP,4564604766600,4564622482800,17716200,-1
159,1,STEP,4564622573800,4564640155900,17582100,-1
160,1,STEP,4564640231100,4564657806100,17575000,-1
161,1,STEP,4564657887700,4564675608600,17720900,-1
162,1,STEP,4564675706400,4564693797600,18091200,-1
163,1,STEP,4564693877600,4564712057800,18180200,-1
