Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,3.47685e-63,0.143822,5000,0.999573,7.00037,0.99939,0.000183105,0.0465698,0.0465698
2,4.231e-63,0.14382,5000,0.999451,7.00055,0.99939,6.10352e-05,0.0513306,0.0513306
3,1.04295e-62,0.143808,5000,0.99939,7.00134,0.99939,0,0.0477295,0.0477295
4,2.42812e-62,0.143781,5000,0.99939,7.00214,0.99939,0,0.0464478,0.0464478
5,4.60349e-62,0.143739,5000,0.999512,7.00201,0.999512,0,0.0501709,0.0501709
6,7.66739e-62,0.143683,5000,0.99939,7.00244,0.999329,6.10352e-05,0.0493774,0.0493774
7,1.15929e-61,0.143612,5000,0.99939,7.00391,0.99939,0,0.0473022,0.0473022
8,1.64814e-61,0.143521,5000,0.999634,7.00354,0.999634,6.10352e-05,0.0499878,0.0499878
9,2.24044e-61,0.143419,5000,0.99939,7.00391,0.999268,0.00012207,0.0480957,0.0480957
10,2.93132e-61,0.143293,5000,0.999512,7.00323,0.999512,0,0.0501709,0.0501709
11,3.72591e-61,0.143154,5000,0.999146,7.00513,0.999146,0,0.0510254,0.0510254
12,4.62403e-61,0.142992,5000,0.99939,7.00348,0.99939,0,0.0494385,0.0494385
13,5.66036e-61,0.142804,5000,0.999634,7.00421,0.999634,0,0.0490112,0.0490112
14,6.78325e-61,0.142604,5000,0.999451,7.00568,0.999451,0,0.0523071,0.0523071
15,8.0432e-61,0.142385,5000,0.999512,7.00549,0.999451,6.10352e-05,0.0506592,0.0506592
16,9.4756e-61,0.142137,5000,0.99939,7.00635,0.999451,0,0.0507812,0.0507812
17,1.10925e-60,0.14186,5000,0.999207,7.00861,0.999207,0,0.0491943,0.0491943
18,1.27583e-60,0.141569,5000,0.999329,7.00604,0.99939,0,0.0488281,0.0488281
19,1.48321e-60,0.141255,5000,0.999207,7.00403,0.999268,0,0.050415,0.050415
20,1.89105e-60,0.140917,5000,0.999573,7.00372,0.999573,0,0.0531006,0.0531006
21,2.44866e-60,0.140599,5000,0.999451,7.00183,0.999329,0.00012207,0.0515747,0.0515747
22,3.24411e-60,0.140278,5000,0.999817,6.99756,0.999878,0,0.0492554,0.0492554
23,4.27973e-60,0.139968,5000,0.999329,6.99384,0.999329,0,0.0485229,0.0485229
24,5.55547e-60,0.139644,5000,0.999512,6.98798,0.999512,0,0.0522461,0.0522461
25,6.98787e-60,0.139326,5000,0.999878,6.98529,0.999756,0.00012207,0.0499268,0.0499268
26,8.60147e-60,0.139016,5000,0.999329,6.97943,0.999329,0.00012207,0.0510254,0.0510254
27,1.04369e-59,0.13869,5000,0.999451,6.97205,0.99939,0.000183105,0.0488892,0.0488892
28,1.25357e-59,0.138369,5000,0.999329,6.96503,0.999329,0,0.0502319,0.0502319
29,1.49005e-59,0.138051,5000,0.999756,6.9549,0.999756,0,0.0504761,0.0504761
30,1.73801e-59,0.137767,5000,0.999451,6.94818,0.99939,6.10352e-05,0.053772,0.053772
31,2.00618e-59,0.137494,5000,0.999634,6.94049,0.999634,0,0.0523071,0.0523071
32,2.29445e-59,0.137253,5000,0.999756,6.93457,0.999817,0,0.0515747,0.0515747
33,2.59331e-59,0.137066,5000,0.999695,6.93201,0.999695,6.10352e-05,0.0522461,0.0522461
34,2.9264e-59,0.136891,5000,0.99939,6.92761,0.999329,6.10352e-05,0.0516968,0.0516968
35,3.82722e-59,0.136742,5000,0.999512,6.92493,0.999451,6.10352e-05,0.0525513,0.0525513
36,8.51695e-59,0.136607,5000,0.999451,6.92316,0.999451,0,0.0475464,0.0475464
37,1.76192e-58,0.136465,5000,0.999817,6.92084,0.999756,6.10352e-05,0.0498047,0.0498047
38,3.14362e-58,0.13633,5000,0.999512,6.9187,0.999512,0,0.0466919,0.0466919
39,4.99324e-58,0.136194,5000,0.99939,6.91803,0.999268,0.00012207,0.0505371,0.0505371
40,7.36973e-58,0.136055,5000,0.999451,6.91541,0.999451,0,0.0510864,0.0510864
41,1.04608e-57,0.135919,5000,0.999573,6.91431,0.999573,0,0.0513916,0.0513916
42,1.39985e-57,0.135775,5000,0.99939,6.91449,0.99939,0,0.0505981,0.0505981
43,1.79395e-57,0.135628,5000,0.998962,6.91534,0.998962,0,0.0496216,0.0496216
44,2.26325e-57,0.135446,5000,0.999512,6.91779,0.999573,0,0.0497437,0.0497437
45,2.76278e-57,0.135247,5000,0.999695,6.92157,0.999756,0,0.0508423,0.0508423
46,3.31287e-57,0.13504,5000,0.999512,6.92285,0.999634,0,0.0499268,0.0499268
47,3.89739e-57,0.134801,5000,0.999878,6.92493,1.00018,0,0.0500488,0.0500488
48,4.53237e-57,0.134568,5000,0.999695,6.92786,1.00018,6.10352e-05,0.0491333,0.0491333
49,5.33726e-57,0.134308,5000,0.999573,6.93091,1.00055,0,0.0493774,0.0493774
50,6.38675e-57,0.134041,5000,0.999573,6.93073,1.00067,0.000183105,0.0512085,0.0512085
51,8.45098e-57,0.133755,5000,0.999634,6.92859,1.00092,6.10352e-05,0.0499268,0.0499268
52,1.11219e-56,0.133473,5000,0.999756,6.93475,1.0011,6.10352e-05,0.052063,0.052063
53,1.4612e-56,0.133196,5000,0.999695,6.93787,1.00055,6.10352e-05,0.0473633,0.0473633
54,1.90115e-56,0.132904,5000,0.999817,6.94,1.00098,6.10352e-05,0.052124,0.052124
55,2.77039e-56,0.132613,5000,0.999573,6.94489,1.00037,0.000183105,0.052002,0.052002
56,6.14253e-56,0.132304,5000,0.999512,6.94824,1.00018,0.00012207,0.0482178,0.0482178
57,4.54046e-54,0.131984,5000,0.999695,6.95184,1.00012,0,0.0507202,0.0507202
58,3.99646e-53,0.131669,5000,0.999695,6.95599,0.999939,0,0.0497437,0.0497437
59,1.1075e-52,0.131361,5000,0.999512,6.96002,0.999451,0.00012207,0.0489502,0.0489502
60,2.16896e-52,0.131049,5000,0.999451,6.96387,0.999451,0,0.0492554,0.0492554
61,3.58404e-52,0.130726,5000,0.999329,6.9704,0.999329,0,0.0482788,0.0482788
62,5.35273e-52,0.130378,5000,0.999817,6.97485,0.999817,0,0.050354,0.050354
63,7.47503e-52,0.130043,5000,0.999329,6.97736,0.999329,0,0.0505981,0.0505981
64,9.95095e-52,0.129668,5000,0.999817,6.98401,0.999817,0,0.0475464,0.0475464
65,1.27805e-51,0.129312,5000,0.999573,6.98682,0.999573,0,0.0522461,0.0522461
66,1.59195e-51,0.128946,5000,0.999451,6.99371,0.999573,0,0.050354,0.050354
67,1.95007e-51,0.128592,5000,0.999512,6.99634,0.999512,6.10352e-05,0.0459595,0.0459595
68,2.33916e-51,0.128227,5000,0.999695,6.99908,0.999756,0,0.0509033,0.0509033
69,2.76803e-51,0.127863,5000,0.999573,7.0036,0.999634,0,0.0490112,0.0490112
70,3.26324e-51,0.127486,5000,0.999573,7.00726,0.999451,0.00012207,0.050293,0.050293
71,3.82917e-51,0.127098,5000,0.999695,7.01166,0.999756,0,0.0531616,0.0531616
72,4.46582e-51,0.126704,5000,0.999573,7.01404,0.999451,0.00012207,0.0488281,0.0488281
73,5.16877e-51,0.126293,5000,0.999573,7.01483,0.999573,0,0.0498657,0.0498657
74,5.94238e-51,0.125892,5000,0.99939,7.01471,0.99939,6.10352e-05,0.0510254,0.0510254
75,6.79109e-51,0.125489,5000,0.999634,7.01593,0.999695,0,0.0501099,0.0501099
76,7.71521e-51,0.125082,5000,0.999878,7.0141,0.999817,6.10352e-05,0.0499268,0.0499268
77,8.71444e-51,0.124677,5000,0.999573,7.01031,0.999573,6.10352e-05,0.0505981,0.0505981
78,9.6956e-51,0.124281,5000,0.999634,7.00494,0.999634,0,0.0494385,0.0494385
79,2.91937e-48,0.123884,5000,0.999634,7.00165,0.999512,0.00012207,0.0510254,0.0510254
80,2.61895e-47,0.123461,5000,0.999695,6.99658,0.999756,6.10352e-05,0.0492554,0.0492554
81,7.27288e-47,0.123038,5000,0.999329,6.99255,0.99939,0,0.050293,0.050293
82,1.45446e-46,0.122604,5000,0.999634,6.98956,0.999756,0,0.052124,0.052124
83,2.61792e-46,0.122184,5000,0.999512,6.98914,0.999451,6.10352e-05,0.0499878,0.0499878
84,4.24677e-46,0.121751,5000,0.999756,6.9881,0.999756,0,0.0521851,0.0521851
85,6.37008e-46,0.121311,5000,0.999756,6.99042,0.999695,6.10352e-05,0.0507202,0.0507202
86,9.16238e-46,0.120865,5000,0.999268,6.99152,0.999084,0.000183105,0.0511475,0.0511475
87,1.26237e-45,0.120367,5000,0.999756,6.99347,0.999695,6.10352e-05,0.0499268,0.0499268
88,1.6783e-45,0.119883,5000,0.99939,6.99609,0.999329,6.10352e-05,0.0497437,0.0497437
89,2.17277e-45,0.119372,5000,0.999329,6.99689,0.999329,0,0.0529175,0.0529175
90,2.7225e-45,0.118828,5000,0.999634,6.99902,0.999695,0,0.046875,0.046875
91,3.35368e-45,0.118292,5000,0.999573,7.0022,1,0,0.0460205,0.0460205
92,4.04884e-45,0.11773,5000,0.999817,7.00598,1.00043,0,0.0476074,0.0476074
93,4.82545e-45,0.117164,5000,0.999512,7.00726,1.00024,0.00012207,0.0507202,0.0507202
94,5.68931e-45,0.116566,5000,0.999634,7.01227,1.00006,0.00012207,0.0513916,0.0513916
95,6.65788e-45,0.115938,5000,0.999756,7.01355,1.00024,0,0.0501709,0.0501709
96,7.73699e-45,0.11527,5000,0.999695,7.01569,1,0,0.0505371,0.0505371
97,8.88881e-45,0.114577,5000,0.999573,7.01593,0.999817,6.10352e-05,0.0488281,0.0488281
98,1.01453e-44,0.113853,5000,0.999634,7.01544,0.999817,0,0.0499268,0.0499268
99,1.14542e-44,0.113115,5000,0.999939,7.01447,1.00043,0,0.0477295,0.0477295
100,1.28416e-44,0.112406,5000,0.999573,7.01941,1.00116,0,0.0511475,0.0511475
101,1.42436e-44,0.111715,5000,0.99939,7.02234,1.00208,6.10352e-05,0.0495605,0.0495605
102,1.56397e-44,0.110989,5000,0.999756,7.02692,1.00452,0,0.050415,0.050415
103,1.7033e-44,0.110309,5000,0.999695,7.02991,1.00671,0,0.0517578,0.0517578
104,1.84204e-44,0.109668,5000,0.999268,7.03052,1.00903,0,0.0494385,0.0494385
105,1.97991e-44,0.109035,5000,0.999573,7.0318,1.01257,0.00012207,0.0510864,0.0510864
106,2.11894e-44,0.108398,5000,0.999817,7.03204,1.01678,0.00012207,0.0487061,0.0487061
107,2.25565e-44,0.107831,5000,0.999512,7.03467,1.01898,0,0.0507812,0.0507812
108,2.39555e-44,0.107254,5000,0.999695,7.03137,1.02026,6.10352e-05,0.0511475,0.0511475
109,2.52731e-44,0.106729,5000,0.999634,7.03137,1.02075,0,0.0513306,0.0513306
110,2.65878e-44,0.106245,5000,0.999573,7.03076,1.01947,0,0.0484009,0.0484009
111,2.79026e-44,0.105771,5000,0.999573,7.02887,1.01788,6.10352e-05,0.0509033,0.0509033
112,2.92056e-44,0.105309,5000,0.999573,7.02502,1.01672,0,0.0481567,0.0481567
113,3.05261e-44,0.104864,5000,0.999573,7.02155,1.01471,0.000183105,0.046814,0.046814
114,3.18553e-44,0.104412,5000,0.99939,7.01819,1.01221,0,0.0496216,0.0496216
115,3.30217e-44,0.103993,5000,0.999878,7.01721,1.01001,0.00012207,0.0470581,0.0470581
116,3.41648e-44,0.103613,5000,0.999817,7.01703,1.00745,0.00012207,0.0539551,0.0539551
117,3.5305e-44,0.103281,5000,0.999207,7.01459,1.00507,0.00012207,0.0509033,0.0509033
118,3.64743e-44,0.102925,5000,0.999634,7.01343,1.00378,6.10352e-05,0.0496826,0.0496826
119,3.76429e-44,0.102611,5000,0.99939,7.01263,1.00208,0.000366211,0.0460205,0.0460205
120,3.87889e-44,0.102267,5000,0.999512,7.01361,1.00195,6.10352e-05,0.0516357,0.0516357
121,3.99452e-44,0.101946,5000,0.999695,7.01385,1.00153,0.00012207,0.0497437,0.0497437
122,4.10182e-44,0.101637,5000,0.999695,7.01489,1.00128,0,0.0501709,0.0501709
123,4.19799e-44,0.101364,5000,0.999756,7.01697,1.00073,6.10352e-05,0.0492554,0.0492554
124,4.28318e-44,0.101139,5000,0.999451,7.01733,1.00043,0,0.0500488,0.0500488
125,4.36884e-44,0.10091,5000,0.999512,7.01727,1.00061,0,0.0482178,0.0482178
126,4.44976e-44,0.100669,5000,0.999695,7.01691,1.00092,0,0.0507812,0.0507812
127,4.52202e-44,0.100477,5000,0.999573,7.01788,1.00067,6.10352e-05,0.0482178,0.0482178
128,4.59244e-44,0.100267,5000,0.999878,7.02051,1.00055,0,0.0474854,0.0474854
129,4.6479e-44,0.100123,5000,0.999756,7.02277,0.999695,6.10352e-05,0.0499268,0.0499268
130,4.69488e-44,0.100006,5000,0.999634,7.02484,0.999573,6.10352e-05,0.0465698,0.0465698
131,4.73715e-44,0.0999016,5000,0.999451,7.02411,0.999451,6.10352e-05,0.0518799,0.0518799
132,4.75956e-44,0.0998426,5000,0.999634,7.02502,0.999634,6.10352e-05,0.0482788,0.0482788
133,4.77794e-44,0.0998014,5000,0.999695,7.02338,0.999573,0.00012207,0.0506592,0.0506592
134,4.79428e-44,0.0997752,5000,0.999573,7.02374,0.999573,0,0.0516357,0.0516357
135,4.80277e-44,0.0997513,5000,1,7.02283,1,6.10352e-05,0.0498657,0.0498657
136,4.80553e-44,0.0997816,5000,0.999512,7.02148,0.999573,0,0.0476685,0.0476685
137,4.81518e-44,0.0997662,5000,0.999634,7.02472,0.999634,0,0.0509644,0.0509644
138,4.82095e-44,0.0997643,5000,0.999695,7.02466,0.999634,6.10352e-05,0.0505981,0.0505981
139,4.82516e-44,0.099786,5000,0.99939,7.0246,0.999329,6.10352e-05,0.048645,0.048645
140,4.83071e-44,0.0997716,5000,0.999573,7.02271,0.999573,0,0.0513916,0.0513916
141,4.83606e-44,0.0998006,5000,0.999084,7.0235,0.999084,6.10352e-05,0.0518799,0.0518799
142,4.84864e-44,0.0997632,5000,0.999573,7.02222,0.999573,0,0.050293,0.050293
143,4.85111e-44,0.0997735,5000,0.999512,7.02252,0.999512,0,0.0499268,0.0499268
144,4.86379e-44,0.0997686,5000,0.999573,7.02301,0.999512,6.10352e-05,0.0488281,0.0488281
