Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,306364605100,307481519100,1116914000,-1
0,1,STEP,308000792900,308095027600,94234700,-1
1,1,STEP,308095083100,308185884600,90801500,-1
2,1,STEP,308185979000,308278697300,92718300,-1
3,1,STEP,308278748200,308370127800,91379600,-1
4,1,STEP,308370181500,308460944700,90763200,-1
5,1,STEP,308460992000,308551459500,90467500,-1
6,1,STEP,308551508300,308643772400,92264100,-1
7,1,STEP,308643829500,308735094900,91265400,-1
8,1,STEP,308735144300,308825693400,90549100,-1
9,1,STEP,308825738600,308916864600,91126000,-1
10,1,STEP,308916911300,309007883600,90972300,-1
11,1,STEP,309007934700,309098717200,90782500,-1
12,1,STEP,309098765300,309189966600,91201300,-1
13,1,STEP,309190019500,309280420300,90400800,-1
14,1,STEP,309280471800,309371487000,91015200,-1
15,1,STEP,309371595600,309461348900,89753300,-1
16,1,STEP,309461402800,309552175000,90772200,-1
17,1,STEP,309552220500,309642744000,90523500,-1
18,1,STEP,309642792200,309732455100,89662900,-1
19,1,STEP,309732507000,309823219700,90712700,-1
20,1,STEP,309823274200,309912747100,89472900,-1
21,1,STEP,309912793000,310001956100,89163100,-1
22,1,STEP,310002001000,310099306900,97305900,-1
23,1,STEP,310099394000,310200428700,101034700,-1
24,1,STEP,310200555600,310302734600,102179000,-1
25,1,STEP,310302791400,310402188900,99397500,-1
26,1,STEP,310402233400,310501155000,98921600,-1
27,1,STEP,310501210300,310602050600,100840300,-1
28,1,STEP,310602101300,310699650100,97548800,-1
29,1,STEP,310699696700,310799060900,99364200,-1
30,1,STEP,310799109000,310898007900,98898900,-1
31,1,STEP,310898054400,310996343600,98289200,-1
32,1,STEP,310996398600,311093951800,97553200,-1
33,1,STEP,311094005200,311197364700,103359500,-1
34,1,STEP,311197417600,311300167800,102750200,-1
35,1,STEP,311300211900,311411455700,111243800,-1
36,1,STEP,311411505800,311520583700,109077900,-1
37,1,STEP,311520660200,311632016600,111356400,-1
38,1,STEP,311632075800,311739227200,107151400,-1
39,1,STEP,311739286400,311846259600,106973200,-1
40,1,STEP,311846324000,311956401700,110077700,-1
41,1,STEP,311956465900,312062299500,105833600,-1
42,1,STEP,312062356400,312170880100,108523700,-1
43,1,STEP,312170931900,312277191700,106259800,-1
44,1,STEP,312277248700,312383965700,106717000,-1
45,1,STEP,312384021300,312491562300,107541000,-1
46,1,STEP,312491650700,312599383300,107732600,-1
47,1,STEP,312599437100,312707334700,107897600,-1
48,1,STEP,312707380700,312813381100,106000400,-1
49,1,STEP,312813432800,312922085000,108652200,-1
50,1,STEP,312922144900,313030344100,108199200,-1
51,1,STEP,313030443700,313138079700,107636000,-1
52,1,STEP,313138153400,313246160900,108007500,-1
53,1,STEP,313246609200,313353747500,107138300,-1
54,1,STEP,313353793200,313464577900,110784700,-1
55,1,STEP,313464628900,313574607700,109978800,-1
56,1,STEP,313574677800,313681209100,106531300,-1
57,1,STEP,313681263300,313787601000,106337700,-1
58,1,STEP,313787656500,313895385200,107728700,-1
59,1,STEP,313895443700,314007635800,112192100,-1
60,1,STEP,314007686800,314114461600,106774800,-1
61,1,STEP,314114559000,314222297800,107738800,-1
62,1,STEP,314222348000,314328475700,106127700,-1
63,1,STEP,314328530100,314435742900,107212800,-1
64,1,STEP,314435799200,314553135700,117336500,-1
65,1,STEP,314553191700,314669467200,116275500,-1
66,1,STEP,314669523000,314784946600,115423600,-1
67,1,STEP,314784998000,314893120500,108122500,-1
68,1,STEP,314893185700,315012086800,118901100,-1
69,1,STEP,315012156300,315119443500,107287200,-1
70,1,STEP,315119507500,315238512800,119005300,-1
71,1,STEP,315238563800,315355287000,116723200,-1
72,1,STEP,315355353500,315474147400,118793900,-1
73,1,STEP,315474213600,315591541000,117327400,-1
74,1,STEP,315591629600,315716539800,124910200,-1
75,1,STEP,315716623000,315836078400,119455400,-1
76,1,STEP,315836140700,315952708800,116568100,-1
77,1,STEP,315952774000,316069556600,116782600,-1
78,1,STEP,316069632900,316189953000,120320100,-1
79,1,STEP,316190026100,316305538400,115512300,-1
80,1,STEP,316305611300,316423934200,118322900,-1
81,1,STEP,316423995700,316542674300,118678600,-1
82,1,STEP,316542883000,316661227900,118344900,-1
83,1,STEP,316661289100,316779718500,118429400,-1
84,1,STEP,316779807000,316895070700,115263700,-1
85,1,STEP,316895148100,317012094100,116946000,-1
86,1,STEP,317012150000,317129911900,117761900,-1
87,1,STEP,317129967800,317243617100,113649300,-1
88,1,STEP,317243671200,317361167300,117496100,-1
89,1,STEP,317361222900,317476342300,115119400,-1
90,1,STEP,317476394400,317594673000,118278600,-1
91,1,STEP,317594722400,317714835600,120113200,-1
92,1,STEP,317714888600,317832600100,117711500,-1
93,1,STEP,317832650300,317948127600,115477300,-1
94,1,STEP,317948177700,318066414700,118237000,-1
95,1,STEP,318066463200,318188291700,121828500,-1
