Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,4017005969500,4018699135400,1693165900,-1
0,1,STEP,4019207698500,4019303506200,95807700,-1
1,1,STEP,4019303571700,4019403187100,99615400,-1
2,1,STEP,4019403251600,4019501512200,98260600,-1
3,1,STEP,4019501638800,4019612836600,111197800,-1
4,1,STEP,4019612998600,4019726764400,113765800,-1
5,1,STEP,4019726843000,4019851094900,124251900,-1
6,1,STEP,4019851224700,4019964969800,113745100,-1
7,1,STEP,4019965055200,4020076634100,111578900,-1
8,1,STEP,4020076705500,4020188823800,112118300,-1
9,1,STEP,4020188911900,4020302653100,113741200,-1
10,1,STEP,4020302717000,4020416319100,113602100,-1
11,1,STEP,4020416380800,4020530404400,114023600,-1
12,1,STEP,4020530467500,4020644283600,113816100,-1
13,1,STEP,4020644348700,4020758367400,114018700,-1
14,1,STEP,4020758429100,4020873583700,115154600,-1
15,1,STEP,4020873655100,4020988676500,115021400,-1
16,1,STEP,4020988762200,4021101643100,112880900,-1
17,1,STEP,4021101716500,4021215031900,113315400,-1
18,1,STEP,4021215119700,4021331072200,115952500,-1
19,1,STEP,4021331133100,4021443925900,112792800,-1
20,1,STEP,4021443991500,4021557624200,113632700,-1
21,1,STEP,4021557699100,4021670317000,112617900,-1
22,1,STEP,4021670392100,4021783189700,112797600,-1
23,1,STEP,4021783265400,4021897007400,113742000,-1
24,1,STEP,4021897075400,4022011533100,114457700,-1
25,1,STEP,4022011613300,4022125129100,113515800,-1
26,1,STEP,4022125230000,4022238501600,113271600,-1
27,1,STEP,4022238570800,4022350822600,112251800,-1
28,1,STEP,4022350889300,4022463001700,112112400,-1
29,1,STEP,4022463076800,4022575042600,111965800,-1
30,1,STEP,4022575121200,4022689239600,114118400,-1
31,1,STEP,4022689309100,4022801386600,112077500,-1
32,1,STEP,4022801446400,4022915648100,114201700,-1
33,1,STEP,4022915718300,4023031448900,115730600,-1
34,1,STEP,4023031536500,4023145054100,113517600,-1
35,1,STEP,4023145120200,4023261841100,116720900,-1
36,1,STEP,4023261920800,4023376895900,114975100,-1
37,1,STEP,4023376968700,4023492232400,115263700,-1
38,1,STEP,4023492294900,4023605802600,113507700,-1
39,1,STEP,4023605884700,4023721633500,115748800,-1
40,1,STEP,4023721698100,4023838870500,117172400,-1
41,1,STEP,4023838936900,4023953555800,114618900,-1
42,1,STEP,4023953618300,4024065826700,112208400,-1
43,1,STEP,4024065892200,4024179513100,113620900,-1
44,1,STEP,4024179587700,4024295462700,115875000,-1
45,1,STEP,4024295533300,4024414118900,118585600,-1
46,1,STEP,4024414204000,4024525783600,111579600,-1
