Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,12169123361600,12183895387700,14772026100,-1
0,1,STEP,12183895554800,12183919226400,23671600,-1
1,1,STEP,12183920755700,12183947191400,26435700,-1
2,1,STEP,12183948422400,12183967353900,18931500,-1
3,1,STEP,12183968618800,12183984713400,16094600,-1
4,1,STEP,12183986149900,12183998067400,11917500,-1
5,1,STEP,12183999551300,12184015467200,15915900,-1
6,1,STEP,12184016918600,12184030725700,13807100,-1
7,1,STEP,12184032633800,12184043995900,11362100,-1
8,1,STEP,12184045622200,12184057508300,11886100,-1
9,1,STEP,12184058953700,12184071475300,12521600,-1
10,1,STEP,12184073063200,12184089326400,16263200,-1
11,1,STEP,12184093052700,12184108385000,15332300,-1
12,1,STEP,12184109991200,12184126129700,16138500,-1
13,1,STEP,12184127620500,12184140290100,12669600,-1
14,1,STEP,12184141884800,12184150658600,8773800,-1
15,1,STEP,12184152149600,12184165174800,13025200,-1
16,1,STEP,12184166759900,12184178344600,11584700,-1
17,1,STEP,12184180029300,12184190455900,10426600,-1
18,1,STEP,12184192016900,12184203262000,11245100,-1
19,1,STEP,12184204773600,12184213798800,9025200,-1
20,1,STEP,12184215352200,12184226309100,10956900,-1
21,1,STEP,12184227906200,12184236380400,8474200,-1
22,1,STEP,12184237945500,12184246663400,8717900,-1
23,1,STEP,12184248328400,12184258209500,9881100,-1
24,1,STEP,12184259672900,12184269601300,9928400,-1
25,1,STEP,12184272342300,12184283974900,11632600,-1
26,1,STEP,12184286615300,12184297086800,10471500,-1
27,1,STEP,12184298555400,12184307621300,9065900,-1
28,1,STEP,12184309636300,12184319955500,10319200,-1
29,1,STEP,12184322488000,12184333892100,11404100,-1
30,1,STEP,12184335413100,12184347549200,12136100,-1
31,1,STEP,12184350298900,12184359244600,8945700,-1
32,1,STEP,12184361476300,12184371674200,10197900,-1
33,1,STEP,12184373350700,12184383695600,10344900,-1
34,1,STEP,12184385462700,12184394976800,9514100,-1
35,1,STEP,12184396473700,12184407339300,10865600,-1
36,1,STEP,12184410335900,12184423572300,13236400,-1
37,1,STEP,12184425160300,12184435166000,10005700,-1
38,1,STEP,12184436650400,12184449276900,12626500,-1
39,1,STEP,12184450776500,12184459102100,8325600,-1
40,1,STEP,12184460807000,12184471685300,10878300,-1
41,1,STEP,12184473300400,12184485265600,11965200,-1
42,1,STEP,12184486805500,12184494967900,8162400,-1
43,1,STEP,12184496636700,12184506144100,9507400,-1
44,1,STEP,12184508004600,12184516858400,8853800,-1
45,1,STEP,12184518639200,12184525959500,7320300,-1
46,1,STEP,12184527547300,12184538750000,11202700,-1
47,1,STEP,12184540362500,12184552166300,11803800,-1
48,1,STEP,12184553817200,12184564421500,10604300,-1
49,1,STEP,12184566239200,12184573686000,7446800,-1
50,1,STEP,12184575345600,12184585786800,10441200,-1
51,1,STEP,12184587255500,12184595302100,8046600,-1
52,1,STEP,12184597420300,12184609054200,11633900,-1
53,1,STEP,12184611384000,12184626435000,15051000,-1
54,1,STEP,12184628117100,12184645787800,17670700,-1
55,1,STEP,12184647749600,12184659220100,11470500,-1
56,1,STEP,12184661574100,12184677394800,15820700,-1
57,1,STEP,12184679264100,12184686143900,6879800,-1
58,1,STEP,12184688017300,12184702970300,14953000,-1
59,1,STEP,12184705056900,12184722396500,17339600,-1
60,1,STEP,12184724095400,12184734985300,10889900,-1
61,1,STEP,12184736505900,12184745272300,8766400,-1
62,1,STEP,12184747691400,12184757614300,9922900,-1
63,1,STEP,12184759129200,12184769870000,10740800,-1
64,1,STEP,12184771376100,12184783005900,11629800,-1
65,1,STEP,12184784556100,12184793008300,8452200,-1
66,1,STEP,12184794708800,12184804210100,9501300,-1
67,1,STEP,12184805791500,12184817900900,12109400,-1
68,1,STEP,12184819435800,12184828645200,9209400,-1
69,1,STEP,12184830902300,12184842515200,11612900,-1
70,1,STEP,12184844399000,12184867051100,22652100,-1
71,1,STEP,12184869938100,12184899740800,29802700,-1
72,1,STEP,12184906197600,12184918809000,12611400,-1
73,1,STEP,12184920474300,12184932510600,12036300,-1
74,1,STEP,12184934273700,12184946061700,11788000,-1
75,1,STEP,12184947594300,12184954491100,6896800,-1
76,1,STEP,12184956254000,12184969448400,13194400,-1
77,1,STEP,12184972292300,12184985609600,13317300,-1
78,1,STEP,12184988709700,12185000307900,11598200,-1
79,1,STEP,12185003244100,12185013832900,10588800,-1
80,1,STEP,12185015748400,12185027417800,11669400,-1
81,1,STEP,12185030687700,12185043656900,12969200,-1
82,1,STEP,12185045249900,12185053830800,8580900,-1
83,1,STEP,12185055786700,12185067444500,11657800,-1
84,1,STEP,12185069428800,12185081400500,11971700,-1
85,1,STEP,12185083597900,12185096846700,13248800,-1
86,1,STEP,12185098738900,12185107974900,9236000,-1
87,1,STEP,12185109558400,12185118670100,9111700,-1
88,1,STEP,12185120273700,12185130618400,10344700,-1
89,1,STEP,12185132264700,12185140283800,8019100,-1
90,1,STEP,12185141909100,12185151165200,9256100,-1
91,1,STEP,12185152840300,12185163287700,10447400,-1
92,1,STEP,12185165729900,12185177345800,11615900,-1
93,1,STEP,12185179482300,12185194745200,15262900,-1
94,1,STEP,12185196378400,12185212535500,16157100,-1
95,1,STEP,12185215205100,12185224849600,9644500,-1
96,1,STEP,12185227847700,12185236519800,8672100,-1
97,1,STEP,12185239109200,12185251354600,12245400,-1
98,1,STEP,12185254282400,12185264102900,9820500,-1
99,1,STEP,12185265634000,12185273948600,8314600,-1
100,1,STEP,12185275812400,12185284467700,8655300,-1
101,1,STEP,12185285931300,12185297448600,11517300,-1
102,1,STEP,12185299558100,12185311354400,11796300,-1
103,1,STEP,12185313313000,12185324283400,10970400,-1
104,1,STEP,12185326806400,12185338761100,11954700,-1
105,1,STEP,12185340328200,12185348521400,8193200,-1
106,1,STEP,12185351352500,12185362155400,10802900,-1
107,1,STEP,12185363692300,12185372411300,8719000,-1
108,1,STEP,12185374124600,12185383090100,8965500,-1
109,1,STEP,12185384793900,12185396692700,11898800,-1
110,1,STEP,12185398484300,12185407731800,9247500,-1
111,1,STEP,12185409485800,12185420514300,11028500,-1
112,1,STEP,12185422875600,12185431911500,9035900,-1
113,1,STEP,12185433476700,12185443443100,9966400,-1
114,1,STEP,12185445123000,12185454205800,9082800,-1
115,1,STEP,12185455874300,12185465306000,9431700,-1
116,1,STEP,12185467166200,12185479337000,12170800,-1
117,1,STEP,12185481072100,12185491216700,10144600,-1
118,1,STEP,12185492748500,12185502083900,9335400,-1
119,1,STEP,12185503765700,12185516949300,13183600,-1
120,1,STEP,12185518543300,12185526638100,8094800,-1
121,1,STEP,12185528297700,12185536243800,7946100,-1
122,1,STEP,12185537842200,12185548067700,10225500,-1
123,1,STEP,12185550172100,12185557805500,7633400,-1
124,1,STEP,12185559334900,12185568808100,9473200,-1
125,1,STEP,12185571097000,12185579530000,8433000,-1
126,1,STEP,12185581212400,12185591800700,10588300,-1
127,1,STEP,12185594215500,12185605309400,11093900,-1
128,1,STEP,12185606922700,12185618300500,11377800,-1
129,1,STEP,12185620335400,12185630065800,9730400,-1
130,1,STEP,12185632059500,12185641121300,9061800,-1
131,1,STEP,12185642683500,12185653356200,10672700,-1
132,1,STEP,12185654889000,12185667037400,12148400,-1
133,1,STEP,12185668881100,12185678534300,9653200,-1
134,1,STEP,12185679982500,12185690101500,10119000,-1
135,1,STEP,12185692827600,12185703853600,11026000,-1
136,1,STEP,12185705475900,12185714108600,8632700,-1
137,1,STEP,12185715640800,12185721220200,5579400,-1
138,1,STEP,12185722780000,12185731588500,8808500,-1
139,1,STEP,12185733493200,12185746246000,12752800,-1
140,1,STEP,12185747906800,12185761527100,13620300,-1
