Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,11615646317500,11629901581200,14255263700,-1
0,1,STEP,11629901788200,11630443107400,541319200,-1
1,1,STEP,11630453395100,11630901272800,447877700,-1
2,1,STEP,11630912434300,11631107899400,195465100,-1
3,1,STEP,11631117377700,11631320191000,202813300,-1
4,1,STEP,11631331506500,11631529366400,197859900,-1
5,1,STEP,11631540992800,11631751108300,210115500,-1
6,1,STEP,11631766384200,11631996973800,230589600,-1
7,1,STEP,11632007155400,11632199863800,192708400,-1
8,1,STEP,11632211389700,11632427968900,216579200,-1
9,1,STEP,11632438645600,11632637818700,199173100,-1
10,1,STEP,11632648541600,11632857880000,209338400,-1
11,1,STEP,11632869219900,11633129177500,259957600,-1
12,1,STEP,11633140970100,11633383425100,242455000,-1
13,1,STEP,11633395000100,11633660316600,265316500,-1
14,1,STEP,11633672234900,11633877698000,205463100,-1
15,1,STEP,11633889682600,11634165025900,275343300,-1
16,1,STEP,11634178368500,11634431114800,252746300,-1
17,1,STEP,11634445511700,11634679869800,234358100,-1
18,1,STEP,11634690937000,11634906562800,215625800,-1
19,1,STEP,11634918166300,11635127751900,209585600,-1
20,1,STEP,11635140376600,11635391055000,250678400,-1
21,1,STEP,11635402102300,11635629297300,227195000,-1
22,1,STEP,11635642218400,11635864889100,222670700,-1
23,1,STEP,11635877519100,11636090015600,212496500,-1
24,1,STEP,11636102681500,11636328568500,225887000,-1
25,1,STEP,11636342037800,11636621755000,279717200,-1
26,1,STEP,11636632971000,11636863380700,230409700,-1
27,1,STEP,11636874564900,11637085005300,210440400,-1
28,1,STEP,11637095743500,11637316188900,220445400,-1
29,1,STEP,11637327911300,11637576105400,248194100,-1
30,1,STEP,11637591729600,11637821054500,229324900,-1
31,1,STEP,11637834397100,11638073408400,239011300,-1
32,1,STEP,11638084355900,11638309093800,224737900,-1
33,1,STEP,11638321532800,11638552911100,231378300,-1
34,1,STEP,11638563768000,11638840308700,276540700,-1
35,1,STEP,11638851252900,11639082703600,231450700,-1
36,1,STEP,11639093789400,11639327441000,233651600,-1
37,1,STEP,11639340299800,11639577616800,237317000,-1
38,1,STEP,11639589773200,11639847625700,257852500,-1
39,1,STEP,11639860238900,11640125107700,264868800,-1
40,1,STEP,11640136806400,11640379185600,242379200,-1
41,1,STEP,11640390466400,11640632461700,241995300,-1
42,1,STEP,11640645774300,11640904810400,259036100,-1
43,1,STEP,11640915909000,11641205016700,289107700,-1
44,1,STEP,11641216667000,11641460455200,243788200,-1
45,1,STEP,11641471633400,11641718869100,247235700,-1
46,1,STEP,11641730240600,11642019437500,289196900,-1
47,1,STEP,11642031819700,11642323132400,291312700,-1
48,1,STEP,11642335134200,11642589476200,254342000,-1
49,1,STEP,11642600832900,11642874144700,273311800,-1
50,1,STEP,11642890271700,11643159616700,269345000,-1
51,1,STEP,11643171179100,11643467165600,295986500,-1
52,1,STEP,11643480578000,11643753016700,272438700,-1
53,1,STEP,11643764392400,11644040704400,276312000,-1
54,1,STEP,11644052651600,11644323082000,270430400,-1
55,1,STEP,11644335248400,11644649375000,314126600,-1
56,1,STEP,11644661330700,11644935191900,273861200,-1
57,1,STEP,11644954193500,11645235301100,281107600,-1
58,1,STEP,11645247099800,11645525595400,278495600,-1
59,1,STEP,11645538831400,11645865524400,326693000,-1
60,1,STEP,11645877869800,11646154793600,276923800,-1
61,1,STEP,11646168448500,11646445946100,277497600,-1
62,1,STEP,11646458359300,11646760971900,302612600,-1
63,1,STEP,11646779863800,11647098044400,318180600,-1
64,1,STEP,11647110728000,11647401145900,290417900,-1
