Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,4295360297000,4296917776100,1557479100,-1
0,1,STEP,4297428972000,4297523953700,94981700,-1
1,1,STEP,4297524025000,4297624915200,100890200,-1
2,1,STEP,4297624984900,4297725815200,100830300,-1
3,1,STEP,4297725882900,4297841171500,115288600,-1
4,1,STEP,4297841240800,4297957684600,116443800,-1
5,1,STEP,4297957750400,4298073851800,116101400,-1
6,1,STEP,4298073916500,4298187141700,113225200,-1
7,1,STEP,4298187209700,4298300847000,113637300,-1
8,1,STEP,4298300909300,4298414476000,113566700,-1
9,1,STEP,4298414539300,4298527553800,113014500,-1
10,1,STEP,4298527623900,4298641302000,113678100,-1
11,1,STEP,4298641362000,4298754676700,113314700,-1
12,1,STEP,4298754735000,4298868916400,114181400,-1
13,1,STEP,4298868985000,4298982612300,113627300,-1
14,1,STEP,4298982680900,4299097609600,114928700,-1
15,1,STEP,4299097694600,4299211125300,113430700,-1
16,1,STEP,4299211184900,4299324160800,112975900,-1
17,1,STEP,4299324227300,4299436514800,112287500,-1
18,1,STEP,4299436595000,4299549038900,112443900,-1
19,1,STEP,4299549128500,4299663215100,114086600,-1
20,1,STEP,4299663275200,4299777077400,113802200,-1
21,1,STEP,4299777143400,4299890158000,113014600,-1
22,1,STEP,4299890224900,4300004053000,113828100,-1
23,1,STEP,4300004112100,4300117936500,113824400,-1
24,1,STEP,4300118003700,4300231618200,113614500,-1
25,1,STEP,4300231693500,4300343794100,112100600,-1
26,1,STEP,4300343857800,4300461412600,117554800,-1
27,1,STEP,4300461505200,4300573202800,111697600,-1
28,1,STEP,4300573262700,4300697949100,124686400,-1
29,1,STEP,4300698008300,4300827646600,129638300,-1
30,1,STEP,4300827710600,4300956979800,129269200,-1
31,1,STEP,4300957048900,4301086222100,129173200,-1
32,1,STEP,4301086286700,4301215966700,129680000,-1
33,1,STEP,4301216028100,4301347754700,131726600,-1
34,1,STEP,4301347819100,4301475947400,128128300,-1
35,1,STEP,4301476003600,4301602630800,126627200,-1
36,1,STEP,4301602696200,4301729654600,126958400,-1
37,1,STEP,4301729715200,4301856756600,127041400,-1
38,1,STEP,4301856823100,4301982565100,125742000,-1
39,1,STEP,4301982631400,4302106572700,123941300,-1
40,1,STEP,4302106643600,4302230065000,123421400,-1
41,1,STEP,4302230124800,4302355244100,125119300,-1
42,1,STEP,4302355303000,4302479401300,124098300,-1
43,1,STEP,4302479488100,4302600773300,121285200,-1
44,1,STEP,4302600839900,4302732335100,131495200,-1
45,1,STEP,4302732404400,4302867791000,135386600,-1
46,1,STEP,4302867850800,4303003505500,135654700,-1
47,1,STEP,4303003576500,4303137987700,134411200,-1
48,1,STEP,4303138064600,4303272420000,134355400,-1
49,1,STEP,4303272477400,4303407707800,135230400,-1
50,1,STEP,4303407779400,4303544282200,136502800,-1
51,1,STEP,4303544355800,4303677718400,133362600,-1
52,1,STEP,4303677772700,4303809650700,131878000,-1
53,1,STEP,4303809717400,4303941708900,131991500,-1
54,1,STEP,4303941765100,4304074355600,132590500,-1
55,1,STEP,4304074432100,4304216664700,142232600,-1
56,1,STEP,4304216731200,4304359971600,143240400,-1
57,1,STEP,4304360047100,4304493236100,133189000,-1
58,1,STEP,4304493313200,4304639178000,145864800,-1
59,1,STEP,4304639268700,4304784509000,145240300,-1
60,1,STEP,4304784571700,4304927957900,143386200,-1
61,1,STEP,4304928040600,4305072920100,144879500,-1
62,1,STEP,4305072979100,4305220256800,147277700,-1
63,1,STEP,4305220315000,4305367460300,147145300,-1
64,1,STEP,4305367524100,4305512344000,144819900,-1
65,1,STEP,4305512405900,4305655908700,143502800,-1
66,1,STEP,4305655967500,4305804269200,148301700,-1
67,1,STEP,4305804342600,4305952518000,148175400,-1
68,1,STEP,4305952583200,4306098328700,145745500,-1
69,1,STEP,4306098397300,4306238173600,139776300,-1
70,1,STEP,4306238244800,4306385281500,147036700,-1
71,1,STEP,4306385339300,4306526012300,140673000,-1
72,1,STEP,4306526075400,4306669671500,143596100,-1
73,1,STEP,4306669762900,4306814829100,145066200,-1
74,1,STEP,4306814894900,4306963951800,149056900,-1
75,1,STEP,4306964024400,4307105657200,141632800,-1
76,1,STEP,4307105718600,4307248103100,142384500,-1
77,1,STEP,4307248162200,4307391699200,143537000,-1
78,1,STEP,4307391765400,4307537579600,145814200,-1
79,1,STEP,4307537638100,4307684438100,146800000,-1
