Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,TransfertToDevice,3926328104400,3926538201400,210097000,-1
0,1,STEP,3926579461100,3926592818900,13357800,-1
1,1,STEP,3926592885500,3926605067000,12181500,-1
2,1,STEP,3926605162700,3926617983700,12821000,-1
3,1,STEP,3926618056500,3926631150000,13093500,-1
4,1,STEP,3926631240800,3926644877400,13636600,-1
5,1,STEP,3926644939400,3926658448400,13509000,-1
6,1,STEP,3926658506200,3926668213900,9707700,-1
7,1,STEP,3926668297900,3926677644000,9346100,-1
8,1,STEP,3926677718800,3926687165100,9446300,-1
9,1,STEP,3926687220800,3926696628900,9408100,-1
10,1,STEP,3926696700900,3926705899100,9198200,-1
11,1,STEP,3926705957100,3926715296100,9339000,-1
12,1,STEP,3926715373000,3926724744800,9371800,-1
13,1,STEP,3926724816700,3926733767600,8950900,-1
14,1,STEP,3926733811400,3926742787100,8975700,-1
15,1,STEP,3926742834700,3926751790500,8955800,-1
16,1,STEP,3926751835400,3926761155200,9319800,-1
17,1,STEP,3926761206600,3926770628100,9421500,-1
18,1,STEP,3926770702000,3926780219200,9517200,-1
19,1,STEP,3926780278900,3926790048700,9769800,-1
20,1,STEP,3926790145800,3926800257700,10111900,-1
21,1,STEP,3926800343700,3926810112500,9768800,-1
22,1,STEP,3926810174300,3926819616100,9441800,-1
23,1,STEP,3926819687600,3926829111800,9424200,-1
24,1,STEP,3926829167100,3926838387300,9220200,-1
25,1,STEP,3926838450600,3926847936500,9485900,-1
26,1,STEP,3926847994200,3926857306000,9311800,-1
27,1,STEP,3926857350100,3926866883800,9533700,-1
28,1,STEP,3926866938100,3926876703700,9765600,-1
29,1,STEP,3926876739500,3926886854400,10114900,-1
30,1,STEP,3926886939000,3926897174100,10235100,-1
31,1,STEP,3926897225300,3926907472300,10247000,-1
32,1,STEP,3926907513900,3926917613400,10099500,-1
33,1,STEP,3926917679800,3926927850600,10170800,-1
34,1,STEP,3926927915100,3926938831500,10916400,-1
35,1,STEP,3926938872700,3926950535900,11663200,-1
36,1,STEP,3926950591800,3926962685500,12093700,-1
37,1,STEP,3926962759500,3926974589500,11830000,-1
38,1,STEP,3926974662200,3926986417200,11755000,-1
39,1,STEP,3926986482400,3926998537800,12055400,-1
40,1,STEP,3926998598300,3927010536500,11938200,-1
41,1,STEP,3927010594900,3927022203900,11609000,-1
42,1,STEP,3927022293700,3927033811600,11517900,-1
43,1,STEP,3927033884300,3927046009600,12125300,-1
44,1,STEP,3927046084600,3927058060700,11976100,-1
45,1,STEP,3927058109900,3927069869900,11760000,-1
46,1,STEP,3927069954200,3927081921700,11967500,-1
47,1,STEP,3927081961400,3927094158500,12197100,-1
48,1,STEP,3927094214600,3927105870600,11656000,-1
49,1,STEP,3927105946200,3927117693900,11747700,-1
50,1,STEP,3927117763500,3927130453600,12690100,-1
51,1,STEP,3927130514900,3927142387900,11873000,-1
52,1,STEP,3927142443700,3927154552300,12108600,-1
53,1,STEP,3927154618400,3927166593000,11974600,-1
54,1,STEP,3927166664800,3927178647300,11982500,-1
55,1,STEP,3927178732200,3927190888700,12156500,-1
56,1,STEP,3927190929000,3927203154400,12225400,-1
57,1,STEP,3927203220500,3927215420900,12200400,-1
58,1,STEP,3927215496100,3927227926900,12430800,-1
59,1,STEP,3927227991700,3927240054100,12062400,-1
60,1,STEP,3927240117700,3927252189300,12071600,-1
61,1,STEP,3927252235500,3927264450800,12215300,-1
62,1,STEP,3927264525400,3927276869800,12344400,-1
63,1,STEP,3927276931300,3927289106200,12174900,-1
64,1,STEP,3927289168200,3927301379000,12210800,-1
65,1,STEP,3927301450700,3927313574500,12123800,-1
66,1,STEP,3927313614900,3927325691500,12076600,-1
67,1,STEP,3927325744000,3927337827800,12083800,-1
68,1,STEP,3927337880100,3927349993300,12113200,-1
69,1,STEP,3927350061200,3927361995400,11934200,-1
70,1,STEP,3927362049100,3927374004000,11954900,-1
71,1,STEP,3927374062500,3927386193600,12131100,-1
72,1,STEP,3927386245800,3927398392700,12146900,-1
73,1,STEP,3927398451300,3927410981500,12530200,-1
74,1,STEP,3927411049900,3927423472300,12422400,-1
75,1,STEP,3927423536900,3927435867200,12330300,-1
76,1,STEP,3927435952400,3927448425800,12473400,-1
